,confirm,heal,dead,confirm_add
02.28,2,0,0,2
02.29,4,0,0,2
03.01,7,0,0,3
03.02,10,0,0,3
03.03,24,0,0,14
03.04,24,0,0,0
03.05,82,0,0,58
03.06,82,0,1,58
03.07,188,0,1,60
03.08,265,0,3,77
03.09,321,0,3,56
03.10,382,0,3,61
03.11,503,0,5,121
03.12,614,0,5,232
03.13,804,0,10,190
03.14,959,0,12,155
03.15,959,0,12,0
03.16,1413,0,24,278
03.17,1705,0,43,292
03.18,2051,0,58,346
03.19,2460,0,76,409
03.20,2994,0,106,534
03.21,3631,0,136,637
03.22,4204,0,179,573
03.23,4749,0,213,545
03.24,5560,0,276,1356
03.25,6412,0,356,852
03.26,7431,0,434,1019
03.27,8603,2500,546,1172
03.28,9762,2500,639,1159
03.29,10866,2500,771,1104
03.30,11814,253,864,928
03.31,12662,253,1040,848
04.01,13696,260,1175,1034
04.02,14779,260,1341,1083
04.03,15819,260,1490,1040
04.04,16725,260,1656,906
04.05,17953,262,1771,1228
04.06,18917,257,1874,964
04.07,19703,258,2108,786
04.08,20678,272,2255,975
04.09,21898,272,2403,1220
04.10,23245,280,2520,1347
04.11,24565,287,2652,1320
04.12,25746,291,2747,1181
04.13,26710,295,2833,964
04.14,27580,297,2955,870
04.15,28314,297,3144,734
04.16,29381,311,3326,1067
04.17,30618,311,3471,1237
04.18,31766,315,3613,1148
04.19,32834,317,3696,1068
04.20,33588,322,3764,754
04.21,34317,74,3929,729
04.22,35026,74,4067,709
04.23,35921,101,4192,895
04.24,36727,101,4304,806
04.25,37384,102,4424,657
04.26,38039,102,4490,655
04.27,38440,117,4534,401
04.28,38612,117,4582,172
04.29,38998,117,4727,386
04.30,39512,119,4811,514
05.01,39512,125,4811,0
05.02,40434,138,5003,922
05.03,40434,138,5003,0
05.04,40968,138,5098,534
05.05,41285,138,5184,317
05.06,41518,139,5221,233
05.07,41973,146,5305,455
05.08,42292,147,5377,319
05.09,42581,147,5440,289
05.10,42826,149,5459,245
05.11,42987,149,5475,161
05.12,43183,149,5529,196
05.13,43410,155,5581,227
05.14,43680,157,5609,270
05.15,43880,159,5662,200
05.16,44069,159,5689,189
05.17,44195,167,5699,126
05.18,44341,167,5713,146
05.19,44449,167,5734,108
05.20,44647,167,5767,198
05.21,44900,169,5794,253
05.22,45088,174,5807,188
05.23,45264,174,5830,176
05.24,45437,174,5841,173
05.25,45646,174,5849,209
05.26,45780,174,5875,134
05.27,45970,175,5890,190
05.28,46152,177,5922,182
05.29,46328,178,5950,176
05.30,46459,178,5970,131
05.31,46645,178,5975,186
06.01,46749,179,5981,104
06.02,46852,180,5986,103
06.03,46852,180,5986,0
06.04,47148,180,6009,296
06.05,47358,181,6024,210
06.06,47541,181,6030,183
06.07,47780,181,6032,239
06.08,47945,181,6035,165
06.09,48109,181,6050,164
06.10,48109,181,6050,0
06.11,48458,181,6063,349
06.12,48668,181,6072,210
06.13,48847,181,6076,179
06.14,48990,181,6078,143
06.15,49155,182,6084,165
06.16,49294,186,6089,139
06.17,49412,186,6093,118
06.18,49527,186,6097,115
06.19,49634,186,6100,107
06.20,49710,186,6108,76
06.21,49801,186,6109,91
06.22,49866,186,6109,65
06.23,49930,186,6114,64
06.24,50012,186,6116,82
06.25,50122,186,6119,110
06.26,50213,186,6122,91
06.27,50282,186,6124,69
06.28,50355,186,6124,73
06.29,50431,186,6126,76
06.30,50483,186,6132,52
07.01,50483,186,6132,0
07.02,50545,186,6132,62
07.03,50546,186,6132,1
07.04,50547,187,6132,1
07.05,50548,187,6132,1
07.06,50834,187,6146,286
07.07,50907,187,6151,73
07.08,50959,187,6154,52
07.09,51011,187,6156,52
07.10,51055,192,6155,44
07.11,51136,192,6156,81
07.12,51237,193,6156,101
07.13,51308,193,6156,71
07.14,51361,193,6154,53
07.15,51471,193,6155,110
07.16,51570,193,6156,99
07.17,51675,194,6157,105
07.18,51809,194,6155,134
07.19,51953,194,6155,144
07.20,52140,194,6155,187
07.21,52305,194,6155,165
07.22,52475,194,6158,170
07.23,52640,194,6158,165
07.24,52834,195,6158,194
07.25,52983,195,6159,149
07.26,52984,196,6159,1
07.27,53424,196,6160,440
07.28,53647,196,6164,223
07.29,53647,196,6164,0
07.30,54248,197,6166,601
07.31,54589,200,6166,341
08.01,55021,200,6167,432
08.02,55023,200,6167,2
08.03,55780,206,6169,757
08.04,56271,207,6170,491
08.05,56705,207,6173,434
08.06,57357,211,6173,652
08.07,57984,237,6174,627
08.08,58604,237,6178,620
08.09,59306,237,6178,702
08.10,59990,237,6178,684
08.11,60853,244,6180,863
08.12,61608,253,6182,755
08.13,62295,253,6186,687
08.14,63042,253,6189,747
08.15,63783,254,6191,741
08.16,64397,338,6194,614
08.17,64950,345,6194,553
08.18,65469,357,6197,519
08.19,66112,422,6203,643
08.20,66747,448,6214,635
08.21,67378,461,6219,631
08.22,67964,600,6224,586
08.23,68508,633,6225,544
08.24,69148,643,6227,640
08.25,69639,649,6232,491
08.26,70264,754,6241,625
08.27,70892,807,6244,628
08.28,71491,829,6246,599
08.29,72059,964,6251,568
08.30,72652,986,6252,593
08.31,73210,986,6252,558
09.01,73695,1010,6258,485
09.02,74536,1140,6265,841
09.03,75261,1282,6267,725
09.04,76100,1379,6270,839
09.05,76827,1467,6274,727
09.06,77836,1560,6277,1009
09.07,78664,1560,6277,828
09.08,79669,1617,6279,1005
09.09,80941,1672,6281,1272
09.10,81912,1742,6284,971
09.11,83290,1802,6288,1378
09.12,84601,1900,6291,1311
09.13,85796,2035,6292,1195
09.14,87176,2036,6294,1380
09.15,88573,2061,6298,1397
09.16,90218,2156,6303,1645
09.17,92182,2238,6309,1964
09.18,94240,2310,6317,2058
09.19,96232,2716,6320,1992
09.20,98105,2721,6324,1873
09.21,100434,2840,6326,2329
09.22,102754,2994,6337,2320
09.23,105216,3062,6343,2462
09.24,107848,3143,6360,2632
09.25,110692,3317,6377,2844
09.26,113471,3430,6415,2779
09.27,113518,3516,6415,47
09.28,115610,3649,6415,2092
09.29,122538,3758,6442,6928
09.30,125914,3919,6456,3376
10.01,129240,4019,6470,3326
10.02,133108,4111,6479,3868
10.03,137136,4221,6503,4028
10.04,141197,4305,6508,4061
10.05,141226,4381,6508,29
10.06,150382,4513,6538,9156
10.07,155402,4564,6574,5020
10.08,161287,4607,6587,5885
10.09,167327,4707,6600,6040
10.10,173847,4709,6624,6520
10.11,180267,4761,6641,6420
10.12,187133,4783,6654,6866
10.13,194516,4832,6689,7383
10.14,201880,4948,6721,7364
10.15,209733,5010,6749,7853
10.16,217783,5049,6765,8050
10.17,225935,5108,6794,8152
10.18,234152,5184,6811,8217
10.19,242195,5206,6828,8043
10.20,250382,5294,6874,8187
10.21,259154,5327,6933,8772
10.22,268478,5365,6980,9324
10.23,278513,5431,7026,10035
10.24,278546,5517,7026,33
10.25,297431,5567,7108,18885
10.26,307809,5619,7134,10378
10.27,318123,5648,7204,10314
10.28,318152,5699,7204,29
10.29,336575,5757,7321,18423
10.30,347748,5804,7408,11173
10.31,357605,5844,7458,9857
11.01,366323,5882,7498,8718
11.02,374637,5908,7527,8314
11.03,382406,5934,7640,7769
11.04,390073,5975,7746,7667
11.05,397085,6007,7835,7012
11.06,404354,6045,7954,7269
11.07,411063,6075,8027,6709
11.08,416775,6123,8072,5712
11.09,421486,6137,8111,4711
11.10,421503,6157,8112,17
11.11,426227,6185,8211,4724
11.12,437331,6252,8375,11104
11.13,443467,6372,8429,6136
11.14,449447,6410,8515,5980
11.15,454914,6430,8559,5467
11.16,459791,6448,8603,4877
11.17,464141,6488,8689,4350
11.18,468814,6511,8771,4673
11.19,474545,6536,8845,5731
11.20,480575,6567,8897,6030
11.21,486719,6592,8946,6144
11.22,492208,6618,8967,5489
11.23,497463,6642,9021,5255
11.24,501427,6693,9111,3964
11.25,506412,6722,9185,4985
11.26,511027,6763,9260,4615
11.27,516905,6801,9343,5878
11.28,521504,6853,9402,4599
11.29,527224,6889,9426,5720
11.30,531904,6921,9453,4680
12.01,535978,6964,9515,4074
12.02,541050,7017,9584,5072
12.03,546866,7070,9645,5816
12.04,552856,7129,9703,5990
12.05,559561,7203,9743,6705
12.06,566495,7266,9768,6934
12.07,573697,7300,9785,7202
12.08,579901,7342,9857,6204
12.09,586525,7413,9923,6624
12.10,595363,7551,9984,8838
12.11,604311,7651,10049,8948
12.12,613535,7752,10104,9224
12.13,623514,7838,10133,9979
12.14,632024,7872,10168,8510
12.15,638718,7944,10254,6694
12.16,649970,8077,10332,11252
12.17,662851,8152,10408,12881
12.18,674874,8324,10492,12023
12.19,687184,8461,10546,12310
12.20,700282,8517,10578,13098
12.21,711490,8589,10606,11208
12.22,721350,8627,10720,9860
12.23,731817,8743,10824,10467
12.24,743401,8802,10914,11584
12.25,754980,8873,11012,11579
12.26,764886,8933,11061,9906
12.27,773987,8974,11090,9101
12.28,781424,9033,11134,7437
12.29,788969,9150,11305,7545
12.30,798461,9261,11417,9492
12.31,808276,9389,11525,9815
01.01,808382,9585,11525,106
01.02,825217,9651,11660,16835
01.03,832647,9694,11707,7430
01.04,839265,9919,11770,6618
01.05,845654,10048,11921,6389
01.06,852921,10122,12095,7267
01.07,862687,10303,12181,9766
01.08,870929,10376,12269,8242
01.09,878384,10514,12405,7455
01.10,885055,10716,12460,6671
01.11,890514,10952,12511,5459
01.12,895438,11089,12664,4924
01.13,901629,11174,12786,6191
01.14,908206,11297,12875,6577
01.15,914315,11528,12969,6109
01.16,919648,11681,13066,5333
01.17,925310,11786,13107,5662
01.18,930115,11893,13157,4805
01.19,934419,11983,13263,4304
01.20,940033,12038,13350,5614
01.21,945880,12102,13439,5847
01.22,951692,12155,13524,5812
01.23,957161,12258,13616,5469
01.24,962104,12335,13646,4943
01.25,966170,12428,13685,4066
01.26,970111,12510,13772,3941
01.27,974882,12582,13840,4771
01.28,974972,12649,13841,90
01.29,984052,12697,13981,9080
01.30,988293,12789,14068,4241
01.31,992050,12839,14108,3757
02.01,995272,12910,14135,3222
02.02,998861,12974,14218,3589
02.03,1002937,13046,14279,4076
02.04,1007203,13103,14346,4266
02.05,1011589,13156,14406,4386
02.06,1011636,13218,14407,47
02.07,1019691,13286,14516,8055
02.08,1021941,13329,14541,2250
02.09,1023710,13394,14626,1769
02.10,1026962,13444,14708,3252
02.11,1031417,13477,14782,4455
02.12,1035795,13568,14847,4378
02.13,1040035,13626,14913,4240
02.14,1043517,13695,14936,3482
02.15,1046351,13728,14963,2834
02.16,1049082,13765,15049,2731
02.17,1049120,13809,15050,38
