,confirm,heal,dead,confirm_add
03.13,3,0,0,3
03.14,6,0,0,3
03.15,8,0,0,2
03.16,8,0,0,0
03.17,32,0,0,24
03.18,35,0,0,3
03.19,44,0,0,9
03.20,49,0,0,5
03.21,53,0,0,4
03.22,54,0,0,1
03.23,60,0,0,6
03.24,66,0,0,6
03.25,80,2,0,14
03.26,88,2,0,8
03.27,135,3,1,47
03.28,191,4,1,56
03.29,271,16,1,80
03.30,302,21,1,31
03.31,336,22,2,34
04.01,375,26,3,39
04.02,423,27,3,48
04.03,460,29,6,37
04.04,525,36,5,65
04.05,569,36,6,44
04.06,629,45,6,60
04.07,685,50,6,56
04.08,709,54,7,24
04.09,764,60,7,55
04.10,802,64,9,38
04.11,859,81,10,57
04.12,911,99,10,52
04.13,979,138,12,68
04.14,1202,203,14,223
04.15,1290,240,16,88
04.16,1362,273,17,72
04.17,1498,347,17,136
04.18,1615,377,17,117
04.19,1676,400,17,61
04.20,1775,428,19,99
04.21,1967,476,19,192
04.22,2070,515,19,103
04.23,2251,551,20,181
04.24,2376,602,25,125
04.25,2564,629,25,188
04.26,2693,677,25,129
04.27,2835,720,25,142
04.28,3019,754,25,184
04.29,3105,798,25,86
04.30,3356,858,25,251
05.01,3551,866,25,195
05.02,3800,985,25,249
05.03,3857,985,25,57
05.04,4028,1134,27,171
05.05,4179,1264,29,151
05.06,4344,1387,30,165
05.07,4530,1470,30,186
05.08,4794,1615,31,264
05.09,4946,1740,31,152
05.10,5076,1901,31,130
05.11,5160,2020,32,84
05.12,5279,2108,32,119
05.13,5417,2223,32,138
05.14,5571,2408,32,154
05.15,5689,2531,34,118
05.16,5850,2707,34,161
05.17,6157,3090,34,307
05.18,6440,3373,35,283
05.19,6751,3572,35,311
05.20,6969,3649,35,218
05.21,7234,3777,35,265
05.22,7597,3885,35,363
05.23,7919,4096,35,322
05.24,8322,4320,35,403
05.25,8531,4506,35,209
05.26,8969,4560,35,438
05.27,9304,4746,37,335
05.28,9576,4893,37,272
05.29,9932,5011,37,356
05.30,10382,5057,38,450
05.31,10858,5404,40,476
06.01,11308,5458,41,450
