,confirm,heal,dead,confirm_add
03.14,2,0,0,2
03.15,2,0,0,0
03.16,2,0,0,0
03.17,2,0,0,0
03.18,2,0,0,0
03.19,2,0,0,0
03.20,2,0,0,0
03.21,3,0,0,1
03.22,3,0,0,0
03.23,3,0,0,0
03.24,4,0,0,2
03.25,7,0,0,3
03.26,7,2,0,0
03.27,8,0,0,1
03.28,8,2,0,0
03.29,11,0,0,3
03.30,11,2,0,0
03.31,11,2,0,0
04.01,14,2,0,3
04.02,14,2,0,0
04.03,14,3,0,0
04.04,14,3,0,0
04.05,16,3,0,2
04.06,16,3,0,0
04.07,16,3,0,0
04.08,16,3,0,0
04.09,16,3,0,0
04.10,16,3,0,0
04.11,16,3,0,0
04.12,16,3,0,0
04.13,16,3,0,0
04.14,16,3,0,0
04.15,16,3,0,0
04.16,16,4,0,0
04.17,16,4,0,0
04.18,16,6,0,0
04.19,16,6,0,0
04.20,16,6,0,0
04.21,16,6,0,0
04.22,16,6,0,0
04.23,16,7,0,0
04.24,16,7,0,0
04.25,16,7,0,0
04.26,16,8,0,0
04.27,16,8,0,0
04.28,16,8,0,0
04.29,16,8,0,0
04.30,16,8,0,0
05.01,16,8,0,0
05.02,16,8,0,0
05.03,16,8,0,0
05.04,16,8,0,0
05.05,16,8,0,0
05.06,16,8,0,0
05.07,16,9,0,0
05.08,16,9,0,0
05.09,16,10,0,0
05.10,16,11,0,0
05.11,16,11,0,0
05.12,16,11,0,0
05.13,16,11,0,0
05.14,16,12,0,0
05.15,16,13,0,0
05.16,16,13,0,0
05.17,16,13,0,0
05.18,16,13,0,0
05.19,16,13,0,0
05.20,16,14,0,0
05.21,18,14,0,2
05.22,19,14,0,1
05.23,20,14,0,1
05.24,21,14,0,1
05.25,21,14,0,0
05.26,21,14,0,0
05.27,22,14,0,1
05.28,22,14,0,0
05.29,23,14,0,1
05.30,23,14,0,0
05.31,24,14,0,1
06.01,25,16,0,1
06.02,25,16,0,0
06.03,25,16,0,0
06.04,25,16,0,0
06.05,25,16,0,0
06.06,29,16,0,4
06.07,29,16,0,0
06.08,31,16,0,2
06.09,31,16,0,0
06.10,31,17,0,0
06.11,31,17,0,0
06.12,31,17,0,0
06.13,32,17,0,1
06.14,32,17,0,0
06.15,32,17,0,0
06.16,34,18,0,2
06.17,34,18,0,0
06.18,39,19,0,5
06.19,40,19,0,1
06.20,46,19,0,6
06.21,55,19,0,9
06.22,63,21,0,8
06.23,67,21,0,4
06.24,76,21,0,9
06.25,90,21,0,14
06.26,105,21,0,15
06.27,121,22,0,16
06.28,150,22,0,29
06.29,183,24,0,33
06.30,203,24,0,20
07.01,257,24,0,54
07.02,293,24,0,36
07.03,335,25,0,42
07.04,375,25,0,40
07.05,412,25,0,37
07.06,485,25,0,73
07.07,539,25,0,54
07.08,593,25,0,54
07.09,615,25,0,22
07.10,667,25,1,52
07.11,668,25,1,1
07.12,785,26,1,117
07.13,861,28,1,76
07.14,864,29,2,3
07.15,960,31,2,96
07.16,1032,31,2,72
07.17,1032,31,2,0
07.18,1203,32,2,171
07.19,1203,32,2,0
07.20,1344,42,4,141
07.21,1366,57,7,22
07.22,1402,64,7,36
07.23,1402,64,7,0
07.24,1618,72,7,216
07.25,1687,72,7,69
07.26,1775,75,8,88
