,confirm,heal,dead,confirm_add
03.10,1,0,0,1
03.11,1,0,0,0
03.12,1,0,0,0
03.13,2,0,0,1
03.14,2,0,0,0
03.15,3,0,0,1
03.16,3,0,0,0
03.17,4,0,0,1
03.18,7,0,0,3
03.19,14,0,0,7
03.20,18,0,0,4
03.21,23,0,1,5
03.22,30,0,1,7
03.23,30,0,2,0
03.24,45,0,2,15
03.25,48,1,3,3
03.26,51,2,4,3
03.27,54,2,5,3
03.28,58,2,6,4
03.29,65,2,6,11
03.30,81,3,8,16
03.31,98,2,8,17
04.01,109,3,9,11
04.02,123,3,11,14
04.03,134,3,13,11
04.04,148,3,16,14
04.05,154,3,18,6
04.06,154,3,18,0
04.07,161,5,18,7
04.08,180,9,18,19
04.09,180,9,18,0
04.10,215,13,20,35
04.11,223,16,20,8
04.12,234,16,20,11
04.13,235,17,20,1
04.14,241,20,20,6
04.15,254,21,21,13
04.16,267,23,22,13
04.17,287,25,23,20
04.18,307,26,25,20
04.19,327,26,25,20
04.20,327,27,25,0
04.21,350,35,25,23
04.22,359,45,25,9
04.23,377,47,25,18
04.24,394,48,25,17
04.25,416,49,28,22
04.26,442,50,28,26
04.27,459,50,28,17
04.28,471,56,30,12
04.29,491,59,30,20
04.30,500,65,31,9
05.01,572,73,31,72
05.02,604,75,32,32
05.03,604,75,32,0
05.04,682,80,34,78
05.05,705,90,34,23
05.06,797,92,35,92
05.07,863,103,36,66
05.08,897,119,36,34
05.09,937,130,39,40
05.10,937,130,39,0
05.11,1024,141,41,87
05.12,1102,146,44,78
05.13,1169,148,50,67
05.14,1242,157,50,73
05.15,1298,212,50,56
05.16,1370,229,61,72
05.17,1455,270,61,85
05.18,1455,270,61,0
05.19,1538,272,61,83
05.20,1731,302,61,193
05.21,1835,303,61,104
05.22,1945,312,63,110
05.23,2025,312,63,80
05.24,2141,317,63,116
05.25,2141,317,63,0
05.26,2403,340,68,262
05.27,2546,365,68,143
05.28,2660,381,69,114
05.29,2833,400,69,173
05.30,2966,428,69,133
05.31,3070,448,72,104
06.01,3195,454,72,125
06.02,3326,482,72,131
06.03,3326,482,72,0
06.04,3644,495,78,318
06.05,3764,512,81,120
06.06,3878,537,82,114
06.07,4016,537,85,138
06.08,4106,537,88,90
06.09,4259,539,90,153
06.10,4390,565,96,131
06.11,4515,567,98,125
06.12,4637,580,101,122
06.13,4724,595,106,87
06.14,4778,600,107,54
06.15,4837,613,112,59
06.16,4974,628,112,137
06.17,5100,640,115,126
06.18,5283,685,117,183
06.19,5477,719,122,194
06.20,5672,807,125,195
06.21,5826,841,130,154
06.22,5924,856,135,98
06.23,6027,861,135,103
06.24,6213,870,142,186
06.25,6411,885,142,198
06.26,6552,900,149,141
06.27,6690,937,153,138
06.28,6827,985,157,137
06.29,6939,1050,167,112
06.30,7039,1426,170,100
07.01,7122,1785,175,83
07.02,7189,2317,176,67
07.03,7311,2684,179,122
07.04,7379,2961,182,68
07.05,7379,2961,182,0
07.06,7432,3226,182,53
07.07,7432,3226,182,0
07.08,7432,3226,182,0
07.09,7846,3513,189,414
07.10,7905,3513,189,59
07.11,7905,3513,189,0
07.12,8033,3615,189,128
07.13,8075,3620,190,42
07.14,8135,3948,190,60
07.15,8163,3983,192,28
07.16,8199,4248,193,36
07.17,8249,4248,193,50
07.18,8324,4313,193,75
07.19,8403,4335,194,79
07.20,8443,4335,194,40
07.21,8534,4528,196,91
07.22,8626,4790,197,92
07.23,8720,5105,201,94
07.24,8767,5109,201,47
07.25,8801,5305,204,34
07.26,8831,5510,204,30
07.27,8844,5700,208,13
07.28,8873,5930,208,29
07.29,8931,6095,210,58
07.30,9010,6437,215,79
07.31,9070,6796,215,60
08.01,9084,7030,215,14
08.02,9115,7319,215,31
08.03,9133,7424,215,18
08.04,9178,7727,215,45
08.05,9253,7821,215,75
08.06,9309,8048,215,56
08.07,9355,8174,218,46
08.08,9436,8275,218,81
08.09,9454,8324,224,18
08.10,9489,8363,224,35
08.11,9499,8375,225,10
08.12,9538,8421,225,39
08.13,9589,8480,234,51
08.14,9605,8512,238,16
08.15,9605,8512,238,0
08.16,9676,8705,240,71
08.17,9706,8705,243,30
08.18,9721,8882,243,15
08.19,9741,8895,246,20
08.20,9757,8895,247,16
08.21,9802,8920,248,45
08.22,9811,8920,251,9
