,confirm,heal,dead,confirm_add
03.12,1,0,0,1
03.13,1,0,0,0
03.14,1,0,0,0
03.15,1,0,1,0
03.16,4,0,1,3
03.17,4,0,1,0
03.18,7,0,1,3
03.19,7,0,1,0
03.20,7,0,1,0
03.21,7,0,1,0
03.22,7,0,1,0
03.23,19,0,1,12
03.24,20,0,1,1
03.25,5,0,1,-15
03.26,5,0,1,0
03.27,5,0,1,0
03.28,5,0,1,0
03.29,28,6,1,21
03.30,8,0,1,-20
03.31,8,0,1,0
04.01,12,0,2,4
04.02,19,0,4,7
04.03,19,0,4,0
04.04,23,0,4,4
04.05,24,0,4,1
04.06,29,0,4,5
04.07,31,8,5,2
04.08,33,8,5,2
04.09,37,8,6,4
04.10,37,8,6,0
04.11,40,8,6,3
04.12,45,8,6,5
04.13,45,8,6,0
04.14,47,8,6,2
04.15,48,8,6,1
04.16,55,8,6,7
04.17,57,9,6,2
04.18,63,9,6,6
04.19,63,9,6,0
04.20,65,9,7,2
04.21,66,9,7,1
04.22,67,9,7,1
04.23,67,9,7,0
04.24,70,12,7,3
04.25,73,12,7,3
04.26,74,12,8,1
04.27,74,12,8,0
04.28,74,15,8,0
04.29,74,15,8,0
04.30,78,18,8,4
05.01,82,22,9,4
05.02,82,22,9,0
05.03,82,22,9,0
05.04,82,22,9,0
05.05,92,27,9,10
05.06,93,27,10,1
05.07,93,27,10,0
05.08,93,34,10,0
05.09,94,35,10,1
05.10,97,35,10,3
05.11,104,35,10,7
05.12,109,36,10,5
05.13,113,39,10,4
05.14,113,41,10,0
05.15,113,42,10,0
05.16,116,43,10,3
05.17,117,43,10,1
05.18,117,43,10,0
05.19,124,45,10,7
05.20,125,46,10,1
05.21,125,47,10,0
05.22,127,57,10,2
05.23,127,57,10,0
05.24,127,58,10,0
05.25,135,62,10,8
05.26,137,62,11,2
05.27,139,62,11,2
05.28,139,67,11,0
05.29,150,67,11,11
05.30,150,67,11,0
05.31,152,67,12,2
06.01,153,70,12,1
06.02,153,70,12,0
06.03,153,70,12,0
06.04,153,70,12,0
06.05,153,77,12,0
06.06,153,77,12,0
06.07,154,80,12,1
06.08,154,80,12,0
06.09,154,84,12,0
06.10,156,86,12,2
06.11,156,92,12,0
06.12,158,92,12,2
06.13,159,95,12,1
06.14,159,95,12,0
06.15,159,99,12,0
06.16,159,99,12,0
06.17,171,99,12,12
06.18,171,102,12,0
06.19,183,102,12,12
06.20,183,102,12,0
06.21,183,102,12,0
06.22,184,103,12,1
06.23,205,103,12,21
06.24,206,107,12,1
06.25,209,107,12,3
06.26,215,108,12,6
06.27,230,109,12,15
06.28,230,109,12,0
06.29,230,109,12,0
06.30,235,114,12,5
07.01,245,114,12,10
07.02,248,116,13,3
07.03,250,117,14,2
07.04,256,117,14,6
07.05,272,120,14,16
07.06,273,120,15,1
07.07,273,120,15,0
07.08,284,125,16,11
07.09,284,125,16,0
07.10,286,125,16,2
07.11,290,134,16,4
07.12,291,148,17,1
07.13,297,154,17,6
07.14,300,155,17,3
07.15,308,156,17,8
07.16,313,156,18,5
07.17,315,156,19,2
07.18,320,156,19,5
07.19,327,163,19,7
07.20,336,163,19,9
07.21,337,163,19,1
07.22,339,163,19,2
07.23,350,165,19,11
07.24,351,176,19,1
07.25,352,178,20,1
07.26,360,180,20,8
07.27,370,181,20,10
07.28,389,181,20,19
07.29,396,181,20,7
07.30,398,185,20,2
07.31,401,185,20,3
08.01,413,185,20,12
08.02,430,185,20,17
08.03,474,185,21,44
08.04,474,185,21,0
08.05,497,186,22,23
08.06,509,189,22,12
08.07,538,189,22,29
08.08,538,189,22,0
08.09,554,189,22,16
08.10,568,189,22,14
08.11,568,189,22,0
08.12,602,189,22,34
08.13,623,191,22,21
08.14,631,202,22,8
08.15,649,306,22,18
08.16,674,310,22,25
08.17,709,349,23,35
08.18,709,349,23,0
08.19,737,365,25,28
08.20,776,381,27,39
08.21,846,399,29,70
08.22,881,433,30,35
08.23,925,433,31,44
08.24,955,490,31,30
08.25,1029,510,31,74
08.26,1060,523,31,31
08.27,1093,534,31,33
08.28,1140,616,32,47
08.29,1180,633,35,40
08.30,1184,636,35,4
08.31,1234,687,36,50
09.01,1306,718,39,72
09.02,1373,742,41,67
09.03,1382,779,41,9
09.04,1401,805,44,19
09.05,1401,805,44,0
09.06,1459,921,46,58
09.07,1468,954,46,9
09.08,1560,962,47,92
09.09,1613,1030,48,53
09.10,1703,1045,48,90
09.11,1750,1088,49,47
09.12,1763,1144,52,13
09.13,1812,1191,54,49
09.14,1853,1215,56,41
09.15,1884,1265,56,31
09.16,1958,1302,58,74
09.17,1958,1302,58,0
09.18,2027,1302,60,69
09.19,2102,1314,62,75
09.20,2168,1331,64,66
09.21,2269,1339,64,101
09.22,2402,1359,65,133
09.23,2437,1361,67,35
09.24,2535,1464,69,98
09.25,2579,1483,71,44
09.26,2709,1490,73,130
09.27,2725,1535,74,16
09.28,2772,1564,76,47
09.29,2787,1608,78,15
09.30,2846,1644,78,59
10.01,2894,1680,80,48
10.02,2929,1760,82,35
10.03,2968,1776,85,39
10.04,3005,1907,85,37
10.05,3093,1920,87,88
10.06,3188,1972,90,95
10.07,3188,2017,92,0
10.08,3292,2084,95,104
10.09,3329,2165,98,37
10.10,3358,2180,100,29
10.11,3405,2304,102,47
10.12,3469,2318,103,64
10.13,3521,2391,104,52
10.14,3565,2435,106,44
10.15,3589,2487,106,24
10.16,3620,2522,107,31
10.17,3672,2590,107,52
10.18,3710,2625,109,38
10.19,3734,2654,109,24
10.20,3765,2749,111,31
10.21,3796,2796,114,31
10.22,3850,2839,116,54
10.23,3877,2853,117,27
10.24,3960,2923,117,83
10.25,3994,2970,117,34
10.26,4023,2970,119,29
10.27,4026,3009,119,3
10.28,4061,3030,119,35
10.29,4074,3083,123,13
10.30,4098,3154,123,24
10.31,4143,3192,124,45
11.01,4162,3228,124,19
11.02,4208,3242,126,46
11.03,4238,3264,128,30
11.04,4245,3320,128,7
11.05,4324,3394,130,79
11.06,4393,3409,130,69
11.07,4457,3467,133,64
11.08,4484,3511,134,27
11.09,4514,3526,134,30
11.10,4524,3549,135,10
11.11,4530,3575,135,6
11.12,4618,3611,137,88
11.13,4662,3616,138,44
11.14,4724,3688,138,62
11.15,4794,3725,138,70
11.16,4823,3777,139,29
11.17,4894,3791,139,71
11.18,4890,3930,140,-4
11.19,4914,3962,142,24
11.20,4976,3965,143,62
11.21,5005,3984,143,29
11.22,5093,4018,143,88
11.23,5133,4019,143,40
11.24,5154,4034,146,21
11.25,5189,4204,147,35
11.26,5236,4242,147,47
11.27,5276,4252,149,40
11.28,5310,4272,149,34
11.29,5338,4317,149,28
11.30,5376,4346,150,38
12.01,5406,4392,151,30
12.02,5423,4436,151,17
12.03,5449,4530,151,26
12.04,5528,4618,151,79
12.05,5601,4695,151,73
12.06,5637,4733,151,36
12.07,5665,4759,153,28
12.08,5697,4779,154,32
12.09,5700,4870,154,3
12.10,5732,4888,154,32
12.11,5811,4925,154,79
12.12,5839,4944,154,28
12.13,5879,5044,154,40
12.14,5920,5073,155,41
12.15,5943,5077,156,23
12.16,5973,5144,156,30
12.17,6016,5185,158,43
12.18,6042,5197,158,26
12.19,6076,5288,159,34
12.20,6105,5305,159,29
12.21,6125,5319,159,20
12.22,6171,5369,159,46
12.23,6216,5385,160,45
12.24,6258,5448,162,42
12.25,6266,5478,162,8
12.26,6289,5555,162,23
12.27,6289,5652,162,0
12.28,6293,5680,164,4
12.29,6298,5732,164,5
12.30,6301,5777,164,3
12.31,6319,5809,164,18
01.01,6332,5820,164,13
01.02,6348,5868,164,16
01.03,6351,5894,164,3
01.04,6358,5899,164,7
01.05,6379,5936,166,21
01.06,6407,5948,166,28
01.07,6407,5948,166,0
01.08,6469,5990,167,62
01.09,6469,5990,167,0
01.10,6541,6019,167,72
01.11,6574,6036,169,33
01.12,6588,6040,170,14
01.13,6653,6047,170,65
01.14,6696,6063,170,43
01.15,6745,6068,170,49
01.16,6805,6083,170,60
01.17,6851,6126,170,46
01.18,6908,6165,170,57
01.19,6931,6173,170,23
01.20,6950,6206,170,19
01.21,7015,6266,170,65
01.22,7067,6277,170,52
01.23,7143,6328,170,76
01.24,7222,6361,170,79
01.25,7298,6370,172,76
01.26,7317,6431,172,19
01.27,7346,6455,172,29
01.28,7380,6488,174,34
01.29,7470,6534,175,90
01.30,7528,6541,175,58
01.31,7581,6570,176,53
02.01,7641,6591,176,60
02.02,7654,6635,177,13
02.03,7678,6681,177,24
02.04,7714,6762,177,36
02.05,7780,6826,177,66
02.06,7887,6901,179,107
02.07,7939,6962,180,52
02.08,7982,6966,180,43
02.09,8023,6977,181,41
02.10,8041,7026,181,18
02.11,8092,7124,182,51
02.12,8135,7157,184,43
02.13,8181,7281,186,46
02.14,8207,7379,186,26
02.15,8231,7383,186,24
02.16,8232,7399,186,1
02.17,8262,7486,188,30
