,confirm,heal,dead,confirm_add
01.28,1,0,0,0
01.29,1,0,0,0
01.30,1,0,0,0
01.31,1,0,0,0
02.01,1,0,0,0
02.02,2,0,1,1
02.03,2,0,1,0
02.04,2,0,1,0
02.05,3,0,1,1
02.06,3,0,1,0
02.07,3,0,1,0
02.08,3,0,1,0
02.09,3,0,1,0
02.10,3,0,1,0
02.11,3,0,1,0
02.12,3,0,1,0
02.13,3,0,1,0
02.14,3,0,1,0
02.15,3,0,1,0
02.16,3,0,1,0
02.17,3,0,1,0
02.18,3,1,1,0
02.19,3,1,1,0
02.20,3,1,1,0
02.21,3,1,1,0
02.22,3,1,1,0
02.23,3,1,1,0
02.24,3,1,1,0
02.25,3,1,1,0
02.26,3,1,1,0
02.27,3,1,1,0
02.28,3,1,1,0
02.29,3,1,1,0
03.01,3,1,1,0
03.02,5,1,1,2
03.03,5,1,1,0
03.04,5,1,1,0
03.05,5,1,1,0
03.06,5,1,1,0
03.07,6,1,1,1
03.08,6,1,1,0
03.09,20,2,1,14
03.10,35,2,1,15
03.11,49,2,2,14
03.12,52,2,2,3
03.13,64,2,5,12
03.14,98,2,8,34
03.15,140,2,12,42
03.16,142,3,12,2
03.17,187,4,14,45
03.18,202,7,17,15
03.19,217,8,17,15
03.20,230,8,18,13
03.21,307,13,19,77
03.22,380,15,25,73
03.23,462,18,33,82
03.24,552,20,35,90
03.25,636,26,38,84
03.26,707,28,45,71
03.27,803,31,54,96
03.28,1075,35,68,272
03.29,1418,42,71,343
03.30,1546,42,78,128
03.31,2084,49,88,538
04.01,2311,50,96,227
04.02,2633,51,107,322
04.03,3018,52,136,385
04.04,3094,57,144,76
04.05,3246,64,152,152
04.06,3660,73,163,414
04.07,3764,84,177,104
04.08,3870,96,182,106
04.09,4076,124,203,206
04.10,4195,140,221,119
04.11,4428,157,247,233
04.12,4648,197,297,220
04.13,4932,242,315,284
04.14,5223,295,335,291
04.15,5453,353,349,230
04.16,5660,435,362,207
04.17,5878,487,387,218
04.18,6087,516,397,209
04.19,6259,572,409,172
04.20,6459,613,428,200
04.21,6599,654,437,140
04.22,6710,693,446,111
04.23,6981,722,462,271
04.24,7192,762,477,211
04.25,7294,792,494,102
04.26,7579,862,501,285
04.27,7777,932,511,198
04.28,7958,975,530,181
04.29,8212,1023,558,254
04.30,8488,1043,568,276
05.01,8772,1084,579,284
05.02,8928,1124,603,156
05.03,8928,1124,603,0
05.04,9485,1315,623,557
05.05,9684,1408,637,199
05.06,10004,1506,658,320
05.07,10343,1618,685,339
05.08,10463,1734,696,120
05.09,10610,1842,704,147
05.10,10794,1924,719,184
05.11,11086,1999,726,292
05.12,11350,2106,751,264
05.13,11618,2251,772,268
05.14,11876,2337,790,258
05.15,12091,2460,806,215
05.16,12305,2561,817,214
05.17,12513,2635,824,208
05.18,12718,2729,831,205
05.19,12942,2843,837,224
05.20,13221,2932,842,279
05.21,13434,3000,846,213
05.22,13597,3092,857,163
05.23,13777,3177,863,180
05.24,14035,3249,868,258
05.25,14319,3323,873,284
05.26,14669,3412,886,350
05.27,15049,3506,904,380
05.28,15588,3598,921,539
05.29,16634,3720,942,1046
05.30,17224,3808,950,590
05.31,18086,3909,957,862
06.01,18638,3979,960,552
06.02,18997,4063,966,359
06.03,18997,4063,966,0
06.04,20382,4248,984,1385
06.05,20626,4330,987,244
06.06,21340,4441,994,714
06.07,21895,4530,1003,555
06.08,22474,4637,1011,579
06.09,22992,4736,1017,518
06.10,23732,4895,1027,740
06.11,24175,5165,1036,443
06.12,24787,5454,1052,612
06.13,25392,5706,1074,605
06.14,25930,5954,1088,538
06.15,26420,6252,1098,490
06.16,26781,6552,1103,361
06.17,27238,6820,1108,457
06.18,27799,7090,1116,561
06.19,28459,7378,1130,660
06.20,29400,7650,1150,941
06.21,30052,7893,1169,652
06.22,30682,8143,1177,630
06.23,31825,8442,1186,1143
06.24,32295,8656,1204,470
06.25,33069,8910,1212,774
06.26,34073,9182,1224,1004
06.27,34803,9430,1236,730
06.28,35455,9686,1244,652
06.29,36438,9956,1255,983
06.30,37514,10233,1266,1076
07.01,38511,10438,1270,997
07.02,38805,10673,1274,294
07.03,40336,11073,1280,1531
07.04,41830,11453,1290,1494
07.05,44254,11942,1297,2424
07.06,46333,12185,1303,2079
07.07,47873,12386,1309,1540
07.08,50359,12588,1314,2486
07.09,51754,12813,1314,1395
07.10,52914,13230,1360,1160
07.11,54222,14037,1372,1308
07.12,54222,14037,1372,0
07.13,57006,20371,1599,2784
07.14,57545,20459,1603,539
07.15,58850,20976,1614,1305
07.16,61266,21440,1643,2416
07.17,63001,21748,1660,1735
07.18,65304,22067,1773,2303
07.19,67456,22465,1831,2152
07.20,68898,23072,1835,1442
07.21,70764,23281,1837,1866
07.22,72269,23623,1843,1505
07.23,74390,24383,1871,2121
07.24,76444,24502,1879,2054
07.25,78412,25752,1897,1968
07.26,80448,26110,1932,2036
07.27,82040,26446,1945,1592
