,confirm,heal,dead,confirm_add
03.12,3,0,1,3
03.13,3,0,1,0
03.14,3,0,1,0
03.15,3,0,1,0
03.16,3,0,1,0
03.17,3,0,1,0
03.18,3,0,1,0
03.19,10,0,1,3
03.20,16,0,0,6
03.21,21,0,1,5
03.22,21,0,1,0
03.23,35,0,1,14
03.24,40,0,1,19
03.25,48,1,1,8
03.26,57,1,1,9
03.27,67,1,2,10
03.28,80,4,2,40
03.29,119,4,3,39
03.30,139,4,3,20
03.31,170,4,4,31
04.01,186,8,6,16
04.02,212,12,6,26
04.03,233,13,6,21
04.04,269,15,6,36
04.05,288,15,6,19
04.06,320,15,8,32
04.07,363,18,9,43
04.08,396,27,11,33
04.09,457,27,12,61
04.10,515,28,15,58
04.11,564,51,15,49
04.12,620,77,16,56
04.13,726,121,21,106
04.14,726,121,21,0
04.15,766,132,21,40
04.16,814,151,24,48
04.17,923,171,31,109
04.18,923,192,31,0
04.19,986,227,32,63
04.20,1035,255,34,49
04.21,1087,285,36,52
04.22,1189,341,40,102
04.23,1235,365,43,46
04.24,1235,365,43,0
04.25,1337,416,49,102
04.26,1369,501,54,32
04.27,1369,501,54,0
04.28,1437,575,58,68
04.29,1437,575,58,0
04.30,1467,617,58,30
05.01,1501,681,61,34
05.02,1537,714,64,36
05.03,1611,765,66,74
05.04,1649,827,67,38
05.05,1668,876,69,19
05.06,1685,954,69,17
05.07,1703,1001,69,18
05.08,1741,1078,74,38
05.09,1741,1078,74,0
05.10,1754,1140,74,13
05.11,1766,1193,77,12
05.12,1783,1229,77,17
05.13,1810,1326,79,27
05.14,1830,1383,79,20
05.15,1830,1383,79,0
05.16,1862,1460,79,32
05.17,1872,1495,79,10
05.18,1881,1505,79,9
05.19,1881,1505,79,0
05.20,1887,1538,79,6
05.21,1900,1573,79,13
05.22,1908,1603,80,8
05.23,1916,1631,81,8
05.24,1941,1689,82,25
05.25,1947,1704,82,6
05.26,1963,1709,82,16
05.27,1974,1724,82,11
05.28,1983,1734,82,9
05.29,2005,1760,82,22
05.30,2005,1760,82,0
05.31,2025,1795,83,20
06.01,2083,1826,83,58
06.02,2092,1827,83,9
06.03,2092,1827,83,0
06.04,2119,1839,83,27
06.05,2119,1839,83,0
06.06,2173,1855,83,54
06.07,2191,1862,83,18
06.08,2200,1868,83,9
06.09,2205,1880,83,5
06.10,2205,1880,83,0
06.11,2219,1893,84,14
06.12,2233,1902,84,14
06.13,2233,1902,84,0
06.14,2248,1948,84,15
06.15,2262,1965,84,14
06.16,2273,1994,84,11
06.17,2280,1999,84,7
06.18,2295,2020,85,15
06.19,2305,2037,85,10
06.20,2309,2071,85,4
06.21,2309,2071,85,0
06.22,2315,2113,85,6
06.23,2318,2123,85,3
06.24,2319,2130,85,1
06.25,2321,2171,85,2
06.26,2325,2180,85,4
06.27,2330,2187,86,5
06.28,2332,2201,86,2
06.29,2340,2211,86,8
06.30,2341,2214,86,1
07.01,2348,2218,86,7
07.02,2353,2221,86,5
07.03,2353,2221,86,0
07.04,2369,2227,86,16
07.05,2372,2229,86,3
07.06,2380,2234,86,8
07.07,2380,2234,86,0
07.08,2399,2242,86,19
07.09,2403,2244,86,4
07.10,2403,2244,86,0
07.11,2420,2254,87,17
07.12,2420,2254,87,0
07.13,2428,2268,87,8
07.14,2432,2275,87,4
07.15,2432,2275,87,0
07.16,2438,2277,87,6
07.17,2444,2300,87,6
07.18,2444,2300,87,0
07.19,2445,2304,87,1
07.20,2446,2308,87,1
07.21,2449,2321,87,3
07.22,2462,2326,87,13
07.23,2466,2339,87,4
07.24,2466,2339,87,0
07.25,2469,2341,87,3
07.26,2495,2349,87,26
07.27,2495,2349,87,0
07.28,2555,2352,87,60
07.29,2588,2353,87,33
07.30,2597,2355,87,9
07.31,2608,2355,87,11
08.01,2608,2355,87,0
08.02,2646,2369,87,38
08.03,2646,2369,87,0
08.04,2670,2373,87,24
08.05,2726,2396,88,56
08.06,2726,2396,88,0
08.07,2775,2409,88,49
08.08,2829,2429,88,54
08.09,2888,2442,88,59
08.10,2953,2451,88,65
08.11,3046,2460,88,93
08.12,3093,2472,88,47
08.13,3128,2504,88,35
08.14,3174,2525,89,46
08.15,3229,2547,88,55
08.16,3316,2620,88,87
08.17,3316,2620,88,0
08.18,3364,2692,88,48
08.19,3408,2794,88,44
08.20,3482,2863,88,74
08.21,3565,2894,88,83
08.22,3582,2951,89,17
08.23,3617,3006,89,35
08.24,3682,3044,91,65
08.25,3717,3079,91,35
08.26,3744,3102,91,27
08.27,3759,3159,92,15
08.28,3866,3222,92,107
08.29,3866,3222,92,0
08.30,3925,3273,94,59
08.31,3973,3327,94,48
09.01,4032,3378,94,59
09.02,4065,3395,95,33
09.03,4126,3458,98,61
09.04,4214,3474,100,88
09.05,4266,3487,100,52
09.06,4298,3570,100,32
09.07,4309,3590,101,11
09.08,4352,3642,102,43
09.09,4377,3700,104,25
09.10,4459,3727,104,82
09.11,4551,3779,106,92
09.12,4593,3844,106,42
09.13,4653,3878,108,60
09.14,4684,3930,108,31
09.15,4726,4040,108,42
09.16,4803,4119,108,77
09.17,4876,4131,109,73
09.18,4933,4230,109,57
09.19,5004,4249,111,71
09.20,5055,4284,113,51
09.21,5141,4462,116,86
09.22,5222,4506,117,81
09.23,5270,4582,118,48
09.24,5270,4582,118,0
09.25,5350,4658,118,80
09.26,5350,4658,118,0
09.27,5457,4751,122,107
09.28,5457,4751,122,0
09.29,5531,4866,122,74
09.30,5597,4893,122,66
10.01,5670,4922,122,73
10.02,5670,4922,122,0
10.03,5780,5118,122,110
10.04,5809,5145,122,29
10.05,5809,5145,122,0
10.06,5883,5278,123,74
10.07,5898,5321,123,15
10.08,5917,5371,123,19
10.09,5943,5398,123,26
10.10,5948,5440,123,5
10.11,5978,5540,123,30
10.12,5978,5540,123,0
10.13,6017,5602,123,39
10.14,6035,5653,123,18
10.15,6062,5678,123,27
10.16,6118,5702,124,56
10.17,6170,5753,125,52
10.18,6220,5768,125,50
10.19,6258,5780,127,38
10.20,6258,5780,127,0
10.21,6368,5814,127,110
10.22,6368,5814,127,0
10.23,6479,5899,128,111
10.24,6534,5927,128,55
10.25,6566,5998,128,32
10.26,6566,5998,128,0
10.27,6595,6029,128,29
10.28,6727,6107,128,132
10.29,6727,6107,128,0
10.30,6801,6178,128,74
10.31,6887,6245,128,86
11.01,6887,6245,128,0
11.02,6970,6318,129,83
11.03,6970,6318,129,0
11.04,7035,6374,129,65
11.05,7184,6502,129,149
11.06,7228,6542,130,44
11.07,7267,6582,130,39
11.08,7267,6582,130,0
11.09,7297,6680,130,30
11.10,7349,6721,130,52
11.11,7392,6749,130,43
11.12,7429,6831,130,37
11.13,7487,6924,131,58
11.14,7541,6965,131,54
11.15,7568,7015,131,27
11.16,7590,7060,131,22
11.17,7639,7078,131,49
11.18,7667,7113,131,28
11.19,7725,7201,131,58
11.20,7725,7201,131,0
11.21,7763,7267,131,38
11.22,7798,7307,132,35
11.23,7846,7334,132,48
11.24,7879,7356,132,33
11.25,7950,7428,133,71
11.26,8026,7470,133,76
11.27,8075,7497,133,49
11.28,8110,7525,133,35
11.29,8173,7554,133,63
11.30,8233,7586,134,60
12.01,8284,7631,135,51
12.02,8381,7658,136,97
12.03,8456,7714,136,75
12.04,8531,7770,136,75
12.05,8610,7858,136,79
12.06,8714,7909,136,104
12.07,8782,7963,136,68
12.08,8906,7997,136,124
12.09,8982,8047,136,76
12.10,9106,8137,136,124
12.11,9181,8212,136,75
12.12,9267,8290,136,86
12.13,9354,8371,137,87
12.14,9423,8434,137,69
12.15,9492,8484,137,69
12.16,9588,8592,137,96
