,confirm,heal,dead,confirm_add
03.18,2,0,0,2
03.19,2,0,0,0
03.20,2,0,0,0
03.21,2,0,0,0
03.22,3,0,0,1
03.23,3,0,0,0
03.24,3,0,0,0
03.25,12,0,0,9
03.26,16,0,0,4
03.27,22,0,0,6
03.28,28,0,0,6
03.29,29,0,0,1
03.30,35,0,0,7
03.31,35,0,0,0
04.01,36,0,0,1
04.02,39,0,1,3
04.03,39,2,1,0
04.04,39,2,1,0
04.05,39,3,1,0
04.06,39,3,1,0
04.07,39,7,1,0
04.08,39,7,1,0
04.09,39,7,1,0
04.10,40,25,2,1
04.11,40,28,2,0
04.12,43,30,2,3
04.13,43,30,2,0
04.14,45,30,2,2
04.15,48,30,2,3
04.16,48,30,2,0
04.17,52,30,2,4
04.18,57,33,2,5
04.19,61,33,3,4
04.20,65,35,3,4
04.21,70,35,3,5
04.22,74,35,3,4
04.23,74,35,3,0
04.24,76,37,3,2
04.25,84,37,3,8
04.26,88,42,3,4
04.27,88,42,3,0
04.28,95,42,3,7
04.29,97,54,3,2
04.30,97,54,3,0
05.01,106,55,3,9
05.02,119,75,3,13
05.03,119,75,3,0
05.04,137,78,3,18
05.05,137,78,3,0
05.06,139,92,4,2
05.07,146,101,4,7
05.08,167,111,4,21
05.09,252,112,7,85
05.10,267,117,7,15
05.11,267,117,7,0
05.12,441,117,7,174
05.13,446,124,7,5
05.14,654,124,7,208
05.15,654,124,7,0
05.16,679,183,7,25
05.17,753,188,7,74
05.18,761,192,7,8
05.19,772,192,7,11
05.20,832,197,7,60
05.21,832,197,7,0
05.22,866,302,7,34
05.23,920,336,7,54
05.24,920,336,7,0
05.25,920,336,7,0
05.26,920,336,7,0
05.27,920,336,7,0
05.28,1057,779,7,137
05.29,1057,779,7,0
05.30,1057,779,7,0
05.31,1057,779,7,0
06.01,1089,912,7,32
06.02,1089,912,7,0
06.03,1089,912,7,0
06.04,1089,912,7,0
06.05,1089,912,7,0
06.06,1089,912,7,0
06.07,1089,912,7,0
06.08,1200,912,10,111
06.09,1200,912,10,0
06.10,1200,912,10,0
06.11,1200,912,10,0
06.12,1200,912,10,0
06.13,1321,1104,10,121
06.14,1357,1114,10,36
06.15,1382,1142,11,25
06.16,1382,1142,11,0
06.17,1405,1142,11,23
06.18,1416,1144,11,11
06.19,1416,1144,11,0
06.20,1430,1194,11,14
06.21,1430,1194,11,0
06.22,1430,1194,11,0
06.23,1430,1194,11,0
06.24,1477,1213,18,47
06.25,1497,1223,18,20
06.26,1497,1223,18,0
06.27,1531,1233,21,34
06.28,1531,1233,21,0
06.29,1557,1311,22,26
06.30,1568,1311,22,11
07.01,1632,1348,30,64
07.02,1632,1348,30,0
07.03,1632,1348,30,0
07.04,1632,1348,30,0
07.05,1632,1348,30,0
07.06,1632,1348,30,0
07.07,1632,1348,30,0
07.08,1895,1348,42,263
07.09,1895,1348,42,0
07.10,1895,1348,42,0
07.11,1895,1348,42,0
07.12,1895,1348,42,0
07.13,1895,1412,42,0
07.14,1895,1412,42,0
07.15,1895,1412,42,0
07.16,1895,1412,42,0
07.17,1895,1412,42,0
07.18,2980,1462,120,1085
07.19,2980,1462,120,0
07.20,3326,1620,128,346
07.21,3326,1620,128,0
07.22,3583,1677,128,257
07.23,3583,1677,128,0
07.24,3789,1677,134,206
07.25,4328,1953,139,539
07.26,4328,1953,139,0
07.27,4481,2350,139,153
07.28,4552,2815,140,71
07.29,5249,3285,146,697
07.30,5555,3289,149,306
07.31,5963,3803,151,408
08.01,6228,4130,165,265
08.02,6347,4493,170,119
08.03,6580,4701,171,233
08.04,6793,5109,173,213
08.05,7022,5667,176,229
08.06,7022,5667,176,0
08.07,7486,6264,200,464
08.08,7903,6431,203,417
08.09,8085,6698,235,182
08.10,8085,6698,235,0
08.11,8275,7004,241,190
08.12,8275,7004,241,0
08.13,8663,7401,246,388
08.14,8663,7401,246,0
08.15,9186,8065,260,523
08.16,9186,8065,260,0
08.17,9343,8412,260,157
08.18,9981,8776,264,638
08.19,10218,9126,269,237
08.20,10372,9126,274,154
08.21,10372,9126,274,0
08.22,10627,9126,277,255
08.23,11082,9942,280,455
08.24,11082,9942,280,0
08.25,11148,10208,280,66
08.26,11285,10400,282,137
08.27,11376,10693,282,91
08.28,11779,10945,283,403
08.29,11902,11092,284,123
08.30,12025,11454,287,123
08.31,12097,11469,288,72
09.01,12097,11469,288,0
09.02,12415,11494,292,318
09.03,12523,11562,292,108
09.04,12639,11572,292,116
09.05,12709,11668,292,70
09.06,12776,11674,295,67
09.07,12776,11674,295,0
09.08,12836,11748,295,60
09.09,13112,11839,300,276
09.10,13214,11899,300,102
09.11,13323,11899,306,109
09.12,13466,12007,312,143
09.13,13539,12260,312,73
09.14,13720,12380,320,181
09.15,13819,12590,324,99
09.16,13887,12869,326,68
09.17,13887,12869,326,0
09.18,13928,13029,326,41
09.19,14022,13207,329,94
09.20,14131,13365,330,109
09.21,14175,13365,330,44
09.22,14389,13629,331,214
09.23,14389,13629,331,0
09.24,14491,13643,332,102
09.25,14515,13643,332,24
09.26,14515,13643,332,0
09.27,14612,13727,332,97
09.28,14660,13821,332,48
09.29,14715,13937,332,55
09.30,14759,13959,332,44
10.01,14802,13961,333,43
10.02,14830,13980,333,28
10.03,14830,13980,333,0
10.04,14974,14094,333,144
10.05,15089,14306,334,115
10.06,15170,14313,335,81
10.07,15170,14313,335,0
10.08,15224,14342,335,54
10.09,15301,14365,335,77
10.10,15415,14541,337,114
10.11,15415,14541,337,0
10.12,15549,14682,345,134
10.13,15549,14682,345,0
10.14,15616,14850,345,67
10.15,15616,14850,345,0
10.16,15659,14899,346,43
10.17,15659,14899,346,0
10.18,15853,15005,346,194
10.19,15897,15031,346,44
10.20,15982,15038,346,85
10.21,16000,15168,346,18
10.22,16000,15168,346,0
10.23,16095,15179,346,95
10.24,16095,15179,346,0
10.25,16117,15179,348,22
10.26,16200,15445,348,83
10.27,16200,15445,348,0
10.28,16243,15481,348,43
