,confirm,heal,dead,confirm_add
02.24,1,0,0,0
02.25,17,0,0,16
02.26,26,0,0,9
02.27,33,0,0,10
02.28,38,0,0,5
02.29,41,0,0,3
03.01,41,0,0,0
03.02,47,0,0,6
03.03,47,0,0,0
03.04,50,0,0,3
03.05,50,0,0,0
03.06,56,4,0,6
03.07,56,4,0,0
03.08,77,6,0,21
03.09,109,14,0,32
03.10,109,14,0,0
03.11,189,30,0,80
03.12,195,35,0,6
03.13,210,44,0,15
03.14,211,60,0,1
03.15,214,60,0,3
03.16,221,77,1,7
03.17,237,81,1,16
03.18,256,81,1,19
03.19,269,100,1,13
03.20,285,110,1,16
03.21,306,125,1,21
03.22,334,129,2,28
03.23,339,160,2,5
03.24,391,177,3,52
03.25,419,190,4,28
03.26,457,204,4,38
03.27,466,227,4,9
03.28,473,254,4,7
03.29,515,272,4,16
03.30,515,279,4,16
03.31,567,295,4,52
04.01,567,316,4,0
04.02,635,341,4,68
04.03,672,382,4,37
04.04,688,399,4,16
04.05,698,427,4,10
04.06,723,451,4,25
04.07,811,458,4,88
04.08,821,467,5,10
04.09,855,495,5,34
04.10,913,530,6,58
04.11,1016,551,6,103
04.12,1087,557,6,71
04.13,1348,591,6,261
04.14,1522,645,7,174
04.15,1671,663,7,149
04.16,1698,703,7,27
04.17,1740,725,7,42
04.18,1767,741,7,27
04.19,1873,759,7,106
04.20,1895,769,7,22
04.21,1952,783,7,57
04.22,2009,1026,7,57
04.23,2098,1082,8,89
04.24,2506,1082,8,408
04.25,2588,1160,8,82
04.26,2588,1160,8,0
04.27,2647,1189,8,59
04.28,2810,1246,8,163
04.29,2811,1310,8,1
04.30,3037,1495,8,226
05.01,3040,1500,8,3
05.02,3273,1567,8,233
05.03,3284,1568,8,11
05.04,3383,1718,8,99
05.05,3679,1762,8,296
05.06,3842,1860,8,163
05.07,4131,1998,8,289
05.08,4404,2027,8,273
05.09,4595,2049,8,191
05.10,4856,2065,8,261
05.11,5157,2152,8,301
05.12,5409,2182,9,252
05.13,5780,2195,9,371
05.14,5816,2205,10,36
05.15,6418,2637,10,602
05.16,6655,2753,12,237
05.17,6930,2774,12,275
05.18,7156,2929,12,226
05.19,7374,2952,12,218
05.20,7843,3334,12,469
05.21,8039,3715,12,196
05.22,8174,3873,12,135
05.23,8774,4462,12,600
05.24,9093,4581,13,319
05.25,9164,4753,14,71
05.26,9223,4916,14,59
05.27,9633,5142,15,410
05.28,9977,5295,15,344
05.29,10352,5491,15,375
05.30,10740,5811,15,388
05.31,11288,6673,19,548
06.01,11804,7070,19,516
06.02,12229,7397,19,425
06.03,12311,7407,19,82
06.04,12815,7410,21,504
06.05,13733,8471,22,918
06.06,14224,9020,23,491
06.07,14763,9468,25,539
06.08,15417,10326,26,654
