,confirm,heal,dead,confirm_add
03.05,2,0,0,2
03.06,4,0,0,2
03.07,4,0,0,0
03.08,5,0,0,1
03.09,9,0,0,4
03.10,9,0,0,0
03.11,13,0,0,4
03.12,13,0,0,0
03.13,16,0,0,3
03.14,25,1,0,6
03.15,30,1,0,5
03.16,32,1,1,2
03.17,50,2,1,18
03.18,58,2,1,8
03.19,58,2,1,0
03.20,85,2,1,27
03.21,103,7,4,18
03.22,131,12,6,28
03.23,167,12,7,36
03.24,187,12,8,20
03.25,226,21,10,39
03.26,261,28,10,35
03.27,300,34,10,39
03.28,343,34,11,43
03.29,408,34,13,65
03.30,447,34,15,39
03.31,492,37,16,45
04.01,525,40,20,33
04.02,585,42,21,60
04.03,623,43,26,38
04.04,678,58,32,55
04.05,733,66,34,55
04.06,744,67,38,11
04.07,817,71,47,73
04.08,895,94,58,78
04.09,980,96,66,85
04.10,1190,112,77,210
04.11,1310,115,85,120
04.12,1410,118,99,100
04.13,1458,120,109,48
04.14,1512,122,122,54
04.15,1579,192,134,67
04.16,1652,199,142,73
04.17,1763,207,156,111
04.18,1834,231,172,71
04.19,1916,250,189,82
04.20,1984,267,199,68
04.21,2098,287,213,114
04.22,2168,295,225,70
04.23,2284,390,239,116
04.24,2383,401,250,99
04.25,2443,458,262,60
04.26,2500,485,272,57
04.27,2583,498,280,83
04.28,2649,516,291,66
04.29,2727,536,300,78
04.30,2775,581,312,48
05.01,2863,609,323,88
05.02,2942,625,335,79
05.03,2942,625,335,0
05.04,3035,630,351,93
05.05,3065,709,363,30
05.06,3111,759,373,46
05.07,3150,801,383,39
05.08,3178,865,392,28
05.09,3213,904,405,35
05.10,3263,933,413,50
05.11,3284,958,421,21
05.12,3313,1007,425,29
05.13,3341,1102,430,28
05.14,3380,1169,436,39
05.15,3417,1287,442,37
05.16,3473,1371,448,56
05.17,3509,1396,451,36
05.18,3535,1400,462,26
05.19,3556,1412,467,21
05.20,3598,1454,470,42
05.21,3641,1509,473,43
05.22,3678,1587,476,37
05.23,3713,1655,482,35
05.24,3741,1690,486,28
05.25,3756,1711,491,15
05.26,3771,1836,499,15
05.27,3793,1856,505,22
05.28,3816,1996,509,23
05.29,3841,2024,517,25
05.30,3867,2142,524,26
05.31,3876,2147,526,9
06.01,3892,2156,527,16
06.02,3921,2160,532,29
06.03,3921,2160,532,0
06.04,3954,2205,539,33
06.05,3970,2245,542,16
06.06,3990,2279,545,20
06.07,4008,2279,546,18
06.08,4014,2284,548,6
06.09,4017,2324,550,3
06.10,4027,2355,551,10
06.11,4039,2391,553,12
06.12,4053,2447,555,14
06.13,4064,2476,559,11
06.14,4069,2482,562,5
06.15,4076,2485,563,7
06.16,4077,2516,565,1
06.17,4078,2547,567,1
06.18,4079,2564,568,1
06.19,4081,2581,568,2
06.20,4086,2585,570,5
06.21,4094,2589,570,8
06.22,4102,2590,572,8
06.23,4107,2600,573,5
06.24,4114,2618,576,7
06.25,4123,2640,577,9
06.26,4127,2663,578,4
06.27,4138,2681,578,11
06.28,4142,2685,581,4
06.29,4145,2685,585,3
