,confirm,heal,dead,confirm_add
01.28,1,0,0,0
01.29,1,0,0,0
01.30,1,0,0,0
01.31,1,0,0,0
02.01,1,0,0,0
02.02,1,0,0,0
02.03,1,0,0,0
02.04,1,0,0,0
02.05,1,0,0,0
02.06,1,0,0,0
02.07,1,0,0,0
02.08,1,0,0,0
02.09,1,0,0,0
02.10,1,0,0,0
02.11,1,0,0,0
02.12,1,0,0,0
02.13,1,0,0,0
02.14,1,0,0,0
02.15,1,0,0,0
02.16,1,0,0,0
02.17,1,0,0,0
02.18,1,1,0,0
02.19,1,1,0,0
02.20,1,1,0,0
02.21,1,1,0,0
02.22,1,1,0,0
02.23,1,1,0,0
02.24,1,1,0,0
02.25,1,1,0,0
02.26,1,1,0,0
02.27,1,1,0,0
02.28,1,1,0,0
02.29,1,1,0,0
03.01,1,1,0,0
03.02,1,1,0,0
03.03,1,1,0,0
03.04,1,1,0,0
03.05,1,1,0,0
03.06,1,1,0,0
03.07,1,1,0,0
03.08,1,1,0,0
03.09,1,1,0,0
03.10,1,1,0,0
03.11,1,1,0,0
03.12,1,1,0,0
03.13,1,1,0,0
03.14,1,1,0,0
03.15,1,1,0,0
03.16,1,1,0,0
03.17,1,1,0,0
03.18,1,1,0,0
03.19,1,1,0,0
03.20,1,1,0,0
03.21,1,1,0,0
03.22,2,1,0,1
03.23,2,1,0,1
03.24,4,1,0,2
03.25,5,1,0,1
03.26,3,1,0,-2
03.27,4,1,0,1
03.28,5,1,0,1
03.29,5,1,0,0
03.30,5,1,0,0
03.31,5,1,0,0
04.01,5,1,0,0
04.02,6,1,0,1
04.03,6,1,0,0
04.04,9,1,0,3
04.05,9,1,0,0
04.06,9,1,0,0
04.07,9,1,0,0
04.08,9,1,0,0
04.09,9,1,0,0
04.10,9,1,0,0
04.11,9,1,0,0
04.12,12,1,0,3
04.13,14,1,0,2
04.14,16,1,0,2
04.15,16,1,0,0
04.16,16,2,0,0
04.17,30,2,0,14
04.18,31,2,0,1
04.19,31,4,0,0
04.20,31,4,0,0
04.21,43,4,0,12
04.22,45,7,0,2
04.23,47,9,0,2
04.24,48,10,0,1
04.25,49,12,0,1
04.26,52,16,0,3
04.27,52,16,0,0
04.28,54,16,0,2
04.29,57,16,0,3
04.30,57,16,0,0
05.01,59,16,0,2
05.02,59,16,0,0
05.03,59,16,0,0
05.04,75,16,0,16
05.05,82,16,0,7
05.06,99,22,0,17
05.07,99,22,0,0
05.08,102,30,0,3
05.09,109,31,0,7
05.10,110,31,0,1
05.11,134,33,0,24
05.12,191,33,0,57
05.13,243,35,0,52
05.14,246,35,0,3
05.15,267,36,0,21
05.16,278,36,0,11
05.17,295,36,2,17
05.18,357,36,2,62
05.19,402,37,2,45
05.20,427,45,2,25
05.21,453,49,3,26
05.22,507,70,3,54
05.23,584,70,3,77
05.24,603,87,3,19
05.25,682,112,4,79
05.26,772,155,4,90
05.27,886,183,4,114
05.28,1042,187,5,156
05.29,1212,206,6,170
05.30,1401,219,6,189
05.31,1567,220,8,166
06.01,1811,221,8,244
06.02,2099,266,8,288
06.03,2099,266,8,0
06.04,2634,290,10,535
06.05,2912,333,11,278
06.06,3235,365,13,323
06.07,3448,467,13,213
06.08,3762,488,14,314
06.09,4086,584,15,324
06.10,4086,584,15,0
06.11,4614,861,15,528
06.12,5062,877,16,448
06.13,5335,913,18,273
06.14,5760,974,19,425
06.15,6211,1041,19,451
06.16,6591,1158,19,380
06.17,7177,1167,20,586
06.18,7848,1186,22,671
06.19,8274,1402,22,426
06.20,8605,1578,22,331
06.21,9026,1772,23,421
06.22,9561,2148,23,535
06.23,10099,2224,24,538
06.24,10728,2338,24,629
06.25,11162,2650,26,434
06.26,11755,2698,27,593
06.27,12309,2834,28,554
06.28,12772,3013,28,463
06.29,13248,3134,29,476
06.30,13564,3194,29,316
07.01,14046,4656,30,482
07.02,14519,5320,31,473
07.03,15259,6143,32,740
07.04,15491,6415,34,232
07.05,15784,6547,34,293
07.06,15964,6811,35,180
07.07,16168,7499,35,204
07.08,16423,7752,35,255
07.09,16531,7891,35,108
07.10,16649,8011,35,118
07.11,16719,8442,38,70
07.12,16801,8589,38,82
07.13,16945,10294,38,144
07.14,17061,10328,38,116
07.15,17177,11025,39,116
07.16,17344,11249,39,167
07.17,17445,11534,40,101
07.18,17502,11637,40,57
07.19,17658,11695,40,156
07.20,17844,11868,40,186
07.21,17994,12477,40,150
07.22,18094,12684,42,100
07.23,18241,12840,43,147
07.24,18374,12947,44,133
07.25,18483,13053,45,109
07.26,18613,13128,45,130
07.27,18752,13754,48,139
07.28,19063,13875,49,311
07.29,19273,14021,49,210
07.30,19547,14248,52,274
07.31,19771,14399,56,224
08.01,20086,14492,56,315
08.02,20332,14603,57,246
08.03,20750,14961,57,418
08.04,21009,15026,58,259
08.05,21390,15156,60,381
08.06,21750,15389,65,360
08.07,22214,15814,70,464
08.08,22592,16313,73,378
08.09,22972,16353,75,380
