,confirm,heal,dead,confirm_add
03.16,1,0,0,1
03.17,1,0,0,0
03.18,1,0,0,0
03.19,1,0,0,0
03.20,1,0,0,0
03.21,2,0,0,1
03.22,2,0,0,0
03.23,2,0,0,0
03.24,5,0,0,4
03.25,6,0,0,1
03.26,6,0,0,0
03.27,6,0,0,0
03.28,6,0,0,1
03.29,6,0,0,0
03.30,6,0,0,0
03.31,6,1,0,0
04.01,9,1,0,3
04.02,13,1,0,4
04.03,13,1,0,0
04.04,16,2,0,3
04.05,16,2,0,0
04.06,22,5,1,6
04.07,26,5,1,4
04.08,26,5,1,0
04.09,26,5,1,0
04.10,26,5,1,0
04.11,35,5,1,9
04.12,35,5,1,0
04.13,35,5,1,0
04.14,35,5,1,0
04.15,35,18,1,0
04.16,35,18,1,0
04.17,35,18,1,0
04.18,35,18,1,0
04.19,35,18,1,0
04.20,54,27,1,19
04.21,54,27,1,0
04.22,54,27,1,0
04.23,54,27,1,0
04.24,54,27,1,0
04.25,54,27,1,0
04.26,54,27,1,0
04.27,64,33,1,10
04.28,64,33,1,0
04.29,64,33,1,0
04.30,64,33,1,0
05.01,64,33,1,0
05.02,90,42,2,26
05.03,90,42,2,0
05.04,96,50,2,6
05.05,96,50,2,0
05.06,96,50,2,0
05.07,140,53,2,44
05.08,242,62,2,102
05.09,284,62,2,42
05.10,319,62,2,35
05.11,319,62,2,0
05.12,327,76,2,8
05.13,327,83,2,0
05.14,327,83,2,0
05.15,339,83,2,12
05.16,339,83,2,0
05.17,339,83,2,0
05.18,339,83,2,0
05.19,339,83,2,0
05.20,130,83,2,-209
05.21,130,57,2,0
05.22,135,61,3,5
05.23,135,61,3,0
05.24,135,61,3,0
05.25,191,84,3,56
05.26,208,118,3,17
05.27,210,134,3,2
05.28,210,134,3,0
05.29,224,136,3,14
05.30,224,136,3,0
05.31,232,143,3,8
06.01,232,143,3,0
06.02,243,147,3,11
06.03,244,148,3,1
06.04,261,151,3,17
06.05,261,151,3,0
06.06,261,151,3,0
06.07,261,151,3,0
06.08,288,186,4,27
06.09,305,188,4,17
06.10,305,188,4,0
06.11,305,188,4,0
06.12,388,217,5,83
06.13,412,222,6,24
06.14,412,222,6,0
06.15,483,232,9,71
06.16,532,236,9,49
06.17,572,237,9,40
06.18,597,238,11,25
06.19,597,238,11,0
06.20,650,247,11,53
06.21,765,253,13,115
06.22,807,253,13,42
06.23,850,272,13,43
06.24,902,277,13,52
06.25,1017,288,14,115
06.26,1053,292,14,36
06.27,1053,292,14,0
06.28,1149,306,16,96
06.29,1187,323,19,38
06.30,1199,333,21,12
07.01,1199,333,21,0
07.02,1199,333,21,0
07.03,1199,333,21,0
07.04,1199,333,21,0
07.05,1199,333,21,0
07.06,1199,333,21,0
07.07,1199,333,21,0
07.08,1199,333,21,0
07.09,1199,333,21,0
07.10,1285,333,23,86
07.11,1285,333,23,0
07.12,1378,557,26,93
07.13,1378,557,26,0
07.14,1378,557,26,0
07.15,1378,557,26,0
07.16,1378,557,26,0
07.17,1602,782,31,224
07.18,1602,782,31,0
07.19,1602,782,31,0
07.20,1602,782,31,0
07.21,1602,782,31,0
07.22,1602,782,31,0
07.23,1694,918,34,92
07.24,1694,918,34,0
07.25,1694,918,34,0
07.26,1770,1036,35,76
07.27,1770,1036,35,0
07.28,1770,1036,35,0
07.29,1770,1036,35,0
07.30,1805,1036,36,35
07.31,1805,1036,36,0
08.01,1805,1036,36,0
08.02,1805,1036,36,0
08.03,1805,1036,36,0
08.04,1805,1036,36,0
08.05,1914,1036,38,109
08.06,1936,1600,38,22
08.07,1936,1600,38,0
08.08,1936,1600,38,0
08.09,1936,1600,38,0
08.10,1936,1600,38,0
08.11,2001,1681,38,65
08.12,2001,1681,38,0
08.13,2014,1681,38,13
08.14,2014,1681,38,0
08.15,2014,1681,38,0
08.16,2063,1690,39,49
08.17,2063,1690,39,0
08.18,2063,1690,39,0
08.19,2063,1690,39,0
08.20,2095,1690,39,32
08.21,2095,1705,39,0
08.22,2095,1705,39,0
08.23,2115,1705,39,20
08.24,2115,1705,39,0
08.25,2115,1705,39,0
08.26,2115,1705,39,0
08.27,2145,1738,40,30
08.28,2145,1738,40,0
08.29,2145,1738,40,0
08.30,2145,1738,40,0
08.31,2145,1738,40,0
09.01,2145,1738,40,0
09.02,2145,1738,40,0
09.03,2194,1738,40,49
09.04,2194,1738,40,0
09.05,2194,1793,40,0
09.06,2213,1793,40,19
09.07,2213,1793,40,0
09.08,2213,1793,40,0
09.09,2213,1793,40,0
09.10,2242,1793,40,29
09.11,2242,1793,40,0
09.12,2242,1793,40,0
09.13,2267,1942,40,25
09.14,2267,1942,40,0
09.15,2267,1942,40,0
09.16,2267,1942,40,0
09.17,2280,1942,40,13
09.18,2280,1950,40,0
09.19,2280,1950,40,0
09.20,2280,1950,40,0
09.21,2294,1954,40,14
09.22,2294,1954,40,0
09.23,2294,1954,40,0
09.24,2325,1954,40,31
09.25,2325,1954,40,0
09.26,2325,1960,40,0
09.27,2325,1960,40,0
09.28,2340,1960,40,15
09.29,2340,1960,40,0
09.30,2357,1973,41,17
10.01,2357,1973,41,0
10.02,2357,1973,41,0
10.03,2357,1973,41,0
10.04,2357,1973,41,0
10.05,2357,1973,41,0
10.06,2357,1973,41,0
10.07,2357,1973,41,0
10.08,2411,1973,41,54
10.09,2411,1973,41,0
10.10,2411,1973,41,0
10.11,2411,1973,41,0
10.12,2411,1973,41,0
10.13,2411,1973,41,0
10.14,2478,2330,41,67
10.15,2478,2330,41,0
10.16,2496,2330,41,18
10.17,2496,2330,41,0
10.18,2496,2330,41,0
10.19,2496,2330,41,0
10.20,2496,2330,41,0
10.21,2496,2330,41,0
10.22,2557,2330,41,61
10.23,2557,2330,41,0
10.24,2557,2330,41,0
10.25,2557,2330,41,0
10.26,2557,2330,41,0
10.27,2557,2330,41,0
10.28,2557,2330,41,0
10.29,2643,2330,41,86
10.30,2643,2330,41,0
10.31,2643,2330,41,0
11.01,2683,2455,41,40
11.02,2683,2455,41,0
11.03,2683,2455,41,0
11.04,2683,2455,41,0
11.05,2745,2455,43,62
11.06,2745,2466,43,0
11.07,2745,2466,43,0
11.08,2745,2466,43,0
11.09,2745,2466,43,0
11.10,2781,2515,43,36
11.11,2781,2515,43,0
11.12,2844,2515,43,63
11.13,2844,2515,43,0
11.14,2844,2515,43,0
11.15,2844,2515,43,0
11.16,2884,2579,43,40
11.17,2884,2579,43,0
11.18,2884,2579,43,0
11.19,2916,2579,43,32
11.20,2916,2579,43,0
11.21,2916,2579,43,0
11.22,2916,2579,43,0
11.23,2916,2579,43,0
11.24,2916,2579,43,0
11.25,2916,2579,43,0
11.26,2974,2579,43,58
11.27,2974,2579,43,0
11.28,2974,2579,43,0
11.29,2974,2819,43,0
11.30,3015,2839,43,41
12.01,3015,2839,43,0
12.02,3015,2839,43,0
12.03,3055,2839,44,40
12.04,3055,2907,44,0
12.05,3055,2907,44,0
12.06,3055,2907,44,0
12.07,3073,2922,44,18
12.08,3073,2922,44,0
12.09,3090,2972,44,17
12.10,3090,2972,44,0
12.11,3090,2972,44,0
12.12,3090,2972,44,0
12.13,3090,2972,44,0
12.14,3090,2972,44,0
12.15,3090,2972,44,0
12.16,3090,2972,44,0
12.17,3152,2972,44,62
12.18,3152,2972,44,0
12.19,3152,2972,44,0
12.20,3152,2972,44,0
12.21,3167,3061,44,15
12.22,3167,3061,44,0
12.23,3167,3061,44,0
12.24,3205,3061,44,38
12.25,3205,3061,44,0
12.26,3205,3061,44,0
12.27,3205,3061,44,0
12.28,3205,3061,44,0
12.29,3205,3061,44,0
12.30,3205,3061,44,0
12.31,3251,3061,44,46
01.01,3251,3061,44,0
01.02,3251,3061,44,0
01.03,3251,3061,44,0
01.04,3251,3061,44,0
01.05,3251,3061,44,0
01.06,3304,3185,44,53
01.07,3304,3185,44,0
01.08,3304,3185,44,0
01.09,3304,3185,44,0
01.10,3304,3185,44,0
01.11,3363,3222,46,59
01.12,3363,3222,46,0
01.13,3363,3222,46,0
01.14,3413,3222,46,50
01.15,3413,3222,46,0
01.16,3413,3245,46,0
01.17,3413,3245,46,0
01.18,3413,3245,46,0
01.19,3413,3245,46,0
01.20,3557,3284,46,144
01.21,3557,3284,46,0
01.22,3582,3284,48,25
01.23,3643,3317,48,61
01.24,3643,3317,48,0
01.25,3643,3317,48,0
01.26,3643,3317,48,0
01.27,3643,3317,48,0
01.28,3786,3317,48,143
01.29,3786,3398,48,0
01.30,3786,3398,48,0
01.31,3786,3398,48,0
02.01,3893,3421,52,107
02.02,3893,3421,52,0
02.03,4119,3552,54,226
02.04,4119,3552,54,0
02.05,4193,3563,55,74
02.06,4193,3563,55,0
02.07,4193,3563,55,0
02.08,4193,3563,55,0
02.09,4193,3563,55,0
02.10,4193,3563,55,0
02.11,4560,3772,56,367
02.12,4560,3772,56,0
02.13,4560,3772,56,0
02.14,4560,3772,56,0
02.15,4560,3772,56,0
02.16,5039,3960,62,479
02.17,5143,4119,65,104
02.18,5143,4119,65,0
02.19,5143,4119,65,0
02.20,5143,4119,65,0
02.21,5434,4248,70,291
02.22,5434,4248,70,0
02.23,5434,4248,70,0
02.24,5434,4248,70,0
02.25,5434,4248,70,0
02.26,5434,4248,70,0
02.27,5434,4248,70,0
02.28,5434,4248,70,0
03.01,5434,4248,70,0
03.02,5434,4248,70,0
03.03,6071,4963,75,637
03.04,6071,4963,75,0
03.05,6071,4963,75,0
03.06,6071,4963,75,0
03.07,6071,4963,75,0
03.08,6338,5383,81,267
03.09,6338,5383,81,0
03.10,6501,5552,81,163
03.11,6501,5552,81,0
03.12,6501,5552,81,0
03.13,6501,5552,81,0
03.14,6501,5552,81,0
03.15,6501,5552,81,0
03.16,6501,5552,81,0
03.17,6501,5552,81,0
03.18,6501,5552,81,0
03.19,6501,5552,81,0
03.20,6818,5552,90,317
03.21,6818,5552,90,0
03.22,6818,5552,90,0
03.23,6818,5552,90,0
03.24,6818,5552,90,0
