,confirm,heal,dead,confirm_add
02.27,1,0,0,1
02.28,3,0,0,2
03.01,3,0,0,0
03.02,3,0,0,0
03.03,3,1,0,0
03.04,4,1,0,1
03.05,6,1,0,2
03.06,7,1,0,1
03.07,9,1,0,2
03.08,14,1,0,1
03.09,15,1,0,1
03.10,17,5,0,2
03.11,31,6,0,14
03.12,49,6,0,18
03.13,70,7,0,21
03.14,101,7,0,31
03.15,123,7,0,22
03.16,123,7,0,0
03.17,158,7,0,35
03.18,158,7,0,0
03.19,158,7,0,0
03.20,277,25,0,119
03.21,308,31,0,31
03.22,433,64,1,125
03.23,576,73,5,143
03.24,763,73,8,329
03.25,906,86,13,143
03.26,907,86,17,144
03.27,1029,86,17,122
03.28,1292,115,24,263
03.29,1452,139,37,160
03.30,1952,206,46,500
03.31,2245,220,78,293
04.01,2460,252,86,215
04.02,2738,267,94,278
04.03,3183,283,122,445
04.04,3613,329,141,430
04.05,3864,374,148,251
04.06,4057,406,162,193
04.07,4417,460,197,360
04.08,4761,528,215,344
04.09,5202,647,229,441
04.10,5467,729,265,265
04.11,5990,758,282,523
04.12,6300,852,306,310
04.13,6633,914,318,333
04.14,6879,1051,351,246
04.15,7216,1217,362,337
04.16,7707,1357,392,491
04.17,8067,1508,411,360
04.18,8418,1730,421,351
04.19,8746,1892,434,328
04.20,8936,2017,469,190
04.21,9242,2153,482,306
04.22,9710,2406,508,468
04.23,10096,2478,541,386
04.24,10417,2817,552,321
04.25,10635,2890,579,218
04.26,11036,3054,608,401
04.27,11339,3141,631,303
04.28,11616,3404,650,277
04.29,11978,3569,681,362
04.30,12240,4017,705,262
05.01,12567,4328,726,327
05.02,12732,4547,755,165
05.03,12732,4547,771,0
05.04,13512,5269,803,780
05.05,13837,5454,841,325
05.06,14107,5788,858,270
05.07,14499,6144,881,392
05.08,14811,6423,898,312
05.09,15131,6912,929,320
05.10,15362,7051,952,231
05.11,15588,7245,972,226
05.12,15778,7685,991,190
05.13,16002,7961,1016,224
05.14,16247,9053,1046,245
05.15,16437,9370,1056,190
05.16,16704,9574,1081,267
05.17,16871,9890,1104,167
05.18,17036,9930,1107,165
05.19,17191,10166,1126,155
05.20,17387,10356,1144,196
05.21,17585,10581,1151,198
05.22,17712,10777,1159,127
05.23,17857,11187,1170,145
05.24,18070,11399,1185,213
05.25,18283,11630,1202,213
05.26,18429,11874,1210,146
05.27,18594,12162,1223,165
05.28,18791,12629,1231,197
05.29,18982,12829,1240,191
05.30,19133,13046,1259,151
05.31,19257,13256,1266,124
06.01,19398,13426,1276,141
06.02,19517,13526,1279,119
06.03,19517,13526,1288,0
06.04,19907,13919,1299,390
06.05,20103,14145,1308,196
06.06,20290,14419,1318,187
06.07,20479,14638,1326,189
06.08,20604,14826,1339,125
06.09,20749,14910,1353,145
