,confirm,heal,dead,confirm_add
03.13,1,0,0,1
03.14,1,0,0,0
03.15,1,0,0,0
03.16,1,0,0,0
03.17,1,0,0,0
03.18,3,0,0,2
03.19,3,0,0,0
03.20,4,0,1,1
03.21,4,0,1,0
03.22,5,0,1,1
03.23,5,0,1,0
03.24,6,0,1,1
03.25,6,0,1,0
03.26,7,0,1,1
03.27,7,0,1,2
03.28,7,0,1,0
03.29,7,0,1,0
03.30,7,0,1,0
03.31,16,0,1,9
04.01,18,0,1,2
04.02,18,0,1,0
04.03,21,1,1,3
04.04,21,1,1,0
04.05,21,1,1,0
04.06,24,1,1,3
04.07,30,1,1,6
04.08,30,1,1,0
04.09,34,1,1,4
04.10,44,1,1,10
04.11,44,1,1,0
04.12,49,1,1,5
04.13,57,1,1,8
04.14,57,1,1,0
04.15,80,4,1,23
04.16,80,4,1,0
04.17,95,6,1,15
04.18,108,7,1,13
04.19,108,7,1,0
04.20,109,7,1,1
04.21,120,7,1,11
04.22,156,16,1,36
04.23,166,24,2,10
04.24,167,24,2,1
04.25,172,26,3,5
04.26,176,30,3,4
04.27,176,30,3,0
04.28,211,43,3,35
04.29,238,53,3,27
04.30,276,67,3,38
05.01,276,67,3,0
05.02,276,67,3,0
05.03,335,85,5,59
05.04,335,85,5,0
05.05,367,93,6,32
05.06,397,93,6,30
05.07,439,99,8,42
05.08,504,110,8,65
05.09,620,110,8,116
05.10,661,110,8,41
05.11,661,110,8,0
05.12,802,127,9,141
05.13,863,137,9,61
05.14,1004,152,9,141
05.15,1104,182,10,100
05.16,1209,219,10,105
05.17,1320,244,11,111
05.18,1320,244,11,0
05.19,1432,301,11,112
05.20,1502,318,12,70
05.21,1567,365,12,65
05.22,1567,365,12,0
05.23,1728,402,12,161
05.24,1934,459,12,206
05.25,1934,459,12,0
05.26,2135,562,14,201
05.27,2238,593,14,103
05.28,2319,631,14,81
05.29,2431,668,14,112
05.30,2613,709,15,182
05.31,2655,722,17,42
06.01,2655,722,17,0
06.02,2655,722,17,0
06.03,2803,779,20,148
06.04,2902,801,20,99
06.05,2955,818,21,53
06.06,3101,833,21,146
06.07,3101,833,21,0
06.08,3101,833,21,0
06.09,3101,833,21,0
06.10,3247,938,21,146
06.11,3375,978,22,128
06.12,3463,1024,23,88
06.13,3463,1024,23,0
06.14,3463,1024,23,0
06.15,3463,1024,23,0
06.16,4033,1334,27,570
06.17,4114,1432,29,81
06.18,4229,1505,30,115
06.19,4340,1657,32,111
06.20,4428,1750,34,88
06.21,4428,1750,34,0
06.22,4428,1750,34,0
06.23,4739,2002,39,311
06.24,4849,2107,39,110
06.25,4956,2177,39,107
06.26,5087,2270,40,131
06.27,5209,2327,40,122
06.28,5209,2327,40,0
06.29,5209,2327,40,0
06.30,5394,2420,42,185
07.01,5394,2420,42,0
07.02,5513,2508,42,119
07.03,5513,2508,42,0
07.04,5620,2555,44,107
07.05,5620,2555,44,0
07.06,5620,2555,44,0
07.07,5743,2574,46,123
07.08,5743,2574,46,0
07.09,5871,2682,46,128
07.10,5871,2682,46,0
07.11,5942,3004,46,71
07.12,5942,3004,46,0
07.13,5942,3004,46,0
07.14,6026,3475,46,84
07.15,6026,3475,46,0
07.16,6121,3664,46,95
07.17,6121,3664,46,0
07.18,6315,3865,46,194
07.19,6315,3865,46,0
07.20,6315,3865,46,0
07.21,6433,4034,46,118
07.22,6433,4034,46,0
07.23,6588,4235,47,155
07.24,6588,4235,47,0
07.25,6984,4463,49,396
07.26,6984,4463,49,0
07.27,6984,4463,49,0
