,confirm,heal,dead,confirm_add
03.03,1,0,0,1
03.04,1,0,0,0
03.05,1,0,0,0
03.06,1,0,0,0
03.07,1,0,0,0
03.08,1,0,0,0
03.09,1,0,0,0
03.10,1,0,0,0
03.11,1,0,0,0
03.12,1,0,0,0
03.13,3,0,0,2
03.14,3,0,1,0
03.15,3,0,1,0
03.16,5,0,1,2
03.17,7,0,2,2
03.18,14,0,2,7
03.19,16,0,2,2
03.20,26,0,3,10
03.21,41,0,3,15
03.22,47,0,3,6
03.23,73,1,3,26
03.24,97,1,3,13
03.25,113,1,4,16
03.26,156,1,5,43
03.27,218,1,5,62
03.28,310,5,5,92
03.29,418,5,9,62
03.30,480,6,11,62
03.31,549,8,13,69
04.01,669,10,17,120
04.02,804,13,20,135
04.03,942,19,23,138
04.04,1096,23,28,154
04.05,1251,25,32,155
04.06,1319,28,38,68
04.07,1462,28,45,143
04.08,1668,35,52,206
04.09,1892,45,57,224
04.10,2203,61,69,311
04.11,2511,79,73,308
04.12,2777,89,83,266
04.13,3102,97,93,325
04.14,3372,119,98,270
04.15,3764,143,108,392
04.16,4161,186,116,397
04.17,4662,246,125,501
04.18,5106,275,133,444
04.19,5449,347,141,343
04.20,5710,359,151,261
04.21,6125,367,161,415
04.22,6592,424,174,467
04.23,7170,504,187,578
04.24,7647,601,193,477
04.25,8125,782,201,478
04.26,8617,840,209,492
04.27,9009,864,220,392
04.28,9410,992,239,401
04.29,9866,1103,250,456
04.30,10406,1238,261,540
05.01,10861,1413,272,455
05.02,11411,1498,279,550
05.03,11411,1498,279,0
05.04,12331,1619,303,920
05.05,12697,1875,316,366
05.06,13184,2097,327,487
05.07,13691,2396,340,507
05.08,14195,2706,361,504
05.09,14710,2909,376,515
05.10,15232,3060,391,522
05.11,15648,3288,408,416
05.12,16023,3373,425,375
05.13,16425,3716,439,402
05.14,16847,4143,456,422
05.15,17330,4473,476,483
05.16,17858,4906,497,528
05.17,18291,5116,514,433
05.18,18616,5276,535,325
05.19,18876,5632,548,260
05.20,19230,5955,564,354
05.21,19706,6227,579,476
05.22,20148,6585,588,442
05.23,20580,6929,605,432
05.24,20986,7108,617,406
05.25,21245,7234,623,259
05.26,21584,7575,644,339
05.27,21905,7995,658,321
05.28,22382,8439,669,477
05.29,22811,8934,679,429
