,confirm,heal,dead,confirm_add
03.25,1,0,0,0
03.26,1,0,0,0
03.27,1,0,0,0
03.28,1,0,0,0
03.29,3,0,0,2
03.30,8,0,0,5
03.31,8,0,0,0
04.01,10,1,0,2
04.02,10,0,0,0
04.03,11,0,1,1
04.04,17,0,1,6
04.05,18,0,1,1
04.06,18,0,1,0
04.07,19,1,1,1
04.08,21,2,1,2
04.09,21,8,1,0
04.10,24,8,1,3
04.11,24,8,1,0
04.12,25,8,1,1
04.13,25,9,1,0
04.14,26,9,1,1
04.15,35,9,1,9
04.16,48,11,1,13
04.17,49,11,1,1
04.18,49,11,1,0
04.19,49,11,1,0
04.20,51,11,1,2
04.21,51,15,1,0
04.22,59,15,1,8
04.23,60,15,1,1
04.24,60,18,2,0
04.25,61,18,2,1
04.26,61,18,2,0
04.27,61,18,2,0
04.28,61,18,2,0
04.29,61,18,2,0
04.30,61,18,2,0
05.01,61,18,3,0
05.02,63,32,3,2
05.03,63,32,3,0
05.04,63,22,3,0
05.05,63,23,3,0
05.06,64,24,3,1
05.07,64,24,3,0
05.08,64,24,3,0
05.09,64,24,3,0
05.10,64,24,3,0
05.11,64,24,3,0
05.12,64,28,3,0
05.13,64,28,3,0
05.14,64,28,3,0
05.15,64,28,3,0
05.16,64,28,3,0
05.17,65,28,3,1
05.18,65,35,3,0
05.19,65,35,3,0
05.20,69,35,3,4
05.21,69,35,3,0
05.22,71,35,3,2
05.23,72,38,3,1
05.24,75,39,3,3
05.25,75,40,3,0
05.26,75,40,3,0
05.27,77,40,3,2
05.28,99,40,4,22
05.29,105,41,5,6
05.30,118,41,5,13
05.31,130,50,5,12
06.01,156,52,5,26
06.02,168,52,5,12
06.03,182,52,5,14
06.04,196,52,5,14
06.05,209,52,5,13
06.06,239,52,5,30
06.07,256,52,5,17
06.08,270,53,5,14
06.09,332,57,5,62
06.10,359,58,5,27
06.11,378,59,5,19
06.12,393,59,5,15
06.13,409,59,6,16
06.14,418,62,8,9
06.15,454,63,10,36
06.16,467,70,10,13
06.17,484,76,10,17
06.18,500,78,10,16
06.19,510,81,10,10
06.20,520,83,10,10
06.21,544,98,10,24
06.22,571,103,10,27
06.23,595,116,10,24
06.24,639,132,17,44
06.25,670,138,18,31
06.26,698,140,18,28
06.27,713,142,18,15
06.28,727,171,18,14
06.29,762,196,21,35
06.30,802,206,23,40
07.01,824,209,24,22
07.02,874,223,25,50
07.03,891,224,26,17
07.04,918,230,27,27
07.05,989,258,27,71
07.06,1046,261,32,57
07.07,1117,269,34,71
07.08,1182,295,35,65
07.09,1268,306,36,86
07.10,1342,307,38,74
07.11,1389,340,38,47
07.12,1433,341,39,44
07.13,1433,341,39,0
07.14,1512,367,40,79
07.15,1563,370,42,51
07.16,1589,373,43,26
07.17,1652,379,46,63
07.18,1704,380,47,52
07.19,1791,385,48,87
07.20,1866,418,48,75
07.21,1980,441,49,114
07.22,2088,479,50,108
07.23,2176,489,53,88
07.24,2314,501,56,138
07.25,2424,504,57,110
07.26,2547,510,58,123
07.27,2669,553,60,122
07.28,2827,577,64,158
07.29,3017,579,67,190
07.30,3222,596,76,205
07.31,3438,604,73,216
08.01,3621,618,74,183
08.02,3691,619,80,70
08.03,3837,623,83,146
08.04,4063,625,93,226
08.05,4224,633,96,161
08.06,4475,640,99,251
08.07,4879,652,107,404
08.08,5079,660,108,200
08.09,5232,691,113,153
08.10,5451,701,119,219
08.11,5929,724,125,478
08.12,6302,740,132,373
08.13,6611,778,132,309
08.14,7050,816,135,439
08.15,7327,848,139,277
08.16,7738,894,145,411
08.17,8172,933,153,434
08.18,8579,969,157,407
08.19,9068,1003,164,489
08.20,9463,1018,169,395
08.21,9707,1047,173,244
08.22,10121,1053,180,414
08.23,10437,1085,188,316
08.24,11009,1096,199,572
08.25,11281,1112,203,272
08.26,11834,1152,210,553
08.27,12274,1209,219,440
08.28,12629,1310,226,355
08.29,12958,1333,231,329
08.30,13423,1410,232,465
08.31,13966,1459,237,543
09.01,14624,1676,242,658
09.02,15156,1746,250,532
09.03,15773,1856,254,617
09.04,16445,1910,262,672
09.05,17094,2025,272,649
09.06,17749,2081,285,655
09.07,18834,2126,296,1085
09.08,18834,2126,296,0
09.09,20462,2329,324,1628
09.10,20939,2420,339,477
09.11,21908,2506,352,969
09.12,21908,2506,352,0
09.13,22781,12183,362,873
09.14,23515,12762,368,734
09.15,23515,12762,368,0
09.16,24936,13498,394,1421
09.17,25822,13908,409,886
09.18,26438,14207,418,616
09.19,27234,14679,436,796
09.20,27949,15068,444,715
09.21,28796,15384,450,847
09.22,29446,15913,460,650
09.23,30097,16430,469,651
09.24,30632,16842,474,535
09.25,31290,17508,491,658
09.26,31290,17508,491,0
09.27,32364,18128,520,1074
09.28,33213,18518,527,849
09.29,34014,18902,540,801
09.30,34525,19361,551,511
10.01,34525,19361,551,0
10.02,35717,20334,570,1192
10.03,36087,20889,578,370
10.04,36809,21429,592,722
10.05,37437,22076,596,628
10.06,38468,22410,602,1031
10.07,39513,22831,608,1045
10.08,40292,23130,616,779
10.09,41368,23453,621,1076
10.10,41686,23791,623,318
10.11,42712,24038,631,1026
10.12,43821,24466,644,1109
10.13,44985,25007,656,1164
10.14,45821,25301,669,836
10.15,46676,25685,681,855
10.16,47845,26062,699,1169
