,confirm,heal,dead,confirm_add
03.24,2,0,0,2
03.25,3,0,0,1
03.26,3,0,0,0
03.27,5,0,0,2
03.28,8,0,0,3
03.29,8,0,0,0
03.30,14,0,0,6
03.31,14,0,1,0
04.01,15,0,1,1
04.02,16,0,1,1
04.03,20,0,1,6
04.04,20,0,1,0
04.05,21,0,1,1
04.06,21,0,1,0
04.07,22,0,1,1
04.08,22,0,3,0
04.09,23,1,3,1
04.10,27,2,3,4
04.11,28,2,3,1
04.12,38,2,3,10
04.13,41,2,4,3
04.14,62,2,4,21
04.15,74,2,4,12
04.16,85,2,4,11
04.17,88,5,4,3
04.18,94,5,5,6
04.19,108,7,5,14
04.20,111,7,5,3
04.21,119,7,5,8
04.22,121,7,5,2
04.23,132,9,5,11
04.24,139,9,5,7
04.25,144,9,5,5
04.26,146,10,5,2
04.27,146,10,5,0
04.28,149,16,5,3
04.29,150,16,6,1
04.30,150,27,6,0
05.01,151,28,6,1
05.02,151,37,6,0
05.03,151,37,6,0
05.04,161,49,6,10
05.05,161,49,6,0
05.06,161,49,6,0
05.07,176,62,6,15
05.08,176,67,6,0
05.09,178,68,6,2
05.10,180,72,6,2
05.11,180,72,6,0
05.12,180,74,6,0
05.13,181,79,6,1
05.14,181,84,6,0
05.15,181,84,6,0
05.16,182,89,6,1
05.17,182,96,6,0
05.18,187,97,6,5
05.19,191,101,6,4
05.20,193,104,6,2
05.21,199,108,6,6
05.22,199,108,6,0
05.23,201,116,6,2
05.24,201,122,6,0
05.25,203,123,6,2
05.26,206,124,6,3
05.27,206,126,6,0
05.28,206,126,6,0
05.29,206,126,6,0
05.30,224,130,6,18
05.31,224,130,6,0
06.01,228,138,6,4
06.02,228,138,6,0
06.03,232,143,6,4
06.04,236,148,6,4
06.05,236,151,6,0
06.06,236,151,6,0
06.07,242,156,6,6
06.08,243,156,6,1
06.09,246,159,6,3
06.10,246,159,6,0
06.11,260,165,6,14
06.12,261,165,6,1
06.13,261,167,6,0
06.14,261,167,6,0
06.15,262,175,6,1
06.16,262,175,6,0
06.17,262,185,6,0
06.18,263,185,6,1
06.19,286,187,6,23
06.20,287,196,6,1
06.21,290,200,6,3
06.22,290,200,6,0
06.23,292,204,6,2
06.24,293,208,6,1
06.25,293,208,6,0
06.26,293,211,6,0
06.27,293,216,6,0
06.28,296,216,6,3
06.29,299,221,6,3
06.30,299,221,6,0
07.01,303,222,6,4
07.02,304,222,6,1
07.03,306,237,6,2
07.04,313,240,6,7
07.05,313,240,6,0
07.06,316,245,6,3
07.07,316,245,6,0
07.08,316,245,6,0
07.09,317,250,6,1
07.10,326,256,6,9
07.11,330,260,6,4
07.12,331,261,6,1
07.13,331,261,6,0
07.14,337,261,6,6
07.15,337,261,6,0
07.16,337,266,6,0
07.17,339,270,6,2
07.18,339,271,6,0
07.19,341,273,6,2
07.20,341,276,6,0
07.21,341,278,6,0
07.22,343,280,6,2
07.23,343,280,6,0
07.24,343,282,6,0
07.25,348,288,6,5
07.26,349,288,6,1
07.27,350,290,6,1
07.28,350,293,6,0
07.29,351,294,6,1
07.30,353,295,6,2
07.31,353,296,6,0
08.01,353,297,6,0
08.02,353,298,6,0
08.03,353,298,6,0
08.04,355,302,6,2
08.05,357,305,6,2
08.06,357,308,6,0
08.07,359,309,6,2
08.08,359,311,6,0
08.09,360,312,6,1
08.10,360,312,6,0
08.11,360,313,6,0
08.12,361,318,6,1
08.13,369,321,6,8
08.14,369,321,6,0
08.15,374,322,6,5
08.16,374,324,6,0
08.17,375,329,6,1
08.18,376,331,6,1
08.19,394,333,6,18
08.20,399,333,6,5
08.21,419,337,6,20
08.22,441,338,6,22
08.23,450,341,6,9
08.24,474,341,6,24
08.25,474,341,6,0
08.26,580,345,6,106
08.27,602,345,6,22
08.28,628,349,6,26
08.29,733,351,6,105
08.30,749,351,6,16
08.31,775,352,6,26
09.01,919,357,6,144
09.02,938,357,6,19
09.03,1111,359,6,173
09.04,1111,359,6,0
09.05,1253,371,7,142
09.06,1419,385,8,166
09.07,1419,385,8,0
09.08,1610,388,8,191
09.09,1889,553,12,279
09.10,2150,625,14,261
09.11,2422,625,14,272
09.12,2595,676,16,173
09.13,2796,676,16,201
09.14,3015,699,24,219
09.15,3502,832,35,487
09.16,3636,832,39,134
09.17,4043,944,46,407
09.18,4467,1130,70,424
09.19,4870,1188,81,403
09.20,5541,1260,92,671
09.21,6151,1445,98,610
09.22,6743,1951,115,592
09.23,7177,1951,129,434
09.24,8344,2381,150,1167
09.25,9112,2381,174,768
09.26,9991,2681,198,879
09.27,10734,2862,226,743
09.28,11631,3073,256,897
09.29,12425,3391,284,794
09.30,13373,3755,310,948
10.01,14383,4156,321,1010
10.02,15525,4378,353,1142
10.03,16503,4795,371,978
10.04,17794,5195,412,1291
10.05,18781,5548,444,987
10.06,20033,5782,471,1252
10.07,21433,6084,510,1400
10.08,22445,6366,535,1012
10.09,23906,6738,566,1461
10.10,26064,7050,598,2158
10.11,27974,9742,646,1910
10.12,29314,10260,664,1340
10.13,30437,11769,693,1123
10.14,31325,13866,732,888
10.15,32351,14706,765,1026
10.16,33488,15477,799,1137
10.17,34875,16370,838,1387
10.18,36025,17076,880,1150
10.19,37205,17568,914,1180
10.20,38502,18874,945,1297
10.21,39696,18865,972,1194
10.22,41008,21144,1005,1312
10.23,42365,22445,1038,1357
10.24,43788,23708,1066,1423
10.25,44774,24920,1095,986
10.26,46200,26007,1122,1426
10.27,47666,27373,1147,1466
10.28,49072,28636,1172,1406
10.29,50403,30007,1199,1331
10.30,51496,31330,1219,1093
10.31,52706,32774,1237,1210
11.01,53405,34189,1258,699
11.02,54607,37954,1282,1202
11.03,55804,39063,1307,1197
11.04,56940,40778,1330,1136
11.05,57935,42178,1352,995
11.06,59277,43277,1376,1342
11.07,60348,44666,1396,1071
11.08,61377,45756,1420,1029
11.09,62386,45756,1420,1009
11.10,61975,46661,1437,-411
11.11,63241,47411,1461,1266
11.12,65598,49563,1508,2357
11.13,66734,50336,1534,1136
11.14,68011,51362,1552,1277
11.15,68994,52351,1577,983
11.16,70161,53299,1599,1167
11.17,71730,54274,1625,1569
11.18,73322,54764,1650,1592
11.19,74882,55633,1676,1560
11.20,76414,56601,1695,1532
11.21,77848,57679,1722,1434
11.22,79246,58758,1739,1398
11.23,80505,59888,1765,1259
11.24,82236,60965,1784,1731
11.25,83566,63366,1810,1330
11.26,85205,64645,1846,1639
11.27,86633,65972,1865,1428
11.28,87977,67588,1887,1344
11.29,89486,68910,1918,1509
11.30,90713,70156,1941,1227
12.01,92189,71343,1972,1476
12.02,93600,72601,1998,1411
12.03,95018,73748,2028,1418
12.04,96520,74973,2059,1502
12.05,98047,76382,2081,1527
12.06,99155,77636,2110,1108
12.07,100431,79240,2132,1276
12.08,101739,80726,2151,1308
12.09,103166,81715,2174,1427
12.10,104487,82813,2201,1321
12.11,105863,84338,2220,1376
12.12,107215,85406,2245,1352
12.13,108342,86795,2268,1127
12.14,109512,88131,2292,1170
12.15,110667,89418,2319,1155
12.16,110667,89418,2319,0
12.17,113082,91537,2377,2415
12.18,114198,92916,2398,1116
12.19,115187,94118,2424,989
12.20,116134,95387,2443,947
12.21,116982,96685,2465,848
12.22,117946,97819,2484,964
12.23,118869,99325,2507,923
12.24,119788,99927,2532,919
12.25,120546,100940,2552,758
12.26,120546,100940,2552,0
12.27,121280,102163,2579,734
12.28,121886,103223,2601,606
12.29,122534,104351,2618,648
12.30,123740,106121,2664,1206
12.31,124630,107069,2682,890
01.01,125042,107777,2697,412
01.02,125616,108660,2711,574
01.03,125616,108660,2711,0
01.04,126345,109548,2728,729
01.05,127584,110805,2766,1239
01.06,127584,110805,2766,0
01.07,128178,112048,2785,594
01.08,128772,112048,2799,594
01.09,130049,113550,2826,1277
01.10,130604,114049,2846,555
01.11,131186,114609,2858,582
01.12,131737,115061,2878,551
01.13,132260,115621,2902,523
01.14,132865,116100,2912,605
01.15,133378,116610,2926,513
01.16,133378,116610,2926,0
01.17,133869,117081,2942,491
01.18,134795,118200,2973,926
01.19,135243,118657,2986,448
01.20,135243,118657,2986,0
01.21,136166,119973,3013,923
01.22,136166,119973,3013,0
01.23,136591,120543,3031,425
01.24,137574,121558,3062,983
01.25,137957,122116,3069,383
01.26,138368,122781,3082,411
01.27,138802,123170,3089,434
01.28,139152,123556,3103,350
01.29,139152,123556,3103,0
01.30,139864,124441,3125,712
01.31,140145,125072,3131,281
02.01,140145,125072,3131,0
02.02,140354,125324,3138,209
02.03,140664,125885,3146,310
02.04,140927,126384,3160,263
02.05,141104,126869,3163,177
02.06,141304,127229,3168,200
02.07,141304,127229,3168,0
02.08,141423,127684,3175,119
02.09,141427,127975,3177,4
02.10,141448,128437,3180,21
02.11,141487,128692,3181,39
02.12,141543,129287,3188,56
02.13,141543,129287,3188,0
02.14,141585,130103,3188,42
02.15,141601,130331,3189,16
02.16,141637,130465,3190,36
02.17,141659,130859,3192,22
