,confirm,heal,dead,confirm_add
03.20,2,0,0,2
03.21,2,0,0,0
03.22,2,0,0,0
03.23,5,0,0,3
03.24,6,0,0,1
03.25,7,0,0,1
03.26,8,0,0,1
03.27,8,0,0,0
03.28,8,0,0,6
03.29,15,1,0,7
03.30,15,1,0,0
03.31,15,1,0,0
04.01,16,1,0,1
04.02,16,1,0,0
04.03,18,1,0,2
04.04,18,1,0,0
04.05,21,1,0,3
04.06,21,1,1,0
04.07,24,0,1,3
04.08,25,0,1,1
04.09,30,0,2,5
04.10,30,0,2,0
04.11,31,0,2,1
04.12,33,0,3,2
04.13,33,0,3,0
04.14,40,0,3,7
04.15,40,0,3,0
04.16,41,0,3,1
04.17,43,0,3,2
04.18,44,0,3,1
04.19,44,0,3,0
04.20,47,0,3,3
04.21,57,0,3,10
04.22,58,2,4,1
04.23,62,2,4,4
04.24,72,2,5,10
04.25,72,6,6,0
04.26,72,6,6,0
04.27,74,7,6,2
04.28,76,8,6,2
04.29,76,8,6,0
04.30,76,8,7,0
05.01,81,8,8,5
05.02,85,10,8,4
05.03,85,10,8,0
05.04,88,10,9,3
05.05,100,10,11,12
05.06,101,10,12,1
05.07,108,15,12,7
05.08,129,16,12,21
05.09,146,17,12,17
05.10,151,17,12,5
05.11,182,17,15,31
05.12,209,17,16,27
05.13,219,17,18,10
05.14,234,17,18,15
05.15,273,18,20,39
05.16,310,29,20,37
05.17,358,29,20,48
05.18,456,21,20,98
05.19,533,21,21,77
05.20,596,21,22,63
05.21,663,21,22,67
05.22,734,21,25,71
05.23,812,22,25,78
05.24,865,22,26,53
05.25,958,22,27,93
05.26,1063,22,31,105
05.27,1174,22,33,111
05.28,1320,22,34,146
05.29,1443,22,35,123
05.30,1584,22,35,141
05.31,1865,24,41,281
06.01,2124,24,44,259
06.02,2226,24,45,102
06.03,2226,24,45,0
06.04,2640,24,50,414
06.05,2640,24,50,0
06.06,2924,24,50,284
06.07,3072,24,50,148
06.08,3334,24,51,262
06.09,3538,24,54,204
06.10,3662,24,56,124
06.11,3796,24,58,134
06.12,3941,24,64,145
06.13,3941,24,64,0
06.14,4165,24,70,224
06.15,4309,24,73,144
06.16,4441,24,76,132
06.17,4547,24,80,106
06.18,4688,24,82,141
06.19,4916,24,84,228
06.20,4980,24,87,64
06.21,5077,24,88,97
06.22,5211,24,88,134
06.23,5211,24,88,0
06.24,5324,436,89,113
06.25,5429,512,92,105
06.26,5543,512,96,114
06.27,5722,641,98,179
06.28,5777,706,100,55
06.29,5847,787,104,70
06.30,5933,839,105,86
07.01,5975,931,105,42
07.02,6040,1032,107,65
07.03,6101,1141,110,61
07.04,6230,1286,110,129
07.05,6294,1408,113,64
07.06,6333,1549,113,39
07.07,6371,1824,113,38
07.08,6432,2080,117,61
07.09,6486,2181,123,54
07.10,6582,2459,130,96
07.11,6617,2590,135,35
07.12,6690,2590,139,73
07.13,6727,2924,139,37
07.14,6727,3022,141,0
07.15,6831,3283,143,104
07.16,6902,3484,145,71
07.17,6948,3606,145,46
07.18,6975,3738,146,27
07.19,7053,3877,146,78
07.20,7053,3877,146,0
07.21,7100,4095,151,47
07.22,7146,4095,154,46
07.23,7167,4095,154,21
07.24,7197,4236,154,30
07.25,7260,4236,156,63
07.26,7297,4365,157,37
07.27,7315,4365,157,18
07.28,7340,4365,158,25
07.29,7371,4467,158,31
07.30,7378,4467,159,7
07.31,7412,4467,161,34
08.01,7424,4606,161,12
08.02,7468,4606,165,44
08.03,7468,4606,165,0
08.04,7511,4832,166,43
08.05,7532,4832,171,21
08.06,7544,4832,171,12
08.07,7582,4832,171,38
08.08,7599,4893,177,17
08.09,7611,4893,182,12
08.10,7634,4982,183,23
08.11,7649,4982,183,15
08.12,7649,4982,183,0
08.13,7781,5123,192,132
08.14,7810,5123,192,29
08.15,7831,5235,196,21
08.16,7831,5235,196,0
08.17,7879,5235,196,48
08.18,7897,5235,196,18
08.19,7921,5235,196,24
