,confirm,heal,dead,confirm_add
03.18,2,0,0,2
03.19,2,0,0,0
03.20,10,0,0,8
03.21,14,0,0,4
03.22,16,0,0,2
03.23,22,0,1,6
03.24,27,0,1,17
03.25,52,0,1,25
03.26,53,0,1,26
03.27,70,0,1,17
03.28,82,0,1,12
03.29,84,0,1,31
03.30,85,0,1,1
03.31,105,0,2,20
04.01,120,0,2,15
04.02,140,0,2,20
04.03,160,0,2,20
04.04,197,1,2,37
04.05,203,1,2,6
04.06,223,1,2,20
04.07,239,4,2,16
04.08,248,4,2,9
04.09,252,4,2,4
04.10,255,4,2,3
04.11,262,5,2,7
04.12,267,5,3,5
04.13,273,5,3,6
04.14,278,5,4,5
04.15,288,46,4,10
04.16,290,55,4,2
04.17,303,55,4,13
04.18,305,55,5,2
04.19,308,55,5,3
04.20,311,55,5,3
04.21,313,90,5,2
04.22,315,116,5,2
04.23,316,123,5,1
04.24,319,123,5,3
04.25,319,123,6,0
04.26,321,153,7,2
04.27,321,153,7,0
04.28,321,189,7,0
04.29,321,199,7,0
04.30,322,214,7,1
05.01,322,219,7,0
05.02,322,240,7,0
05.03,322,245,8,0
05.04,323,249,8,1
05.05,324,253,8,1
05.06,324,261,8,0
05.07,324,265,8,0
05.08,324,266,8,0
05.09,324,274,8,0
05.10,324,274,9,0
05.11,324,290,9,0
05.12,324,294,9,0
05.13,324,298,9,0
05.14,324,309,9,0
05.15,324,309,9,0
05.16,324,311,9,0
05.17,324,311,9,0
05.18,324,311,9,0
05.19,324,311,9,0
05.20,324,312,9,0
05.21,324,314,9,0
05.22,324,314,9,0
05.23,324,314,9,0
05.24,324,314,9,0
05.25,324,315,9,0
05.26,324,315,9,0
05.27,324,315,9,0
05.28,324,315,9,0
05.29,324,315,9,0
05.30,324,315,9,0
05.31,324,315,9,0
06.01,324,315,9,0
06.02,324,315,9,0
06.03,324,315,9,0
06.04,324,315,9,0
06.05,324,315,9,0
06.06,324,315,9,0
06.07,324,315,9,0
06.08,324,315,9,0
06.09,324,315,9,0
06.10,324,315,9,0
06.11,324,315,9,0
06.12,324,315,9,0
06.13,324,315,9,0
06.14,324,315,9,0
06.15,325,315,9,1
06.16,326,315,9,1
06.17,326,315,9,0
06.18,333,315,9,7
06.19,337,315,9,4
06.20,355,315,9,18
06.21,359,315,9,4
06.22,362,315,9,3
06.23,375,315,9,13
06.24,383,315,9,8
06.25,389,315,9,6
06.26,439,315,9,50
06.27,439,315,9,0
06.28,469,315,9,30
06.29,498,315,11,29
06.30,501,315,11,3
07.01,576,315,12,75
07.02,576,315,12,0
07.03,616,315,12,40
07.04,663,315,13,47
07.05,720,315,14,57
07.06,781,315,14,61
07.07,841,315,16,60
07.08,960,320,17,119
07.09,960,320,17,0
07.10,1019,320,19,59
07.11,1019,320,19,0
07.12,1164,325,23,145
07.13,1221,325,23,57
07.14,1287,330,24,66
07.15,1287,330,24,0
07.16,1287,330,24,0
07.17,1965,357,26,678
07.18,2072,378,30,107
07.19,2072,378,30,0
07.20,2188,385,32,116
07.21,2283,387,35,95
07.22,2381,426,35,98
07.23,2472,496,39,91
07.24,2569,538,40,97
07.25,2665,643,43,96
07.26,2747,664,43,82
07.27,2799,739,43,52
07.28,2893,809,45,94
07.29,2949,839,45,56
07.30,3016,931,47,67
07.31,3073,1005,48,57
08.01,3198,1293,50,125
08.02,3198,1293,50,0
08.03,3258,1445,51,60
08.04,3301,1445,52,43
08.05,3361,1869,53,60
08.06,3411,2032,57,50
08.07,3480,2178,60,69
08.08,3549,2296,61,69
08.09,3588,2407,62,39
08.10,3618,2452,64,30
08.11,3696,2521,68,78
08.12,3748,2558,71,52
08.13,3813,2638,73,65
08.14,3857,2680,73,44
08.15,3930,2752,73,73
08.16,3960,2830,75,30
08.17,4035,2910,77,75
08.18,4085,2986,80,50
08.19,4132,3035,80,47
08.20,4174,3127,80,42
08.21,4229,3186,81,55
08.22,4277,3281,82,48
08.23,4313,3333,84,36
08.24,4343,3356,84,30
08.25,4378,3420,84,35
08.26,4444,3480,87,66
08.27,4499,3558,88,55
08.28,4558,3606,89,59
08.29,4663,3731,92,105
08.30,4727,3839,93,64
08.31,4790,3963,98,63
09.01,4835,4021,100,45
09.02,4917,4058,102,82
09.03,5019,4104,104,102
09.04,5165,4164,104,146
09.05,5275,4203,106,110
09.06,5422,4224,107,147
09.07,5553,4231,108,131
09.08,5659,4272,109,106
09.09,5875,4312,112,216
09.10,6094,4350,114,219
09.11,6222,4393,114,128
09.12,6385,4460,115,163
09.13,6530,4491,118,145
09.14,6712,4507,120,182
09.15,6900,4589,121,188
09.16,7061,4692,123,161
09.17,7291,4764,126,230
09.18,7503,4892,129,212
09.19,7711,4997,133,208
09.20,7898,5129,134,187
09.21,8842,5425,138,944
09.22,8842,5425,138,0
09.23,9138,5544,146,296
09.24,9428,5728,151,290
09.25,9962,6177,155,534
09.26,10197,6368,158,235
09.27,10197,6368,158,0
09.28,10313,6456,158,116
09.29,10441,6720,163,128
09.30,10575,7002,164,134
10.01,10772,7192,169,197
10.02,10987,7397,170,215
10.03,11690,7618,172,703
10.04,11934,7803,174,244
10.05,12359,8308,182,425
10.06,12359,8308,182,0
10.07,12584,8557,188,225
10.08,12794,8907,190,210
10.09,13348,9326,194,554
10.10,13348,9326,194,0
10.11,13869,9620,202,521
10.12,14050,9920,211,181
10.13,14268,10063,213,218
10.14,14461,10201,217,193
10.15,14461,10201,217,0
10.16,14672,10355,221,211
10.17,15281,10569,228,609
10.18,15427,10768,231,146
10.19,15760,11288,240,333
10.20,15892,11581,247,132
10.21,15892,11581,247,0
10.22,16069,11815,250,177
10.23,16259,12093,253,190
10.24,16436,12378,255,177
10.25,16629,12601,263,193
10.26,16797,12775,266,168
10.27,16909,13016,270,112
10.28,17091,13251,275,182
10.29,17392,13485,282,301
10.30,17746,13727,290,354
10.31,18066,13942,294,320
11.01,18341,14084,301,275
11.02,18714,14216,313,373
11.03,19210,14456,320,496
