,confirm,heal,dead,confirm_add
02.28,1,0,0,1
02.29,1,0,0,0
03.01,1,0,0,0
03.02,1,0,0,0
03.03,3,0,0,2
03.04,6,0,0,3
03.05,6,0,0,0
03.06,6,0,0,0
03.07,6,0,0,0
03.08,6,0,0,0
03.09,6,0,0,0
03.10,9,0,0,3
03.11,12,3,0,3
03.12,12,3,0,0
03.13,12,3,0,0
03.14,27,3,0,15
03.15,27,3,0,0
03.16,36,3,0,9
03.17,36,3,0,0
03.18,36,3,0,0
03.19,51,5,0,15
03.20,69,15,0,18
03.21,69,5,0,0
03.22,76,15,0,7
03.23,81,15,0,12
03.24,81,22,0,0
03.25,86,15,0,5
03.26,86,29,0,0
03.27,94,32,0,8
03.28,94,32,0,0
03.29,94,32,0,8
03.30,152,32,0,58
03.31,152,47,1,0
04.01,163,53,2,11
04.02,304,53,4,141
04.03,351,53,4,47
04.04,351,53,4,0
04.05,562,53,8,211
04.06,700,53,13,138
04.07,861,54,13,161
04.08,1066,77,13,205
04.09,1486,139,16,420
04.10,1981,169,19,495
04.11,2226,172,23,245
04.12,2578,203,26,352
04.13,2919,203,29,341
04.14,3281,203,33,362
04.15,3728,203,36,447
04.16,4204,203,40,476
04.17,4779,342,42,575
04.18,4779,342,42,0
04.19,4779,342,47,0
04.20,6264,514,51,1485
04.21,6264,514,51,0
04.22,7281,769,58,1017
04.23,8022,938,60,741
04.24,8773,1120,63,751
04.25,9590,1573,67,817
04.26,10463,1695,72,873
04.27,11289,1740,75,826
04.28,12208,1993,79,919
04.29,13181,2072,84,973
04.30,14027,2386,89,846
05.01,14917,2918,93,890
05.02,15828,3117,97,911
05.03,15828,3117,97,0
05.04,17489,3259,103,1661
05.05,18350,3771,107,861
05.06,19255,4388,112,905
05.07,20168,5067,116,913
05.08,21101,5484,121,933
05.09,22052,6050,126,951
05.10,22973,6406,131,921
05.11,23906,6531,135,933
05.12,24873,6974,142,967
05.13,25825,7711,146,952
05.14,26772,8168,151,947
05.15,27730,8807,156,958
05.16,28681,9498,160,951
05.17,29650,9932,165,969
05.18,30572,10130,171,922
05.19,31508,10620,175,936
05.20,32426,11415,179,918
05.21,33371,12057,185,945
05.22,34303,12833,190,932
05.23,35244,13528,194,941
05.24,36198,14155,199,954
05.25,37144,14449,204,946
05.26,38059,15086,208,915
05.27,38956,15923,214,897
05.28,39858,16660,219,902
05.29,40764,17390,224,906
05.30,41658,17964,229,894
05.31,42556,18514,235,898
06.01,43403,18776,240,847
06.02,44255,19195,243,852
06.03,44255,19195,243,0
06.04,45981,21162,253,1726
06.05,46868,22066,259,887
06.06,47751,23015,263,883
06.07,48630,23647,269,879
06.08,49453,23880,276,823
06.09,50265,24506,282,812
06.10,50265,24506,282,0
06.11,51816,26643,293,1551
06.12,52520,27760,298,704
06.13,53241,29111,303,721
06.14,53973,30103,308,732
06.15,54680,30420,312,707
06.16,55369,31273,318,689
06.17,56032,32735,324,663
06.18,56657,34023,331,625
06.19,57333,35275,337,676
06.20,57936,36749,343,603
06.21,58505,37666,346,569
06.22,59023,37923,351,518
06.23,59487,38688,357,464
06.24,59945,40136,362,458
06.25,60382,41448,367,437
06.26,60713,42689,373,331
06.27,61095,44126,377,382
06.28,61475,45027,383,380
06.29,61790,45213,387,315
06.30,62118,46054,392,328
07.01,62424,47553,398,306
07.02,62698,48738,405,274
07.03,62698,48738,405,0
07.04,63270,50669,418,572
07.05,63554,50871,423,284
07.06,63804,51120,429,250
07.07,64003,51902,436,199
07.08,64224,52854,443,221
07.09,64411,53609,449,187
07.10,64604,54254,454,193
07.11,64767,54919,459,163
07.12,64932,55380,464,165
07.13,65114,55492,468,182
07.14,65269,55799,474,155
07.15,65443,56379,480,174
07.16,65623,56915,485,180
07.17,65782,57370,491,159
07.18,65953,57856,495,171
07.19,66095,58204,499,142
07.20,66213,58290,503,118
07.21,66348,58592,507,135
07.22,66521,59061,513,173
07.23,66688,59439,519,167
07.24,66846,59755,524,158
07.25,67002,60092,530,156
07.26,67132,60425,534,130
07.27,67251,60492,538,119
07.28,67366,60669,543,115
07.29,67518,61442,548,152
07.30,67665,61765,553,147
07.31,67808,62444,559,143
08.01,67946,62686,563,138
08.02,68067,62896,567,121
08.03,68166,62943,571,99
08.04,68250,63163,574,84
08.05,68376,63425,577,126
08.06,68503,63756,580,127
08.07,68503,63756,580,0
08.08,68738,64744,585,235
08.09,68850,64935,587,112
08.10,68947,64991,589,97
08.11,69005,65219,592,58
08.12,69102,65893,595,97
08.13,69203,66178,599,101
08.14,69308,66452,603,105
08.15,69308,66452,603,0
08.16,69424,66747,607,116
08.17,69589,67149,613,165
08.18,69673,67339,617,84
08.19,69673,67339,617,0
08.20,69801,67647,622,128
08.21,70111,68256,632,310
08.22,70285,68577,637,174
08.23,70468,68839,642,183
08.24,70645,68925,646,177
08.25,70727,69097,652,82
08.26,70974,69378,657,247
08.27,71165,69650,662,191
08.28,71346,69887,667,181
08.29,71523,70207,671,177
08.30,71523,70207,671,0
08.31,71843,70468,681,320
09.01,71843,70468,681,0
09.02,72141,70900,691,298
09.03,72302,71205,696,161
09.04,72485,71510,701,183
09.05,72663,71843,705,178
09.06,72859,71864,711,196
09.07,73031,71883,716,172
09.08,73208,71916,721,177
09.09,73402,71999,726,194
09.10,73591,72203,732,189
09.11,73784,72369,738,193
09.12,73975,72547,744,191
09.13,74173,72584,750,198
09.14,74360,72609,756,187
09.15,74552,72661,761,192
09.16,74763,72810,767,211
09.17,74987,72967,771,224
09.18,75230,73098,773,243
09.19,75461,73212,776,231
09.20,75461,73212,776,0
09.21,75898,73301,785,437
09.22,76104,73386,791,206
09.23,76357,73564,796,253
09.24,76651,73733,802,294
09.25,76957,73925,807,306
09.26,77289,74046,813,332
09.27,77609,74120,818,320
09.28,77946,74167,822,337
09.29,78260,74320,828,314
09.30,78631,74525,833,371
10.01,79019,74777,839,388
10.02,79421,74982,844,402
10.03,79421,74982,844,0
10.04,79852,75148,851,431
10.05,80696,75303,862,844
10.06,81090,75376,868,394
10.07,81505,75683,874,415
10.08,81982,76081,880,477
10.09,82471,76543,885,489
10.10,82471,76543,885,0
10.11,83023,76983,891,552
10.12,83998,77423,901,975
10.13,84524,77797,906,526
10.14,85121,78218,911,597
10.15,85734,78583,916,613
10.16,86392,78990,921,658
10.17,86392,78990,921,0
10.18,87698,79757,929,1306
