,confirm,heal,dead,confirm_add
03.25,2,0,0,2
03.26,2,0,0,0
03.27,2,0,0,0
03.28,2,0,0,0
03.29,2,0,0,0
03.30,2,0,0,0
03.31,8,0,0,6
04.01,8,0,0,0
04.02,9,0,0,1
04.03,9,0,0,0
04.04,15,0,0,6
04.05,18,0,0,3
04.06,18,0,0,0
04.07,33,0,0,15
04.08,33,0,0,0
04.09,33,0,0,0
04.10,36,0,0,3
04.11,38,0,0,2
04.12,38,0,0,0
04.13,38,0,0,0
04.14,38,0,0,0
04.15,43,0,0,5
04.16,43,0,0,0
04.17,43,0,0,0
04.18,46,0,0,3
04.19,46,0,0,0
04.20,50,3,0,4
04.21,50,3,0,0
04.22,50,3,0,0
04.23,50,3,0,0
04.24,50,3,0,0
04.25,52,3,0,2
04.26,53,3,1,1
04.27,53,3,1,0
04.28,73,18,1,20
04.29,73,18,1,0
04.30,205,19,1,132
05.01,205,19,1,0
05.02,257,19,1,52
05.03,257,19,1,0
05.04,257,19,1,0
05.05,413,19,1,156
05.06,475,24,2,62
05.07,475,24,2,0
05.08,564,25,2,89
05.09,594,25,2,30
05.10,641,25,3,47
05.11,726,26,3,85
05.12,761,26,3,35
05.13,820,26,3,59
05.14,836,26,3,16
05.15,913,26,3,77
05.16,913,26,3,0
05.17,969,26,4,56
05.18,990,26,4,21
05.19,1032,38,4,42
05.20,1038,42,6,6
05.21,1089,42,6,51
05.22,1109,42,6,20
05.23,1114,42,6,5
05.24,1114,42,6,0
05.25,1114,42,6,0
05.26,1178,42,7,64
05.27,1178,42,7,0
05.28,1195,42,7,17
05.29,1195,42,8,0
05.30,1256,42,8,61
05.31,1256,42,8,0
06.01,1256,42,8,0
06.02,1339,53,8,83
06.03,1339,53,8,0
06.04,1339,53,8,0
06.05,1339,53,8,0
06.06,1368,153,12,29
06.07,1368,153,12,0
06.08,1368,153,12,0
06.09,1389,153,12,21
06.10,1389,153,12,0
06.11,1389,153,12,0
06.12,1389,153,12,0
06.13,1460,153,15,71
06.14,1460,153,15,0
06.15,1460,153,15,0
06.16,1492,153,15,32
06.17,1492,153,15,0
06.18,1492,153,15,0
06.19,1492,153,15,0
06.20,1541,153,17,49
06.21,1541,153,17,0
06.22,1541,153,17,0
06.23,1556,191,19,15
06.24,1556,191,19,0
06.25,1556,191,19,0
06.26,1556,191,19,0
06.27,1614,191,22,58
06.28,1614,317,22,0
06.29,1614,317,22,0
06.30,1654,317,24,40
07.01,1654,317,24,0
07.02,1654,317,24,0
07.03,1654,317,24,0
07.04,1765,676,25,111
07.05,1765,676,25,0
07.06,1765,676,25,0
07.07,1790,760,25,25
07.08,1790,760,25,0
07.09,1790,760,25,0
07.10,1790,760,25,0
07.11,1842,773,26,52
07.12,1842,773,26,0
07.13,1842,773,26,0
07.14,1842,773,26,0
07.15,1842,773,26,0
07.16,1842,773,26,0
07.17,1927,773,26,85
07.18,1927,773,26,0
07.19,1949,803,26,22
07.20,1949,803,26,0
07.21,1949,803,26,0
07.22,1954,803,26,5
07.23,1954,803,26,0
07.24,1954,803,26,0
07.25,1954,803,26,0
07.26,1954,803,26,0
07.27,1954,803,26,0
07.28,1954,803,26,0
