,confirm,heal,dead,confirm_add
03.14,4,0,0,4
03.15,6,0,0,2
03.16,6,0,0,0
03.17,6,0,0,0
03.18,50,0,0,21
03.19,79,0,0,29
03.20,94,0,0,15
03.21,110,0,0,16
03.22,135,0,0,25
03.23,158,0,0,23
03.24,162,0,0,4
03.25,189,0,0,31
03.26,217,6,0,28
03.27,238,6,0,21
03.28,274,6,0,36
03.29,304,6,1,30
03.30,309,6,1,6
03.31,320,25,1,11
04.01,338,41,2,18
04.02,350,62,4,12
04.03,369,68,4,19
04.04,386,86,4,17
04.05,400,93,5,14
04.06,406,104,6,6
04.07,415,123,6,9
04.08,424,150,7,9
04.09,456,192,7,32
04.10,473,206,7,17
04.11,494,214,7,21
04.12,501,224,7,7
04.13,480,231,8,-21
04.14,483,248,8,3
04.15,492,260,8,9
04.16,493,272,9,1
04.17,502,286,9,9
04.18,508,294,9,6
04.19,517,298,10,9
04.20,528,298,10,11
04.21,535,313,11,7
04.22,543,324,12,8
04.23,549,337,12,6
04.24,557,354,12,8
04.25,563,369,12,6
04.26,596,370,14,33
04.27,606,375,15,10
04.28,620,386,15,14
04.29,625,394,15,5
04.30,630,412,15,5
05.01,643,417,17,13
05.02,648,435,17,5
05.03,652,440,17,4
05.04,655,442,17,3
05.05,657,447,17,2
05.06,670,468,17,13
05.07,673,486,17,3
05.08,684,492,17,11
05.09,694,506,18,10
05.10,702,513,18,8
05.11,707,517,19,5
05.12,711,523,19,4
05.13,717,532,19,6
05.14,719,545,19,2
05.15,724,547,19,5
05.16,732,553,19,8
05.17,733,558,19,1
05.18,734,564,20,1
05.19,737,569,20,3
05.20,738,579,20,1
05.21,746,588,20,8
05.22,749,594,20,3
05.23,753,603,20,4
05.24,764,616,22,11
05.25,769,618,22,5
05.26,787,629,22,18
05.27,789,638,22,2
05.28,803,650,22,14
05.29,811,654,22,8
05.30,816,680,22,5
05.31,821,682,22,5
06.01,823,685,22,2
06.02,825,689,23,2
06.03,826,691,23,1
06.04,828,698,23,2
06.05,832,709,23,4
06.06,834,721,23,2
06.07,845,726,23,11
06.08,845,730,23,0
06.09,845,738,23,0
06.10,846,754,23,1
06.11,847,758,23,1
06.12,847,772,23,0
06.13,847,780,23,0
06.14,847,784,23,0
06.15,848,788,23,1
06.16,848,792,23,0
06.17,849,801,24,1
06.18,849,810,24,0
06.19,850,814,24,1
06.20,853,814,24,3
06.21,859,815,25,6
06.22,876,814,25,17
06.23,882,815,25,6
06.24,885,815,25,3
06.25,902,815,26,17
06.26,907,818,26,5
06.27,919,818,26,12
06.28,924,818,26,5
06.29,929,818,27,5
06.30,932,822,27,3
07.01,936,824,27,4
07.02,943,825,28,7
07.03,947,828,28,4
07.04,952,837,28,5
07.05,955,840,28,3
07.06,956,849,28,1
07.07,960,858,29,4
07.08,965,865,29,5
07.09,974,871,29,9
07.10,977,878,29,3
07.11,985,886,29,8
07.12,986,896,30,1
07.13,987,896,31,1
07.14,989,903,31,2
07.15,997,905,31,8
07.16,1009,909,31,12
07.17,1026,916,32,17
07.18,1037,917,32,11
07.19,1044,921,33,7
07.20,1054,922,33,10
07.21,1064,927,33,10
07.22,1096,929,33,32
07.23,1117,934,34,21
07.24,1141,940,34,24
07.25,1166,946,34,25
07.26,1174,947,34,8
07.27,1192,948,34,18
07.28,1202,951,35,10
07.29,1218,958,35,16
07.30,1237,967,35,19
07.31,1243,978,35,6
08.01,1264,994,35,21
08.02,1278,1004,35,14
08.03,1286,1011,36,8
08.04,1291,1023,36,5
08.05,1300,1048,37,9
08.06,1309,1065,37,9
08.07,1318,1079,37,9
08.08,1325,1095,37,7
08.09,1335,1112,37,10
08.10,1353,1125,37,18
08.11,1364,1146,37,11
08.12,1385,1157,37,21
08.13,1393,1163,37,8
08.14,1409,1180,37,16
08.15,1421,1182,38,12
08.16,1434,1194,38,13
08.17,1440,1200,38,6
08.18,1457,1205,40,17
08.19,1485,1219,40,28
08.20,1493,1228,40,8
08.21,1506,1242,41,13
08.22,1516,1249,42,10
08.23,1521,1264,42,5
08.24,1527,1276,42,6
08.25,1533,1295,42,6
08.26,1536,1309,43,3
08.27,1543,1322,43,7
08.28,1551,1333,43,8
08.29,1556,1352,43,5
08.30,1570,1364,44,14
08.31,1585,1378,44,15
09.01,1595,1409,44,10
09.02,1611,1419,44,16
09.03,1626,1433,44,15
09.04,1636,1437,44,10
09.05,1653,1446,45,17
09.06,1669,1459,45,16
09.07,1679,1459,45,10
09.08,1693,1466,45,14
09.09,1712,1476,45,19
09.10,1741,1478,45,29
09.11,1759,1484,45,18
09.12,1773,1490,45,14
09.13,1780,1502,45,7
09.14,1808,1513,45,28
09.15,1812,1528,45,4
09.16,1827,1545,45,15
09.17,1856,1559,45,29
09.18,1876,1582,46,20
09.19,1890,1603,46,14
09.20,1904,1612,46,14
09.21,1917,1621,46,13
09.22,1927,1634,46,10
09.23,1934,1645,46,7
09.24,1946,1661,47,12
09.25,1959,1679,47,13
09.26,1967,1710,47,8
09.27,1998,1716,47,31
09.28,2008,1728,47,10
09.29,2010,1755,47,2
09.30,2033,1771,48,23
10.01,2046,1791,48,13
10.02,2061,1809,48,15
10.03,2097,1824,48,36
10.04,2122,1831,48,25
10.05,2145,1844,48,23
10.06,2155,1862,48,10
10.07,2177,1878,49,22
10.08,2206,1890,49,29
10.09,2226,1904,49,20
10.10,2251,1917,49,25
10.11,2268,1930,50,17
10.12,2294,1942,50,26
10.13,2313,1950,51,19
10.14,2337,1987,51,24
10.15,2388,2007,51,51
10.16,2417,2025,51,29
10.17,2450,2042,51,33
10.18,2501,2052,51,51
10.19,2531,2105,51,30
10.20,2560,2121,51,29
10.21,2623,2142,52,63
10.22,2663,2172,53,40
10.23,2701,2204,53,38
10.24,2759,2241,53,58
10.25,2807,2301,53,48
10.26,2851,2351,53,44
10.27,2872,2411,54,21
10.28,2916,2455,54,44
10.29,2981,2481,55,65
10.30,3044,2504,57,63
10.31,3082,2532,58,38
11.01,3124,2560,58,42
11.02,3149,2601,59,25
11.03,3165,2658,60,16
11.04,3196,2727,61,31
11.05,3245,2770,61,49
11.06,3309,2814,61,64
11.07,3370,2853,61,61
11.08,3441,2903,61,71
11.09,3514,2943,62,73
11.10,3560,2993,62,46
11.11,3620,3034,62,60
11.12,3700,3078,63,80
11.13,3795,3103,63,95
11.14,3883,3135,64,88
11.15,3957,3175,64,74
11.16,4030,3233,65,73
11.17,4104,3284,67,74
11.18,4208,3348,68,104
11.19,4296,3404,68,88
11.20,4377,3479,69,81
11.21,4477,3547,69,100
11.22,4564,3621,69,87
11.23,4699,3679,71,135
11.24,4763,3764,71,64
11.25,4870,3827,72,107
11.26,4988,3923,73,118
11.27,5117,4021,74,129
11.28,5303,4107,74,186
11.29,5511,4185,75,208
11.30,5716,4267,76,205
12.01,5857,4357,77,141
12.02,6024,4483,78,167
12.03,6225,4584,80,201
12.04,6455,4707,80,230
12.05,6731,4826,80,276
12.06,6965,4946,81,234
12.07,7303,5062,82,338
12.08,7505,5240,83,202
12.09,7806,5415,86,301
12.10,8104,5564,87,298
12.11,8487,5747,90,383
12.12,8849,5941,90,362
12.13,9180,6155,91,331
12.14,9708,6358,92,528
12.15,10029,6593,95,321
12.16,10418,6895,98,389
12.17,10893,7142,102,475
12.18,11436,7406,105,543
12.19,11950,7699,109,514
12.20,12557,8002,114,607
12.21,13048,8327,119,491
12.22,13477,8688,119,429
12.23,14001,9127,120,524
12.24,14710,9574,128,709
12.25,15457,10040,135,747
12.26,15848,10479,143,391
12.27,16218,10847,147,370
12.28,16728,11366,158,510
12.29,17306,11966,160,578
12.30,17962,12506,168,656
12.31,18480,12996,174,518
01.01,19119,13468,181,639
01.02,19753,13990,193,634
01.03,20275,14592,201,522
