,confirm,heal,dead,confirm_add
03.02,2,1,0,1
03.03,2,1,0,0
03.04,2,1,0,0
03.05,3,1,0,1
03.06,3,1,0,0
03.07,15,1,0,12
03.08,48,1,0,33
03.09,55,12,1,7
03.10,59,26,1,4
03.11,59,26,1,0
03.12,67,26,1,7
03.13,80,26,2,13
03.14,93,26,2,13
03.15,110,26,2,17
03.16,126,26,2,16
03.17,166,26,2,40
03.18,196,26,6,30
03.19,210,26,6,14
03.20,256,28,7,46
03.21,285,39,8,29
03.22,294,41,10,9
03.23,327,56,14,33
03.24,366,68,19,39
03.25,442,80,21,76
03.26,456,95,21,14
03.27,495,102,24,39
03.28,536,116,30,41
03.29,576,121,36,40
03.30,609,132,40,33
03.31,656,150,41,47
04.01,710,157,46,54
04.02,779,179,52,69
04.03,865,201,58,86
04.04,985,216,66,120
04.05,1070,241,71,85
04.06,1173,247,78,103
04.07,1322,259,85,149
04.08,1450,276,94,128
04.09,1560,305,103,110
04.10,1699,348,118,139
04.11,1794,384,135,95
04.12,1939,426,146,145
04.13,2065,589,159,126
04.14,2190,589,164,125
04.15,2350,589,178,160
04.16,2505,589,183,155
04.17,2673,596,196,168
04.18,2844,646,205,171
04.19,3032,701,224,188
04.20,3144,732,239,112
04.21,3333,821,250,189
04.22,3490,870,264,157
04.23,3659,935,276,169
04.24,4092,1075,294,433
04.25,4092,1075,294,0
04.26,4319,1114,307,227
04.27,4534,1176,317,215
04.28,4782,1236,337,248
04.29,5042,1304,359,260
04.30,5268,1335,380,226
05.01,5537,1381,392,269
05.02,5895,1460,406,358
05.03,6193,1522,415,298
05.04,6465,1562,429,272
05.05,7201,1730,452,736
05.06,7201,1730,452,0
05.07,7588,1815,469,387
05.08,7981,1887,482,393
05.09,8476,1945,503,495
05.10,8964,2002,514,488
05.11,9400,2075,525,436
05.12,9746,2172,533,346
05.13,10093,2326,544,347
05.14,10431,2486,556,338
05.15,10829,2626,571,398
05.16,11228,2799,592,399
05.17,11719,2950,612,491
05.18,12229,3172,630,510
05.19,12764,3440,645,535
05.20,13484,3742,659,720
05.21,14229,3994,680,745
05.22,15003,4217,696,774
05.23,15786,4374,707,783
05.24,16513,4628,735,727
05.25,17265,4807,764,752
05.26,17967,4900,783,702
05.27,18756,5027,797,789
05.28,19666,5205,816,910
05.29,20793,5359,845,1127
05.30,22082,5511,879,1289
05.31,23449,5693,913,1367
06.01,24985,6037,959,1536
06.02,26384,6447,1005,1399
06.03,27536,6827,1052,1152
06.04,28615,7350,1088,1079
06.05,29767,7756,1126,1152
06.06,31115,8158,1166,1348
06.07,32612,8538,1198,1497
06.08,34079,8961,1237,1467
06.09,35444,9375,1271,1365
06.10,36829,9786,1306,1385
06.11,38284,10289,1342,1455
06.12,39726,10691,1377,1442
06.13,41303,11108,1422,1577
06.14,42980,11529,1484,1677
06.15,44598,11931,1575,1618
06.16,46289,12329,1672,1691
06.17,47856,12730,1766,1567
06.18,49219,13141,1850,1363
06.19,50437,13528,1938,1218
06.20,52211,13928,2017,1774
06.21,53758,14327,2106,1547
06.22,55233,14736,2193,1475
06.23,56809,15133,2278,1576
06.24,58141,15535,2365,1332
06.25,59561,15935,2450,1420
06.26,61130,16338,2533,1569
06.27,62755,16737,2620,1625
06.28,63923,17140,2708,1168
06.29,65188,17539,2789,1265
06.30,66754,17951,2872,1566
07.01,68311,18460,2953,1557
07.02,69814,18881,3034,1503
07.03,71299,19288,3120,1485
07.04,72711,19690,3201,1412
07.05,74035,20103,3280,1324
07.06,75253,20726,3343,1218
07.07,76222,21238,3422,969
07.08,77279,21718,3489,1057
07.09,78304,22241,3564,1025
07.10,79254,22753,3617,950
07.11,80235,23274,3702,981
07.12,81158,23876,3769,923
07.13,82070,24419,3858,912
07.14,83001,24975,3935,931
07.15,83930,25544,4008,929
07.16,84843,26135,4067,913
07.17,85771,26691,4120,928
07.18,86474,27302,4188,703
07.19,87172,27868,4251,698
07.20,87775,28380,4302,603
07.21,88402,28924,4352,627
07.22,89078,29473,4399,676
07.23,89745,30075,4440,667
07.24,90413,31066,4480,668
07.25,91072,31970,4518,659
07.26,91583,32903,4558,511
07.27,92062,33831,4606,479
07.28,92482,34838,4652,420
07.29,92947,35959,4691,465
07.30,93356,37025,4728,409
07.31,93757,38236,4774,401
08.01,94078,39638,4805,321
08.02,94316,41137,4834,238
08.03,94483,42455,4865,167
08.04,94640,44066,4888,157
08.05,94752,45569,4912,112
08.06,94875,47182,4930,123
08.07,95006,48898,4951,131
08.08,95147,50553,4971,141
08.09,95314,51672,4992,167
08.10,95492,52678,5009,178
08.11,95666,53779,5035,174
08.12,95834,54888,5059,168
08.13,95963,55901,5085,129
08.14,96108,56890,5107,145
08.15,96220,57858,5124,112
08.16,96336,58835,5141,116
08.17,96475,59743,5160,139
08.18,96590,60651,5173,115
