,confirm,heal,dead,confirm_add
03.19,3,0,0,3
03.20,7,0,0,4
03.21,14,0,1,7
03.22,18,0,1,4
03.23,28,0,2,10
03.24,36,0,2,8
03.25,48,0,2,12
03.26,81,0,2,33
03.27,94,0,2,13
03.28,102,0,2,8
03.29,107,0,2,5
03.30,110,0,3,3
03.31,143,0,4,33
04.01,154,0,5,11
04.02,161,0,7,7
04.03,186,0,7,25
04.04,196,0,7,10
04.05,227,7,7,31
04.06,227,7,7,0
04.07,268,8,7,41
04.08,273,19,7,5
04.09,314,19,7,41
04.10,314,23,9,0
04.11,318,23,9,4
04.12,324,42,9,6
04.13,324,42,9,0
04.14,324,42,9,0
04.15,324,65,9,0
04.16,324,65,9,0
04.17,324,108,9,0
04.18,325,180,9,1
04.19,328,208,9,3
04.20,328,208,9,0
04.21,328,224,9,0
04.22,329,261,9,1
04.23,331,266,9,2
04.24,331,266,9,0
04.25,331,295,9,0
04.26,331,295,9,0
04.27,334,302,9,3
04.28,334,303,10,0
04.29,334,306,10,0
04.30,332,310,10,-2
05.01,332,310,10,0
05.02,332,314,10,0
05.03,332,314,10,0
05.04,332,316,10,0
05.05,332,319,10,0
05.06,332,320,10,0
05.07,332,320,10,0
05.08,332,320,10,0
05.09,332,320,10,0
05.10,332,320,10,0
05.11,332,322,10,0
05.12,332,322,10,0
05.13,332,322,10,0
05.14,332,322,10,0
05.15,332,322,10,0
05.16,332,322,10,0
05.17,332,322,10,0
05.18,332,322,10,0
05.19,332,322,10,0
05.20,332,322,10,0
05.21,332,322,10,0
05.22,332,322,10,0
05.23,332,322,10,0
05.24,332,322,10,0
05.25,334,322,10,2
05.26,334,322,10,0
05.27,334,322,10,0
05.28,334,322,10,0
05.29,335,322,10,1
05.30,335,322,10,0
05.31,335,322,10,0
06.01,335,322,10,0
06.02,335,322,10,0
06.03,335,322,10,0
06.04,335,322,10,0
06.05,337,322,10,2
06.06,337,324,10,0
06.07,337,324,10,0
06.08,337,324,10,0
06.09,337,324,10,0
06.10,337,324,10,0
06.11,337,325,10,0
06.12,337,325,10,0
06.13,337,325,10,0
06.14,337,325,10,0
06.15,337,325,10,0
06.16,337,325,10,0
06.17,337,325,10,0
06.18,337,325,10,0
06.19,337,325,10,0
06.20,337,325,10,0
06.21,337,326,10,0
06.22,340,326,10,3
06.23,340,326,10,0
06.24,340,326,10,0
06.25,341,326,10,1
06.26,341,326,10,0
06.27,341,326,10,0
06.28,341,326,10,0
06.29,341,326,10,0
06.30,341,326,10,0
07.01,341,326,10,0
07.02,341,330,10,0
07.03,341,330,10,0
07.04,341,330,10,0
07.05,341,330,10,0
07.06,342,330,10,1
07.07,342,330,10,0
07.08,342,330,10,0
07.09,342,330,10,0
07.10,342,330,10,0
07.11,342,330,10,0
07.12,342,330,10,0
07.13,342,330,10,0
07.14,342,330,10,0
07.15,342,330,10,0
07.16,343,331,10,1
07.17,343,331,10,0
07.18,343,331,10,0
07.19,343,332,10,0
07.20,343,331,10,0
07.21,343,332,10,0
07.22,343,332,10,0
07.23,343,332,10,0
07.24,343,332,10,0
07.25,344,332,10,1
07.26,344,332,10,0
07.27,344,332,10,0
07.28,344,332,10,0
07.29,344,332,10,0
07.30,344,332,10,0
07.31,344,332,10,0
08.01,344,332,10,0
08.02,344,332,10,0
08.03,344,334,10,0
08.04,344,334,10,0
08.05,344,334,10,0
08.06,344,334,10,0
08.07,344,334,10,0
08.08,344,334,10,0
08.09,344,334,10,0
08.10,344,334,10,0
08.11,344,334,10,0
08.12,344,334,10,0
08.13,344,334,10,0
08.14,344,334,10,0
08.15,345,334,10,1
08.16,346,334,10,1
08.17,346,334,10,0
08.18,346,334,10,0
08.19,346,334,10,0
08.20,346,334,10,0
08.21,346,334,10,0
08.22,346,334,10,0
08.23,346,334,10,0
08.24,346,335,10,0
08.25,347,335,10,1
08.26,348,335,10,1
08.27,354,335,10,6
08.28,355,335,10,1
08.29,355,335,10,0
08.30,355,335,10,0
08.31,355,335,10,0
09.01,356,335,10,1
09.02,356,335,10,0
09.03,356,335,10,0
09.04,356,335,10,0
09.05,356,335,10,0
09.06,356,335,10,0
09.07,356,335,10,0
09.08,356,335,10,0
09.09,361,335,10,5
09.10,361,335,10,0
09.11,361,335,10,0
09.12,361,335,10,0
09.13,361,335,10,0
09.14,361,335,10,0
09.15,361,335,10,0
09.16,365,338,10,4
09.17,365,338,10,0
09.18,366,338,10,1
09.19,366,338,10,0
09.20,366,338,10,0
09.21,366,338,10,0
09.22,367,339,10,1
09.23,367,339,10,0
09.24,367,343,10,0
09.25,367,343,10,0
09.26,367,343,10,0
09.27,367,343,10,0
09.28,367,343,10,0
09.29,367,343,10,0
09.30,367,343,10,0
10.01,381,344,10,14
10.02,381,344,10,0
10.03,385,344,10,4
10.04,385,357,10,0
10.05,385,357,10,0
10.06,387,357,10,2
10.07,395,357,10,8
10.08,395,358,10,0
10.09,395,358,10,0
10.10,395,358,10,0
10.11,395,358,10,0
10.12,404,359,10,9
10.13,404,359,10,0
10.14,407,361,10,3
10.15,407,361,10,0
10.16,415,364,10,8
10.17,417,364,10,2
10.18,417,364,10,0
10.19,417,364,10,0
10.20,419,379,10,2
10.21,419,379,10,0
10.22,419,379,10,0
10.23,425,386,10,6
10.24,435,386,10,10
10.25,435,386,10,0
10.26,435,386,10,0
10.27,439,389,10,4
10.28,439,389,10,0
10.29,439,389,10,0
10.30,441,398,10,2
10.31,441,398,10,0
11.01,441,398,10,0
11.02,446,407,10,5
11.03,451,413,10,5
11.04,451,413,10,0
11.05,452,416,10,1
11.06,453,416,10,1
11.07,453,416,10,0
11.08,453,416,10,0
11.09,453,416,10,0
11.10,453,416,10,0
11.11,453,416,10,0
11.12,453,416,10,0
11.13,468,427,10,15
11.14,470,428,10,2
11.15,470,428,10,0
11.16,478,431,10,8
11.17,491,431,10,13
11.18,491,431,10,0
11.19,494,433,10,3
11.20,494,433,10,0
11.21,494,433,10,0
11.22,494,433,10,0
11.23,494,433,10,0
11.24,494,433,10,0
11.25,494,433,10,0
11.26,497,440,10,3
11.27,498,440,10,1
11.28,501,443,10,3
11.29,501,443,10,0
11.30,501,443,10,0
12.01,504,456,10,3
12.02,505,463,10,1
12.03,508,465,10,3
12.04,508,465,10,0
12.05,508,465,10,0
12.06,508,465,10,0
12.07,508,465,10,0
12.08,511,478,10,3
12.09,515,478,10,4
12.10,515,478,10,0
12.11,515,478,10,0
12.12,515,478,10,0
12.13,515,478,10,0
12.14,515,478,10,0
12.15,524,489,10,9
12.16,524,489,10,0
12.17,524,489,10,0
12.18,524,489,10,0
12.19,524,489,10,0
12.20,524,489,10,0
12.21,524,489,10,0
12.22,524,489,10,0
12.23,526,496,10,2
12.24,527,496,10,1
12.25,527,496,10,0
12.26,527,496,10,0
12.27,527,496,10,0
12.28,527,496,10,0
12.29,527,496,10,0
12.30,527,496,10,0
12.31,527,496,10,0
01.01,527,496,10,0
01.02,527,496,10,0
01.03,527,496,10,0
01.04,527,496,10,0
01.05,531,513,10,4
01.06,531,513,10,0
01.07,539,514,10,8
01.08,539,514,10,0
01.09,539,514,10,0
01.10,539,514,10,0
01.11,539,514,10,0
01.12,545,514,10,6
01.13,546,516,10,1
01.14,547,516,10,1
01.15,547,516,10,0
01.16,547,516,10,0
01.17,547,516,10,0
01.18,547,516,10,0
01.19,556,518,10,9
01.20,556,518,10,0
01.21,556,518,10,0
01.22,556,518,10,0
01.23,556,518,10,0
01.24,556,518,10,0
01.25,556,518,10,0
01.26,568,525,10,12
01.27,568,525,10,0
01.28,569,528,10,1
01.29,569,528,10,0
01.30,569,528,10,0
01.31,569,528,10,0
02.01,569,528,10,0
02.02,582,536,10,13
02.03,583,540,10,1
02.04,584,540,10,1
02.05,584,540,10,0
02.06,584,540,10,0
02.07,584,540,10,0
02.08,584,540,10,0
02.09,593,543,10,9
02.10,594,544,10,1
02.11,595,546,10,1
02.12,595,546,10,0
02.13,595,546,10,0
02.14,595,546,10,0
02.15,595,546,10,0
02.16,601,554,10,6
02.17,603,556,10,2
