,confirm,heal,dead,confirm_add
03.06,1,0,0,1
03.07,1,0,0,0
03.08,1,0,0,0
03.09,1,0,0,0
03.10,4,0,0,3
03.11,12,0,0,8
03.12,19,0,0,7
03.13,31,0,0,12
03.14,41,0,0,6
03.15,46,0,0,5
03.16,55,0,0,9
03.17,65,0,0,10
03.18,83,0,0,18
03.19,89,0,0,6
03.20,118,0,0,29
03.21,149,0,1,31
03.22,171,0,1,22
03.23,222,0,1,51
03.24,249,2,3,27
03.25,384,2,4,135
03.26,457,2,6,73
03.27,528,15,7,71
03.28,659,15,10,131
03.29,741,15,13,82
03.30,785,15,16,44
03.31,785,0,16,0
04.01,1060,0,28,275
04.02,1171,0,31,111
04.03,1171,0,31,0
04.04,1624,0,44,453
04.05,1624,0,44,0
04.06,1908,0,51,284
04.07,2447,0,61,539
04.08,2447,0,61,0
04.09,2867,0,66,420
04.10,2867,0,66,0
04.11,3105,0,71,238
04.12,3380,0,74,275
04.13,3630,118,80,250
04.14,4054,118,80,424
04.15,4465,118,94,411
04.16,4873,118,99,408
04.17,5318,118,103,445
04.18,5690,534,110,372
04.19,5994,637,117,304
04.20,6318,753,122,324
04.21,6630,870,125,312
04.22,6630,870,125,0
04.23,6630,870,125,0
04.24,6630,870,125,0
04.25,6630,870,125,0
04.26,6630,870,125,0
04.27,6630,870,125,0
04.28,8275,1209,162,222
04.29,8497,1260,168,227
04.30,8724,1292,173,227
05.01,9009,1343,179,285
05.02,9009,1343,179,0
05.03,9362,1426,189,353
05.04,9464,1551,193,102
05.05,9557,1574,197,93
05.06,9677,1723,200,120
05.07,9791,1971,203,114
05.08,9848,2160,206,57
05.09,9943,2453,209,95
05.10,10032,2732,215,89
05.11,10032,2732,215,0
05.12,10176,3290,218,144
05.13,10243,3600,220,67
05.14,10295,3824,222,52
05.15,10438,4301,225,143
05.16,10496,4479,228,58
05.17,10610,4713,230,114
05.18,10699,4799,231,89
05.19,10733,4904,234,34
05.20,10833,5067,235,100
05.21,10919,5370,237,86
05.22,10919,5370,237,0
05.23,11092,5699,238,173
05.24,11159,5857,238,67
05.25,11193,5920,239,34
05.26,11227,6067,239,34
05.27,11275,6277,240,48
05.28,11300,6438,241,25
05.29,11354,6524,242,54
05.30,11381,6606,242,27
05.31,11412,6698,243,31
06.01,11430,6726,244,18
06.02,11454,6766,245,24
06.03,11454,6766,245,0
06.04,11571,6910,246,117
06.05,11667,6931,247,96
06.06,11741,11056,248,74
06.07,11823,11348,249,82
06.08,11896,11189,250,73
06.09,11965,11268,250,69
06.10,11965,11268,250,0
06.11,12102,11362,252,137
06.12,12175,11411,252,73
06.13,12251,11465,253,76
06.14,12310,11511,254,59
06.15,12367,11561,255,57
06.16,12426,11624,256,59
06.17,12522,11697,257,96
06.18,12616,11769,258,94
06.19,12709,11822,259,93
06.20,12803,11889,260,94
06.21,12894,11947,261,91
06.22,12990,11997,262,96
06.23,13092,12054,263,102
06.24,13235,12111,263,143
06.25,13372,12154,264,137
06.26,13565,12232,265,193
06.27,13792,12338,267,227
06.28,14046,12464,270,254
06.29,14288,12581,274,242
06.30,14564,12662,277,276
07.01,14836,12772,281,272
07.02,15195,12912,287,359
07.03,15504,13064,298,309
07.04,15829,13176,306,325
07.05,16131,13267,311,302
07.06,16420,13366,317,289
07.07,16719,13447,330,299
07.08,17076,13562,341,357
07.09,17342,13651,352,266
07.10,17728,13719,370,386
07.11,18073,13780,382,345
07.12,18360,13876,393,287
07.13,18639,13940,405,279
07.14,18983,13991,418,344
07.15,19334,14047,429,351
07.16,19334,14047,429,0
07.17,20109,14799,452,775
07.18,20498,15179,461,389
07.19,20894,15564,472,396
07.20,21253,15913,482,359
07.21,21605,15913,491,352
07.22,22031,15913,499,426
07.23,22443,15913,508,412
07.24,22852,15913,518,409
07.25,22852,15913,518,0
07.26,23730,15913,534,878
07.27,24141,15913,543,411
07.28,24520,15913,551,379
07.29,24892,15913,558,372
07.30,25213,15913,565,321
07.31,25552,15913,573,339
08.01,25882,15913,582,330
08.02,26193,15913,590,311
08.03,26451,15913,598,258
08.04,26738,15913,605,287
08.05,27033,15913,614,295
08.06,27332,15913,621,299
08.07,27608,15913,626,276
08.08,27863,15913,632,255
08.09,28099,15913,641,236
08.10,28262,15913,646,163
08.11,28497,15913,652,235
08.12,28751,15913,658,254
08.13,28998,15913,661,247
08.14,29233,15913,665,235
08.15,29471,15913,670,238
08.16,29682,15913,674,211
08.17,29782,15913,677,100
08.18,29890,15913,681,108
08.19,30048,15913,684,158
08.20,30209,15913,689,161
08.21,30378,15913,692,169
08.22,30548,15913,695,170
08.23,30657,15913,698,109
08.24,30714,15913,701,57
08.25,30820,15913,705,106
08.26,30974,15913,707,154
08.27,31099,15913,707,125
08.28,31207,15913,709,108
08.29,31282,15913,710,75
08.30,31365,15913,711,83
08.31,31406,15913,713,41
09.01,31482,15913,715,76
09.02,31581,15913,716,99
09.03,31676,15913,718,95
09.04,31772,15913,721,96
09.05,31849,15913,723,77
09.06,31905,15913,724,56
09.07,31941,15913,725,36
09.08,31994,15913,727,53
09.09,32078,15913,728,84
09.10,32136,15913,729,58
09.11,32228,15913,730,92
09.12,32300,15913,731,72
09.13,32408,15913,733,108
09.14,32437,15913,733,29
09.15,32511,15913,735,74
09.16,32613,15913,736,102
09.17,32695,15913,738,82
09.18,32757,15913,739,62
09.19,32840,15913,740,83
09.20,32908,15913,741,68
09.21,32938,15913,743,30
09.22,32999,15913,743,61
09.23,33080,15913,744,81
09.24,33163,15913,745,83
09.25,33238,15913,746,75
09.26,33312,15913,746,74
09.27,33384,15913,747,72
09.28,33384,15913,747,0
09.29,33479,15913,749,95
09.30,33551,15913,749,72
10.01,33662,15913,750,111
10.02,33735,15913,751,73
10.03,33842,15913,753,107
10.04,33901,15913,754,59
10.05,33952,15913,756,51
10.06,34072,15913,757,120
10.07,34193,15913,758,121
10.08,34344,15913,760,151
10.09,34517,15913,761,173
10.10,34685,15913,762,168
10.11,34787,15913,763,102
10.12,34854,15913,765,67
10.13,35006,15913,767,152
10.14,35251,15913,768,245
10.15,35454,15913,770,203
10.16,35719,15913,772,265
10.17,35946,15913,774,227
10.18,36160,15913,776,214
10.19,36282,15913,778,122
10.20,36608,15913,780,326
10.21,37120,15913,780,512
10.22,37536,15913,783,416
10.23,38115,15913,786,579
10.24,38872,15913,789,757
10.25,39486,15913,792,614
10.26,39827,15913,793,341
10.27,40880,15913,798,1053
10.28,42208,15913,803,1328
10.29,43592,15913,809,1384
10.30,45137,15913,814,1545
10.31,46954,15913,820,1817
11.01,48403,15913,826,1449
11.02,49205,15913,833,802
11.03,51083,15913,844,1878
11.04,53495,15913,850,2412
11.05,55676,15913,861,2181
11.06,57958,15913,871,2282
11.07,60635,15913,880,2677
11.08,62747,15913,890,2112
11.09,64065,15913,901,1318
11.10,64065,15913,901,0
11.11,66888,15913,915,2823
11.12,73765,15913,955,6877
11.13,77264,15913,972,3499
11.14,81086,15913,989,3822
11.15,84568,15913,1009,3482
11.16,87381,15913,1030,2813
11.17,92375,15913,1054,4994
11.18,97988,15913,1081,5613
11.19,104097,15913,1110,6109
11.20,110351,15913,1140,6254
11.21,116125,15913,1168,5774
11.22,121120,15913,1199,4995
11.23,126187,15913,1237,5067
11.24,133029,15913,1274,6842
11.25,140608,15913,1315,7579
11.26,148214,15913,1366,7606
11.27,155994,15913,1423,7780
11.28,163035,15913,1484,7041
11.29,169214,15913,1549,6179
11.30,175438,15913,1604,6224
12.01,183437,15913,1652,7999
12.02,191356,15913,1704,7919
12.03,199158,15913,1765,7802
12.04,206940,15913,1834,7782
12.05,213843,15913,1891,6903
12.06,219652,15913,1949,5809
12.07,226209,15913,2005,6557
12.08,234027,15913,2062,7818
12.09,241831,15913,2116,7804
12.10,249224,15913,2172,7393
12.11,255758,15913,2227,6534
12.12,255758,15913,2275,0
12.13,266432,15913,2331,10674
12.14,271364,15913,2380,4932
12.15,277248,15913,2433,5884
12.16,282601,15913,2482,5353
12.17,287730,15913,2529,5129
12.18,292640,15913,2580,4910
12.19,296528,15913,2632,3888
12.20,300062,15913,2686,3534
12.21,303747,15913,2733,3685
12.22,307827,15913,2782,4080
12.23,312253,15913,2833,4426
12.24,316344,15913,2882,4091
12.25,320167,0,2931,3823
12.26,323367,0,2983,3200
12.27,326060,0,3030,2693
