,confirm,heal,dead,confirm_add
03.21,6,0,0,0
03.22,14,0,0,8
03.23,17,0,0,3
03.24,17,0,0,0
03.25,18,0,0,1
03.26,18,0,0,0
03.27,24,0,0,6
03.28,26,0,0,2
03.29,26,0,0,0
03.30,33,0,0,7
03.31,34,0,0,1
04.01,34,0,0,0
04.02,45,0,0,11
04.03,46,0,0,1
04.04,51,0,0,5
04.05,52,0,0,1
04.06,56,6,1,4
04.07,60,6,2,4
04.08,63,6,3,3
04.09,63,8,3,0
04.10,66,11,4,3
04.11,67,11,4,1
04.12,68,11,4,1
04.13,71,11,4,3
04.14,72,13,4,1
04.15,73,15,5,1
04.16,75,15,5,2
04.17,75,15,5,0
04.18,75,15,5,0
04.19,75,17,5,0
04.20,75,19,5,0
04.21,75,23,5,0
04.22,75,25,5,0
04.23,76,27,6,1
04.24,76,30,6,0
04.25,77,31,6,1
04.26,79,32,6,2
04.27,79,39,6,0
04.28,80,39,6,1
04.29,80,39,6,0
04.30,80,39,7,0
05.01,81,39,7,1
05.02,81,39,7,0
05.03,81,44,7,0
05.04,82,44,7,1
05.05,82,46,7,0
05.06,82,47,7,0
05.07,82,47,7,0
05.08,82,53,7,0
05.09,83,53,7,1
05.10,84,57,7,1
05.11,84,57,7,0
05.12,84,57,7,0
05.13,85,57,7,1
05.14,85,65,7,0
05.15,85,65,7,0
05.16,85,65,7,0
05.17,86,67,7,1
05.18,88,68,7,2
05.19,88,68,7,0
05.20,90,68,7,2
05.21,90,70,7,0
05.22,90,70,7,0
05.23,90,70,7,0
05.24,92,70,7,2
05.25,92,70,7,0
05.26,92,71,7,0
05.27,92,71,7,0
05.28,92,76,7,0
05.29,92,76,7,0
05.30,92,76,7,0
05.31,92,76,7,0
06.01,92,76,7,0
06.02,92,76,7,0
06.03,92,76,7,0
06.04,92,81,7,0
06.05,92,81,7,0
06.06,92,81,7,0
06.07,92,81,7,0
06.08,92,81,7,0
06.09,92,81,7,0
06.10,92,81,7,0
06.11,96,83,7,4
06.12,96,83,7,0
06.13,96,83,7,0
06.14,96,83,7,0
06.15,96,83,7,0
06.16,97,83,7,1
06.17,97,83,7,0
06.18,97,85,7,0
06.19,97,85,7,0
06.20,97,85,7,0
06.21,97,85,7,0
06.22,97,85,7,0
06.23,97,85,7,0
06.24,97,85,7,0
06.25,97,85,7,0
06.26,97,85,7,0
06.27,97,90,7,0
06.28,97,90,7,0
06.29,97,90,7,0
06.30,97,90,7,0
07.01,97,90,7,0
07.02,97,90,7,0
07.03,97,90,7,0
07.04,97,90,7,0
07.05,97,90,7,0
07.06,98,90,7,1
07.07,98,90,7,0
07.08,98,90,7,0
07.09,98,90,7,0
07.10,98,90,7,0
07.11,98,90,7,0
07.12,103,90,7,5
07.13,103,90,7,0
07.14,103,90,7,0
07.15,103,90,7,0
07.16,104,90,7,1
07.17,104,90,7,0
07.18,104,91,7,0
07.19,104,91,7,0
07.20,105,91,7,1
07.21,106,91,7,1
07.22,106,91,7,0
07.23,106,94,7,0
07.24,106,94,7,0
07.25,108,94,7,2
07.26,108,94,7,0
07.27,110,94,7,2
07.28,110,94,7,0
07.29,110,94,7,0
07.30,110,95,7,0
07.31,110,96,7,0
08.01,110,96,7,0
08.02,122,98,7,12
08.03,132,98,7,10
08.04,132,98,7,0
08.05,132,98,7,0
08.06,133,100,7,1
08.07,133,100,7,0
08.08,138,100,7,5
08.09,138,108,7,0
08.10,142,112,7,4
08.11,143,112,7,1
08.12,143,112,7,0
08.13,144,115,7,1
08.14,144,118,7,0
