,confirm,heal,dead,confirm_add
03.20,1,0,0,1
03.21,3,0,0,2
03.22,3,0,0,0
03.23,3,0,0,0
03.24,3,0,1,2
03.25,4,0,1,1
03.26,4,0,1,0
03.27,5,0,1,1
03.28,5,0,1,2
03.29,6,0,1,1
03.30,6,0,1,0
03.31,6,0,1,0
04.01,6,0,1,0
04.02,6,0,1,0
04.03,6,0,1,0
04.04,7,0,1,1
04.05,7,0,1,0
04.06,7,1,1,0
04.07,7,1,1,0
04.08,7,1,1,0
04.09,7,1,1,0
04.10,7,1,1,0
04.11,8,1,1,1
04.12,8,1,1,0
04.13,10,1,1,2
04.14,10,1,1,0
04.15,56,1,1,46
04.16,56,1,1,0
04.17,56,1,1,0
04.18,58,1,1,2
04.19,61,1,1,3
04.20,67,1,1,6
04.21,67,1,1,0
04.22,68,1,1,1
04.23,82,1,1,14
04.24,88,1,1,6
04.25,90,1,1,2
04.26,106,1,1,16
04.27,109,1,1,3
04.28,114,2,1,5
04.29,114,2,1,0
04.30,113,2,1,-1
05.01,121,4,1,8
05.02,122,18,1,1
05.03,152,18,2,30
05.04,175,37,2,23
05.05,186,37,2,11
05.06,191,38,2,5
05.07,218,38,2,27
05.08,230,44,2,12
05.09,230,44,2,0
05.10,236,56,2,6
05.11,246,56,2,10
05.12,267,58,2,21
05.13,289,61,2,22
05.14,315,67,2,26
05.15,326,67,2,11
05.16,326,67,2,0
05.17,328,84,3,2
05.18,328,84,3,0
05.19,328,85,3,0
05.20,349,85,3,21
05.21,349,85,3,0
05.22,356,95,3,7
05.23,371,142,3,15
05.24,371,142,3,0
05.25,390,155,3,19
05.26,390,155,3,0
05.27,390,155,4,0
05.28,390,155,4,0
05.29,390,155,4,0
05.30,421,167,4,31
05.31,421,167,4,0
06.01,435,193,4,14
06.02,466,237,5,31
06.03,466,237,5,0
06.04,502,239,5,36
06.05,502,239,5,0
06.06,542,240,5,40
06.07,542,240,5,0
06.08,567,266,5,25
06.09,585,270,5,18
06.10,585,270,5,0
06.11,657,294,5,72
06.12,697,294,6,40
06.13,697,294,6,0
06.14,750,301,6,53
06.15,759,301,6,9
06.16,760,354,7,1
06.17,791,354,7,31
06.18,823,377,7,32
06.19,823,377,7,0
06.20,863,377,8,40
06.21,863,377,8,0
06.22,890,413,8,27
06.23,944,419,8,54
06.24,982,479,8,38
06.25,1003,562,8,21
06.26,1027,562,9,24
06.27,1027,568,10,0
06.28,1091,568,12,64
06.29,1155,570,12,64
06.30,1165,608,12,10
07.01,1267,629,15,102
07.02,1301,629,15,34
07.03,1301,629,15,0
07.04,1382,629,15,81
07.05,1421,654,16,39
07.06,1451,655,17,30
07.07,1463,722,17,12
07.08,1499,724,18,36
07.09,1542,730,18,43
07.10,1552,730,18,10
07.11,1591,730,19,39
07.12,1623,748,19,32
07.13,1698,748,19,75
07.14,1722,772,19,24
07.15,1780,850,19,58
07.16,1837,892,19,57
07.17,1939,902,19,102
07.18,1939,902,19,0
07.19,2014,913,21,75
07.20,2045,973,21,31
07.21,2071,1063,21,26
07.22,2107,1100,21,36
07.23,2154,1132,21,47
07.24,2190,1150,21,36
07.25,2220,1216,22,30
07.26,2258,1363,22,38
07.27,2307,1447,22,49
07.28,2328,1550,22,21
07.29,2354,1616,22,26
07.30,2373,1694,23,19
07.31,2418,1694,23,45
08.01,2451,1824,23,33
08.02,2480,1837,24,29
08.03,2547,1860,24,67
08.04,2583,1911,25,36
08.05,2631,1930,26,48
08.06,2689,1955,27,58
08.07,2734,2010,27,45
08.08,2780,2042,29,46
08.09,2835,2073,32,55
08.10,2858,2086,32,23
08.11,2883,2128,32,25
08.12,2920,2148,33,37
08.13,3000,2172,33,80
08.14,3073,2232,33,73
08.15,3136,2254,33,63
08.16,3163,2302,34,27
08.17,3179,2317,35,16
08.18,3203,2336,36,24
08.19,3253,2390,36,50
08.20,3321,2442,36,68
08.21,3368,2462,37,47
08.22,3412,2498,37,44
08.23,3455,2538,37,43
08.24,3509,2540,37,54
08.25,3532,2599,37,23
08.26,3568,2673,37,36
08.27,3630,2713,38,62
08.28,3699,2749,38,69
08.29,3745,2807,38,46
08.30,3778,2855,39,33
08.31,3852,2867,40,74
09.01,3884,2916,40,32
09.02,3970,3423,40,86
09.03,4048,3460,41,78
09.04,4125,3502,41,77
09.05,4200,3562,41,75
09.06,4275,3611,42,75
09.07,4330,3628,42,55
09.08,4358,3790,42,28
09.09,4400,3851,42,42
09.10,4473,3915,43,73
09.11,4557,3993,43,84
09.12,4651,4076,44,94
09.13,4711,4104,44,60
09.14,4813,4119,44,102
09.15,4839,4240,45,26
09.16,4904,4294,46,65
09.17,4978,4430,47,74
09.18,5063,4465,49,85
09.19,5141,4548,50,78
09.20,5186,4581,50,45
09.21,5257,4599,51,71
09.22,5281,4674,52,24
09.23,5337,4742,52,56
09.24,5412,4837,54,75
09.25,5479,4917,55,67
09.26,5628,4982,55,149
09.27,5701,5018,56,73
09.28,5771,5031,57,70
09.29,5817,5134,59,46
09.30,5900,5228,59,83
10.01,6024,5277,60,124
10.02,6126,5338,61,102
10.03,6205,5399,62,79
10.04,6296,5409,62,91
10.05,6360,5416,65,64
10.06,6433,5524,68,73
10.07,6518,5632,69,85
10.08,6624,5684,71,106
10.09,6717,5821,71,93
10.10,6809,5932,73,92
10.11,6913,5970,74,104
10.12,7072,5981,75,159
10.13,7155,6075,75,83
10.14,7254,6210,77,99
10.15,7371,6270,79,117
10.16,7444,6348,79,73
10.17,7526,6425,82,82
10.18,7638,6473,85,112
10.19,7752,6526,86,114
10.20,7800,6620,87,48
10.21,7901,6792,87,101
10.22,8033,6835,90,132
10.23,8122,6940,91,89
10.24,8198,7034,94,76
10.25,8322,7234,94,124
10.26,8396,7285,94,74
10.27,8423,7455,94,27
10.28,8472,7599,94,49
10.29,8548,7701,94,76
10.30,8603,7796,95,55
10.31,8694,7913,95,91
11.01,8793,7981,95,99
11.02,8848,8012,95,55
11.03,8882,8110,95,34
11.04,8944,8155,95,62
11.05,9053,8220,95,109
