,confirm,heal,dead,confirm_add
03.13,1,0,0,1
03.14,1,0,0,0
03.15,4,0,0,3
03.16,5,0,0,1
03.17,5,0,0,0
03.18,6,0,0,1
03.19,6,0,0,0
03.20,9,0,0,3
03.21,9,0,0,0
03.22,11,4,0,2
03.23,11,0,0,0
03.24,12,4,0,1
03.25,12,0,0,0
03.26,12,0,0,0
03.27,16,4,0,4
03.28,16,1,0,0
03.29,19,1,0,3
03.30,23,2,0,7
03.31,25,2,0,2
04.01,29,2,0,4
04.02,29,3,0,0
04.03,35,3,0,6
04.04,38,4,0,3
04.05,43,4,1,5
04.06,44,4,2,1
04.07,52,4,2,8
04.08,55,4,2,3
04.09,56,4,2,1
04.10,65,4,2,9
04.11,69,10,3,4
04.12,71,10,3,2
04.13,74,14,3,3
04.14,82,14,3,8
04.15,85,15,3,3
04.16,92,15,3,7
04.17,96,15,3,4
04.18,105,16,3,9
04.19,108,16,3,3
04.20,111,16,3,3
04.21,114,16,3,3
04.22,116,21,3,2
04.23,116,21,3,0
04.24,117,25,3,1
04.25,122,29,3,5
04.26,123,41,3,1
04.27,124,50,3,1
04.28,126,50,3,2
04.29,130,58,3,4
04.30,131,59,3,1
05.01,133,66,3,2
05.02,133,69,3,0
05.03,133,69,3,0
05.04,140,75,3,7
05.05,145,91,4,5
05.06,162,93,4,17
05.07,187,93,4,25
05.08,194,95,4,7
05.09,210,97,5,16
05.10,239,99,5,29
05.11,250,105,5,11
05.12,261,106,5,11
05.13,263,108,5,2
05.14,272,108,5,9
05.15,287,112,5,15
05.16,306,113,5,19
05.17,317,113,5,11
05.18,352,116,5,35
05.19,365,120,5,13
05.20,389,122,5,24
05.21,398,123,5,9
05.22,429,128,5,31
05.23,494,151,5,65
05.24,582,152,5,88
05.25,655,159,5,73
05.26,701,167,6,46
05.27,731,181,6,30
05.28,831,191,7,100
05.29,968,197,8,137
05.30,1063,208,8,95
05.31,1172,209,11,109
06.01,1257,217,12,85
06.02,1344,231,14,87
06.03,1344,231,14,0
06.04,1636,250,18,292
06.05,1805,262,19,169
06.06,1934,281,20,129
06.07,2020,344,27,86
06.08,2156,361,27,136
06.09,2336,379,32,180
06.10,2336,379,32,0
06.11,2670,434,40,334
06.12,2915,451,47,245
06.13,3166,495,55,251
06.14,3345,545,57,179
06.15,3521,620,60,176
06.16,3630,738,61,109
06.17,3759,849,63,129
06.18,3954,934,65,195
06.19,4070,1027,72,116
06.20,4469,1029,72,399
06.21,4532,1213,74,63
06.22,4663,1297,75,131
06.23,4848,1412,75,185
06.24,5034,1486,78,186
06.25,5175,1544,81,141
06.26,5425,1688,89,250
06.27,5425,1688,89,0
06.28,5689,2132,98,264
06.29,5846,2430,103,157
06.30,5846,2430,103,0
07.01,5846,2430,103,0
07.02,5846,2430,103,0
07.03,5846,2430,103,0
07.04,5846,2430,103,0
07.05,5846,2430,103,0
07.06,5846,2430,103,0
07.07,5846,2430,103,0
07.08,5846,2430,103,0
07.09,6774,2430,120,928
07.10,6973,2430,120,199
07.11,7120,2430,124,147
07.12,7402,2430,124,282
07.13,7766,2430,128,364
07.14,7766,2430,128,0
07.15,7969,2430,139,203
07.16,8181,2430,146,212
07.17,8475,2430,148,294
07.18,8803,2430,150,328
07.19,9147,2430,163,344
07.20,9503,2430,167,356
07.21,10207,2430,170,704
07.22,11072,5448,180,865
07.23,11524,5506,188,452
07.24,11933,5645,197,409
07.25,13248,5966,209,1315
07.26,13248,5966,209,0
07.27,13968,6216,223,720
07.28,14547,6386,228,579
