,confirm,heal,dead,confirm_add
03.19,1,0,0,1
03.20,1,0,0,0
03.21,2,0,0,1
03.22,2,0,0,0
03.23,2,0,0,0
03.24,2,0,0,0
03.25,2,0,0,0
03.26,2,0,0,0
03.27,2,0,1,0
03.28,4,0,1,3
03.29,4,0,1,0
03.30,4,0,1,0
03.31,4,0,1,0
04.01,5,0,1,1
04.02,5,0,1,0
04.03,5,0,1,0
04.04,5,0,1,0
04.05,5,0,1,0
04.06,6,0,1,1
04.07,6,0,1,0
04.08,6,0,1,0
04.09,6,0,1,0
04.10,7,0,1,1
04.11,8,0,1,1
04.12,9,4,1,1
04.13,9,4,1,0
04.14,9,4,1,0
04.15,9,4,1,0
04.16,9,4,1,0
04.17,9,4,1,0
04.18,9,6,1,0
04.19,9,6,2,0
04.20,10,6,2,1
04.21,10,6,2,0
04.22,10,7,2,0
04.23,10,7,2,0
04.24,11,7,3,1
04.25,11,7,3,0
04.26,12,7,3,1
04.27,13,7,3,1
04.28,13,7,3,0
04.29,13,7,3,0
04.30,14,7,3,1
05.01,14,7,3,0
05.02,14,7,3,0
05.03,14,7,3,0
05.04,15,7,5,1
05.05,15,7,5,0
05.06,16,7,5,1
05.07,16,7,5,0
05.08,16,7,5,0
05.09,16,7,5,0
05.10,16,7,5,0
05.11,16,7,5,0
05.12,16,7,5,0
05.13,25,7,8,9
05.14,25,7,8,0
05.15,25,7,8,0
05.16,25,7,8,0
05.17,25,7,8,0
05.18,25,7,8,0
05.19,25,7,8,0
05.20,254,199,17,229
05.21,254,199,17,0
05.22,279,199,17,25
05.23,279,199,17,0
05.24,279,199,17,0
05.25,279,199,17,0
05.26,279,199,17,0
05.27,759,370,35,480
05.28,759,370,35,0
05.29,759,370,35,0
05.30,759,370,35,0
05.31,759,370,35,0
06.01,759,370,35,0
06.02,759,370,35,0
06.03,1118,370,46,359
06.04,1118,370,46,0
06.05,1118,370,46,0
06.06,1118,370,46,0
06.07,1118,370,46,0
06.08,1118,370,46,0
06.09,1118,370,46,0
06.10,1118,370,46,0
06.11,1464,953,55,346
06.12,1464,953,55,0
06.13,1464,953,55,0
06.14,1464,953,55,0
06.15,1464,953,55,0
06.16,1464,953,55,0
06.17,1823,1238,64,359
06.18,1823,1238,64,0
06.19,1823,1238,64,0
06.20,1823,1238,64,0
06.21,1823,1238,64,0
06.22,1823,1238,64,0
06.23,1823,1238,64,0
06.24,2170,1238,74,347
06.25,2170,1238,74,0
06.26,2170,1238,74,0
06.27,2170,1238,74,0
06.28,2170,1238,74,0
06.29,2170,1238,74,0
06.30,2170,1238,74,0
07.01,2519,1238,83,349
07.02,2519,1238,83,0
07.03,2519,1238,83,0
07.04,2519,1238,83,0
07.05,2519,1238,83,0
07.06,2519,1238,83,0
07.07,2519,1238,83,0
07.08,2846,1993,91,327
07.09,2846,1993,91,0
07.10,2846,1993,91,0
07.11,2846,1993,91,0
07.12,2846,1993,91,0
07.13,2846,1993,91,0
07.14,2846,1993,91,0
07.15,3147,2282,99,301
07.16,3147,2282,99,0
07.17,3147,2282,99,0
07.18,3147,2282,99,0
07.19,3147,2282,99,0
07.20,3147,2282,99,0
07.21,3147,2282,99,0
07.22,3439,2492,108,292
07.23,3439,2492,108,0
07.24,3439,2492,108,0
07.25,3439,2492,108,0
07.26,3439,2492,108,0
07.27,3439,2492,108,0
07.28,3439,2492,108,0
07.29,3672,2492,116,233
07.30,3672,2492,116,0
07.31,3672,2492,116,0
08.01,3672,2492,116,0
08.02,3672,2492,116,0
08.03,3672,2492,116,0
08.04,3672,2492,116,0
08.05,3902,2913,123,230
08.06,3902,2913,123,0
08.07,3902,2913,123,0
08.08,3902,2913,123,0
08.09,3902,2913,123,0
08.10,3902,2913,123,0
08.11,3902,2913,123,0
08.12,4115,2913,128,213
08.13,4115,2913,128,0
08.14,4115,2913,128,0
08.15,4115,2913,128,0
08.16,4115,2913,128,0
08.17,4115,2913,128,0
08.18,4115,2913,128,0
08.19,4311,2913,133,196
08.20,4311,2913,133,0
08.21,4311,2913,133,0
08.22,4311,2913,133,0
08.23,4311,2913,133,0
08.24,4311,2913,133,0
08.25,4311,2913,133,0
08.26,4494,2913,137,183
08.27,4494,2913,137,0
08.28,4494,2913,137,0
08.29,4494,2913,137,0
08.30,4494,2913,137,0
08.31,4494,2913,137,0
09.01,4494,2913,137,0
09.02,4668,2913,141,174
09.03,4668,2913,141,0
09.04,4668,2913,141,0
09.05,4668,2913,141,0
09.06,4668,2913,141,0
09.07,4668,2913,141,0
09.08,4668,2913,141,0
09.09,4818,2913,144,150
09.10,4818,2913,144,0
09.11,4818,2913,144,0
09.12,4818,2913,144,0
09.13,4818,2913,144,0
09.14,4818,2913,144,0
09.15,4818,2913,144,0
09.16,4961,2913,147,143
09.17,4961,2913,147,0
09.18,4961,2913,147,0
09.19,4961,2913,147,0
09.20,4961,2913,147,0
09.21,4961,2913,147,0
09.22,4961,2913,147,0
09.23,5073,2913,149,112
09.24,5073,2913,149,0
09.25,5073,2913,149,0
09.26,5073,2913,149,0
09.27,5073,2913,149,0
09.28,5073,2913,149,0
09.29,5073,2913,149,0
09.30,5170,2913,151,97
10.01,5170,2913,151,0
10.02,5170,2913,151,0
10.03,5170,2913,151,0
10.04,5170,2913,151,0
10.05,5170,2913,151,0
10.06,5170,2913,151,0
10.07,5264,4225,151,94
10.08,5264,4225,153,0
10.09,5264,4225,153,0
10.10,5264,4225,153,0
10.11,5264,4225,153,0
10.12,5264,4225,153,0
10.13,5264,4225,153,0
10.14,5353,4225,154,89
10.15,5353,4225,154,0
10.16,5353,4225,154,0
10.17,5353,4225,154,0
10.18,5353,4225,154,0
10.19,5353,4225,154,0
10.20,5353,4225,154,0
10.21,5434,4225,155,81
10.22,5434,4225,155,0
10.23,5434,4225,155,0
10.24,5434,4225,155,0
10.25,5434,4225,155,0
10.26,5434,4225,155,0
10.27,5434,4225,155,0
10.28,5514,4225,156,80
10.29,5514,4225,156,0
10.30,5514,4225,156,0
10.31,5514,4225,156,0
11.01,5514,4225,156,0
11.02,5514,4225,156,0
11.03,5514,4225,156,0
11.04,5514,4225,156,0
11.05,5514,4225,156,0
11.06,5591,4225,157,77
11.07,5591,4225,157,0
11.08,5591,4225,157,0
11.09,5591,4225,157,0
11.10,5591,4225,157,0
11.11,5661,4225,158,70
11.12,5661,4225,158,0
11.13,5661,4225,158,0
11.14,5661,4225,158,0
11.15,5661,4225,158,0
11.16,5661,4225,158,0
11.17,5661,4225,158,0
11.18,5725,4225,159,64
11.19,5725,4225,159,0
11.20,5725,4225,159,0
11.21,5725,4225,159,0
11.22,5725,4225,159,0
11.23,5725,4225,159,0
11.24,5725,4225,159,0
11.25,5784,4225,160,59
11.26,5784,4225,160,0
11.27,5784,4225,160,0
11.28,5784,4225,160,0
11.29,5784,4225,160,0
11.30,5784,4225,160,0
12.01,5784,4225,160,0
12.02,5838,4225,161,54
12.03,5838,4225,161,0
12.04,5838,4225,161,0
12.05,5838,4225,161,0
12.06,5838,4225,161,0
12.07,5838,4225,161,0
12.08,5838,4225,161,0
12.09,5887,4225,162,49
12.10,5887,4225,162,0
12.11,5887,4225,162,0
12.12,5887,4225,162,0
12.13,5887,4225,162,0
12.14,5887,4225,162,0
12.15,5887,4225,162,0
12.16,5887,4225,162,0
12.17,5938,4225,163,51
12.18,5938,4225,163,0
12.19,5938,4225,163,0
12.20,5938,4225,163,0
12.21,5938,4225,163,0
12.22,5938,4225,163,0
12.23,5938,4225,163,0
12.24,5991,4225,164,53
12.25,5991,4225,164,0
12.26,5991,4225,164,0
12.27,5991,4225,164,0
12.28,5991,4225,164,0
12.29,5991,4225,164,0
12.30,6046,4225,165,55
12.31,6046,4225,165,0
01.01,6046,4225,165,0
01.02,6046,4225,165,0
01.03,6046,4225,165,0
01.04,6046,4225,165,0
01.05,6046,4225,165,0
01.06,6097,4225,166,51
01.07,6097,4225,166,0
01.08,6097,4225,166,0
01.09,6097,4225,166,0
01.10,6097,4225,166,0
01.11,6097,4225,166,0
01.12,6097,4225,166,0
01.13,6152,4225,167,55
01.14,6152,4225,167,0
01.15,6152,4225,167,0
01.16,6152,4225,167,0
01.17,6152,4225,167,0
01.18,6152,4225,167,0
01.19,6152,4225,167,0
01.20,6204,4225,168,52
01.21,6204,4225,168,0
01.22,6204,4225,168,0
01.23,6204,4225,168,0
01.24,6204,4225,168,0
01.25,6204,4225,168,0
01.26,6204,4225,168,0
01.27,6253,4225,169,49
01.28,6253,4225,169,0
01.29,6253,4225,169,0
01.30,6253,4225,169,0
01.31,6253,4225,169,0
02.01,6253,4225,169,0
02.02,6253,4225,169,0
02.03,6299,4225,170,46
02.04,6299,4225,170,0
02.05,6299,4225,170,0
02.06,6299,4225,170,0
02.07,6299,4225,170,0
02.08,6299,4225,170,0
02.09,6299,4225,170,0
02.10,6347,4225,171,48
02.11,6347,4225,171,0
02.12,6347,4225,171,0
02.13,6347,4225,171,0
02.14,6347,4225,171,0
02.15,6347,4225,171,0
02.16,6347,4225,171,0
02.17,6398,4225,172,51
02.18,6398,4225,172,0
02.19,6398,4225,172,0
02.20,6398,4225,172,0
02.21,6398,4225,172,0
02.22,6398,4225,172,0
02.23,6398,4225,172,0
02.24,6445,4225,173,47
02.25,6445,4225,173,0
02.26,6445,4225,173,0
02.27,6445,4225,173,0
02.28,6445,4225,173,0
03.01,6445,4225,173,0
03.02,6445,4225,173,0
03.03,6489,4225,174,44
03.04,6489,4225,174,0
03.05,6489,4225,174,0
03.06,6489,4225,174,0
03.07,6489,4225,174,0
03.08,6489,4225,174,0
03.09,6489,4225,174,0
03.10,6537,4225,175,48
03.11,6537,4225,175,0
03.12,6537,4225,175,0
03.13,6537,4225,175,0
03.14,6537,4225,175,0
03.15,6537,4225,175,0
03.16,6537,4225,175,0
03.17,6582,4225,176,45
03.18,6582,4225,176,0
03.19,6582,4225,176,0
03.20,6582,4225,176,0
03.21,6582,4225,176,0
03.22,6582,4225,176,0
03.23,6582,4225,176,0
03.24,6629,4225,177,47
03.25,6629,4225,177,0
03.26,6629,4225,177,0
03.27,6629,4225,177,0
03.28,6629,4225,177,0
03.29,6629,4225,177,0
03.30,6629,4225,177,0
03.31,6629,4225,177,0
04.01,6677,4225,178,48
04.02,6677,4225,178,0
04.03,6677,4225,178,0
04.04,6677,4225,178,0
04.05,6677,4225,178,0
04.06,6677,4225,178,0
04.07,6727,4225,179,50
04.08,6727,4225,179,0
04.09,6727,4225,179,0
04.10,6727,4225,179,0
04.11,6727,4225,179,0
04.12,6727,4225,179,0
04.13,6727,4225,179,0
04.14,6778,4225,180,51
04.15,6778,4225,180,0
04.16,6778,4225,180,0
04.17,6778,4225,180,0
04.18,6778,4225,180,0
04.19,6778,4225,180,0
04.20,6778,4225,180,0
04.21,6835,4225,181,57
04.22,6835,4225,181,0
04.23,6835,4225,181,0
04.24,6835,4225,181,0
04.25,6835,4225,181,0
04.26,6835,4225,181,0
04.27,6835,4225,181,0
04.28,6898,4225,182,63
04.29,6898,4225,182,0
04.30,6898,4225,182,0
05.01,6898,4225,182,0
05.02,6898,4225,182,0
05.03,6898,4225,182,0
05.04,6898,4225,182,0
05.05,6989,4225,183,91
05.06,6989,4225,183,0
05.07,6989,4225,183,0
05.08,6989,4225,183,0
05.09,6989,4225,183,0
05.10,6989,4225,183,0
05.11,6989,4225,183,0
05.12,7086,4225,184,97
05.13,7086,4225,184,0
05.14,7086,4225,184,0
05.15,7086,4225,184,0
05.16,7086,4225,184,0
05.17,7086,4225,184,0
05.18,7086,4225,184,0
05.19,7193,4225,185,107
05.20,7193,4225,185,0
05.21,7193,4225,185,0
05.22,7193,4225,185,0
05.23,7193,4225,185,0
05.24,7193,4225,185,0
05.25,7193,4225,185,0
05.26,7324,4225,186,131
05.27,7324,4225,186,0
05.28,7324,4225,186,0
05.29,7324,4225,186,0
05.30,7324,4225,186,0
05.31,7324,4225,186,0
06.01,7324,4225,186,0
06.02,7481,4225,187,157
06.03,7481,4225,187,0
06.04,7481,4225,187,0
06.05,7481,4225,187,0
06.06,7481,4225,187,0
06.07,7481,4225,187,0
06.08,7481,4225,187,0
06.09,7662,4225,188,181
06.10,7662,4225,188,0
06.11,7662,4225,188,0
06.12,7662,4225,188,0
06.13,7662,4225,188,0
06.14,7662,4225,188,0
06.15,7662,4225,188,0
06.16,7696,4225,188,34
06.17,7696,4225,188,0
06.18,7696,4225,188,0
06.19,7696,4225,188,0
06.20,7696,4225,188,0
06.21,7696,4225,188,0
06.22,7696,4225,188,0
06.23,7920,4225,189,224
06.24,7920,4225,189,0
06.25,7920,4225,189,0
06.26,7920,4225,189,0
06.27,7920,4225,189,0
06.28,7920,4225,189,0
06.29,7920,4225,189,0
06.30,8178,4225,191,258
07.01,8178,4225,191,0
07.02,8178,4225,191,0
