,confirm,heal,dead,confirm_add
03.13,1,0,0,1
03.14,1,0,0,0
03.15,1,0,0,0
03.16,1,0,0,0
03.17,1,0,0,0
03.18,1,0,0,0
03.19,1,0,0,0
03.20,2,0,0,1
03.21,2,0,0,0
03.22,2,0,0,0
03.23,4,0,0,2
03.24,4,0,0,2
03.25,4,0,0,0
03.26,4,0,0,0
03.27,8,0,0,4
03.28,8,0,0,0
03.29,8,0,0,4
03.30,16,1,0,8
03.31,22,0,0,6
04.01,30,0,0,8
04.02,52,0,0,22
04.03,52,0,0,0
04.04,73,2,0,21
04.05,111,5,0,38
04.06,121,5,0,10
04.07,128,5,0,7
04.08,144,5,0,16
04.09,164,5,0,20
04.10,194,11,0,30
04.11,212,15,0,18
04.12,250,17,0,38
04.13,250,17,0,0
04.14,363,31,0,113
04.15,404,31,1,41
04.16,404,31,1,0
04.17,438,49,1,34
04.18,477,59,3,39
04.19,518,65,3,41
04.20,579,87,5,61
04.21,622,122,5,43
04.22,761,164,6,139
04.23,761,164,6,0
04.24,862,170,6,101
04.25,954,191,6,92
04.26,996,208,7,42
04.27,996,208,7,0
04.28,1163,246,7,167
04.29,1240,269,7,77
04.30,1351,313,7,111
05.01,1495,329,7,144
05.02,1537,342,7,42
05.03,1586,405,7,49
05.04,1586,405,7,0
05.05,1710,450,9,124
05.06,1811,498,10,101
05.07,1856,597,11,45
05.08,1927,629,11,71
05.09,2009,663,11,82
05.10,2042,698,11,33
05.11,2146,714,11,104
05.12,2213,771,11,67
05.13,2298,816,11,85
05.14,2374,856,14,76
05.15,2473,895,15,99
05.16,2531,1094,15,58
05.17,2658,1133,16,127
05.18,2658,1133,16,0
05.19,2796,1263,16,138
05.20,2863,1525,18,67
05.21,2863,1525,18,0
05.22,3067,1575,18,204
05.23,3067,1575,19,0
05.24,3176,1631,20,109
05.25,3275,1673,20,99
05.26,3275,1673,20,0
05.27,3275,1673,20,0
05.28,3275,1673,20,0
05.29,3553,1950,22,278
05.30,3656,2000,22,103
05.31,3706,2030,23,50
06.01,3706,2030,23,0
06.02,3844,2135,23,138
06.03,3886,2267,23,42
06.04,3933,2332,23,47
06.05,3991,2512,23,58
06.06,4060,2667,23,69
06.07,4117,2857,23,57
06.08,4117,2877,23,0
06.09,4216,2918,23,99
06.10,4258,2942,23,42
06.11,4258,2942,23,0
06.12,4372,3033,23,114
06.13,4426,3106,24,54
06.14,4484,3213,25,58
06.15,4532,3234,25,48
06.16,4572,3259,26,40
06.17,4639,3327,26,67
06.18,4668,3364,26,29
06.19,4841,3467,26,173
06.20,4904,3522,27,63
06.21,4960,3630,27,56
06.22,4988,3669,27,28
06.23,5040,3685,28,52
06.24,5040,3685,28,0
06.25,5174,3861,29,134
06.26,5174,3861,29,0
06.27,5260,4155,29,86
06.28,5291,4215,30,31
06.29,5342,4282,31,51
06.30,5351,4296,31,9
07.01,5391,4326,33,40
07.02,5404,4346,33,13
07.03,5450,4392,33,46
07.04,5521,4446,33,71
07.05,5570,4496,34,49
07.06,5610,4522,34,40
07.07,5610,4522,34,0
07.08,5697,4577,34,87
07.09,5697,4577,34,0
07.10,5881,4672,36,184
07.11,5969,4732,37,88
07.12,6044,4802,37,75
07.13,6141,4862,37,97
07.14,6141,4862,37,0
07.15,6200,4951,38,59
07.16,6276,4981,38,76
07.17,6359,5012,39,83
07.18,6430,5233,39,71
07.19,6491,5257,39,61
07.20,6544,5511,39,53
07.21,6590,5591,40,46
07.22,6652,5771,41,62
07.23,6747,5891,41,95
07.24,6806,5999,42,59
