,confirm,heal,dead,confirm_add
03.25,2,0,0,2
03.26,2,0,0,0
03.27,4,0,0,2
03.28,18,0,0,14
03.29,18,0,1,0
03.30,25,0,2,7
03.31,28,0,2,3
04.01,31,0,3,3
04.02,31,0,3,0
04.03,36,0,3,5
04.04,41,1,3,5
04.05,41,1,3,0
04.06,47,1,5,6
04.07,56,12,5,9
04.08,56,12,5,0
04.09,59,16,7,3
04.10,87,22,7,28
04.11,87,22,7,0
04.12,105,22,9,18
04.13,123,26,10,18
04.14,123,26,10,0
04.15,148,34,13,25
04.16,148,34,13,0
04.17,171,34,13,23
04.18,216,41,13,45
04.19,216,41,13,0
04.20,224,42,14,8
04.21,258,57,14,34
04.22,293,73,17,35
04.23,293,73,17,0
04.24,309,77,21,16
04.25,325,87,21,16
04.26,370,91,21,45
04.27,389,112,23,19
04.28,408,113,23,19
04.29,424,122,24,16
04.30,482,129,25,58
05.01,490,135,26,8
05.02,508,196,26,18
05.03,544,206,26,36
05.04,580,223,29,36
05.05,612,228,32,32
05.06,631,261,32,19
05.07,631,261,32,0
05.08,650,271,32,19
05.09,692,298,37,42
05.10,692,298,37,0
05.11,704,351,38,12
05.12,712,377,39,8
05.13,730,398,40,18
05.14,758,412,44,28
05.15,779,436,46,21
05.16,806,455,46,27
05.17,860,494,52,54
05.18,874,512,52,14
05.19,874,512,52,0
05.20,901,529,53,27
05.21,931,543,55,30
05.22,947,558,60,16
05.23,969,560,62,22
05.24,1030,597,65,61
05.25,1059,604,67,29
05.26,1077,617,70,18
05.27,1077,617,70,0
05.28,1116,632,70,39
05.29,1194,652,72,78
05.30,1250,696,76,56
05.31,1265,716,77,15
06.01,1265,716,77,0
06.02,1351,769,78,86
06.03,1351,769,78,0
06.04,1386,788,79,35
06.05,1461,806,85,75
06.06,1485,816,87,24
06.07,1533,873,90,48
06.08,1547,916,92,14
06.09,1547,916,92,0
06.10,1586,931,94,39
06.11,1667,948,96,81
06.12,1752,1023,101,85
06.13,1776,1058,104,24
06.14,1776,1058,104,0
06.15,1860,1125,104,84
06.16,1860,1125,104,0
06.17,1890,1168,107,30
06.18,1906,1192,107,16
06.19,1923,1217,108,17
06.20,1923,1217,108,0
06.21,1933,1255,109,10
06.22,1961,1266,111,28
06.23,1978,1302,111,17
06.24,2001,1333,112,23
06.25,2005,1354,112,4
06.26,2039,1383,113,34
06.27,2060,1387,113,21
06.28,2118,1398,113,58
06.29,2147,1432,114,29
06.30,2173,1447,115,26
07.01,2181,1474,116,8
07.02,2202,1483,116,21
07.03,2260,1502,117,58
07.04,2285,1507,117,25
07.05,2303,1516,118,18
07.06,2330,1527,119,27
07.07,2331,1547,119,1
07.08,2348,1556,119,17
07.09,2358,1597,120,10
07.10,2370,1621,120,12
07.11,2404,1650,121,34
07.12,2406,1683,121,2
07.13,2412,1730,121,6
07.14,2423,1748,121,11
07.15,2423,1748,121,0
07.16,2433,1764,121,10
07.17,2467,1791,121,34
07.18,2472,1809,121,5
07.19,2472,1809,121,0
07.20,2475,1851,121,3
07.21,2475,1851,121,0
07.22,2477,1856,122,2
07.23,2494,1889,123,17
07.24,2503,1901,123,9
07.25,2503,1907,123,0
