,confirm,heal,dead,confirm_add
03.14,1,0,0,1
03.15,1,0,0,0
03.16,1,0,0,0
03.17,1,0,0,0
03.18,1,0,0,0
03.19,1,0,0,0
03.20,1,0,0,0
03.21,1,0,0,0
03.22,4,0,0,3
03.23,4,0,0,0
03.24,5,0,0,1
03.25,4,0,0,-1
03.26,4,0,0,0
03.27,6,0,0,2
03.28,9,0,0,3
03.29,9,0,0,4
03.30,9,0,0,0
03.31,9,0,0,0
04.01,9,0,0,0
04.02,9,0,0,0
04.03,9,0,0,0
04.04,9,0,0,0
04.05,9,0,0,0
04.06,9,0,0,0
04.07,10,4,0,1
04.08,10,4,0,0
04.09,12,7,0,2
04.10,12,7,0,0
04.11,12,7,0,0
04.12,14,7,0,2
04.13,14,7,0,0
04.14,15,8,0,1
04.15,15,8,0,0
04.16,16,8,0,1
04.17,16,8,1,0
04.18,19,8,1,3
04.19,22,8,1,3
04.20,24,8,1,2
04.21,24,8,1,0
04.22,31,8,1,7
04.23,31,8,1,0
04.24,36,10,1,5
04.25,40,10,1,4
04.26,59,10,1,19
04.27,59,10,1,0
04.28,71,10,1,12
04.29,71,10,1,0
04.30,100,12,1,29
05.01,100,12,1,0
05.02,108,12,1,8
05.03,108,12,1,0
05.04,112,12,1,4
05.05,116,12,1,4
05.06,119,12,1,3
05.07,123,12,2,4
05.08,153,12,2,30
05.09,159,12,2,6
05.10,163,14,2,4
05.11,172,27,2,9
05.12,175,28,2,3
05.13,184,28,2,9
05.14,187,48,2,3
05.15,187,51,2,0
05.16,190,66,2,3
05.17,202,72,2,12
05.18,203,73,2,1
05.19,205,78,2,2
05.20,208,87,2,3
05.21,217,97,2,9
05.22,220,112,2,3
05.23,225,119,2,5
05.24,238,119,2,13
05.25,250,156,2,12
05.26,256,158,2,6
05.27,261,164,2,5
05.28,272,168,2,11
05.29,279,168,2,7
05.30,279,168,2,0
05.31,283,168,2,4
06.01,285,189,2,2
06.02,293,194,3,8
06.03,294,198,3,1
06.04,295,201,3,1
06.05,300,201,3,5
06.06,305,221,3,5
06.07,333,225,3,28
06.08,333,225,3,0
06.09,340,229,3,7
06.10,371,232,3,31
06.11,398,236,3,27
06.12,449,238,3,51
06.13,472,246,3,23
06.14,486,247,3,14
06.15,490,249,4,4
06.16,506,249,4,16
06.17,520,259,4,14
06.18,563,262,4,43
06.19,586,267,4,23
06.20,623,276,4,37
06.21,627,285,5,4
06.22,635,285,5,8
06.23,643,291,6,8
06.24,674,319,7,31
06.25,690,331,7,16
06.26,706,347,8,16
06.27,728,367,8,22
06.28,745,370,8,17
06.29,781,372,11,36
06.30,795,380,11,14
07.01,812,408,11,17
07.02,840,418,11,28
07.03,873,452,11,33
07.04,909,515,13,36
07.05,954,535,13,45
07.06,988,547,13,34
07.07,1011,564,13,23
07.08,1056,570,14,45
07.09,1138,588,14,82
07.10,1213,609,17,75
07.11,1257,633,18,44
07.12,1311,656,18,54
07.13,1351,668,20,40
07.14,1389,688,20,38
07.15,1434,695,20,45
07.16,1489,724,20,55
07.17,1552,736,21,63
07.18,1619,769,21,67
07.19,1729,788,21,110
07.20,1793,822,21,64
07.21,1826,850,23,33
07.22,1894,855,24,68
07.23,1938,876,25,44
07.24,2021,882,28,83
07.25,2073,929,28,52
07.26,2142,940,28,69
07.27,2207,986,32,65
07.28,2316,1025,34,109
07.29,2404,1025,39,88
07.30,2551,1070,40,147
07.31,2577,1134,40,26
08.01,2648,1214,41,71
08.02,2706,1214,43,58
08.03,2775,1214,43,69
08.04,2838,1253,45,63
08.05,2856,1258,49,18
08.06,2909,1385,53,53
08.07,2968,1476,55,59
08.08,3036,1476,56,68
08.09,3128,1565,56,92
08.10,3236,1607,58,108
08.11,3309,1634,61,73
08.12,3410,1720,63,101
08.13,3525,1910,63,115
08.14,3599,1991,65,74
08.15,3670,1991,68,71
08.16,3745,2268,69,75
08.17,3839,2268,70,94
08.18,3894,2371,73,55
08.19,3989,2587,76,95
08.20,4058,2611,79,69
08.21,4110,2643,81,52
08.22,4128,2682,81,18
08.23,4189,2762,83,61
08.24,4225,2898,85,36
08.25,4304,2936,85,79
08.26,4327,2959,86,23
08.27,4387,3078,88,60
08.28,4433,3115,89,46
08.29,4461,3210,91,28
08.30,4510,3359,91,49
08.31,4561,3478,91,51
09.01,4577,3529,91,16
09.02,4618,3562,94,41
09.03,4668,3585,94,50
09.04,4720,3789,94,52
09.05,4780,3844,94,60
09.06,4819,3903,94,39
09.07,4853,3951,94,34
09.08,4884,4029,94,31
09.09,4904,4059,96,20
09.10,4936,4077,97,32
09.11,4994,4103,98,58
09.12,5025,4165,98,31
09.13,5050,4188,98,25
09.14,5075,4229,98,25
09.15,5104,4374,101,29
09.16,5128,4401,101,24
09.17,5155,4418,101,27
09.18,5191,4439,103,36
09.19,5215,4478,103,24
09.20,5245,4571,104,30
09.21,5269,4624,104,24
09.22,5282,4647,104,13
09.23,5307,4672,106,25
09.24,5343,4693,108,36
09.25,5375,4724,108,32
09.26,5399,4767,108,24
09.27,5419,4802,108,20
09.28,5431,4821,108,12
09.29,5452,4844,108,21
09.30,5462,4859,108,10
10.01,5482,4912,109,20
10.02,5500,5000,111,18
10.03,5521,5061,111,21
10.04,5530,5076,111,9
10.05,5569,5127,111,39
10.06,5579,5141,112,10
10.07,5598,5169,112,19
10.08,5617,5196,113,19
10.09,5632,5231,113,15
