,confirm,heal,dead,confirm_add
03.02,3,0,0,0
03.03,5,0,0,2
03.04,5,0,0,0
03.05,8,0,0,3
03.06,12,0,0,4
03.07,18,0,0,6
03.08,21,0,0,3
03.09,32,0,0,11
03.10,40,0,0,8
03.11,61,0,0,23
03.12,94,0,0,33
03.13,116,0,0,22
03.14,141,0,0,25
03.15,189,0,0,48
03.16,293,0,0,104
03.17,344,3,0,51
03.18,344,3,0,0
03.19,572,3,0,222
03.20,774,3,0,202
03.21,833,4,0,138
03.22,1047,6,0,214
03.23,1165,7,1,170
03.24,1236,7,1,116
03.25,1497,10,5,261
03.26,1654,10,10,157
03.27,2062,10,10,408
03.28,2422,11,10,360
03.29,2669,11,13,247
03.30,2817,11,16,148
03.31,3002,25,25,185
04.01,3330,45,32,328
04.02,3604,61,40,274
04.03,3869,71,46,265
04.04,4194,74,56,325
04.05,4475,78,62,281
04.06,4591,96,72,116
04.07,4828,127,80,237
04.08,5033,181,91,205
04.09,5335,243,104,302
04.10,5589,309,113,254
04.11,5735,370,123,146
04.12,5905,422,132,170
04.13,5991,467,139,86
04.14,6059,527,147,68
04.15,6151,676,163,92
04.16,6303,831,166,152
04.17,6437,979,170,134
04.18,6553,1183,176,116
04.19,6657,1235,181,104
04.20,6787,1311,188,130
04.21,6914,1597,196,127
04.22,7041,1800,204,127
04.23,7136,2002,210,95
04.24,7188,2186,213,52
04.25,7273,2389,215,85
04.26,7352,2471,219,79
04.27,7408,2600,221,56
04.28,7449,2842,223,41
04.29,7504,2960,227,55
04.30,7581,3120,227,77
05.01,7689,3314,237,108
05.02,7740,3378,241,51
05.03,7750,3446,245,10
05.04,7781,3592,249,31
05.05,7841,3816,252,60
05.06,7899,4017,258,58
05.07,7979,4214,263,80
05.08,8034,4372,270,55
05.09,8078,4414,273,44
05.10,8095,4448,276,17
05.11,8123,4482,280,28
05.12,8177,4738,283,54
05.13,8223,4899,284,46
05.14,8275,5058,290,52
05.15,8352,5249,293,77
05.16,8406,5381,295,54
05.17,8457,5422,297,51
05.18,8480,5468,298,23
05.19,8604,5687,301,124
05.20,8683,5731,303,79
05.21,8721,5830,304,38
05.22,8757,5932,306,36
05.23,8820,6026,312,63
05.24,8891,6047,315,71
05.25,8957,6083,315,66
05.26,9004,6182,317,47
05.27,9052,6279,317,48
05.28,9103,6377,317,51
05.29,9143,6464,319,40
05.30,9200,6502,319,57
05.31,9233,6546,319,33
06.01,9273,6562,320,40
06.02,9308,6642,321,35
06.03,9364,6686,323,56
06.04,9441,6752,324,77
06.05,9494,6809,326,53
06.06,9530,6881,327,36
06.07,9574,6885,327,44
06.08,9629,6896,328,55
06.09,9699,7009,328,70
06.10,9763,7057,330,64
06.11,9826,7124,328,63
06.12,9887,7170,329,61
06.13,9942,7215,329,55
06.14,9991,7219,328,49
06.15,10027,7245,330,36
06.16,10066,7300,330,39
06.17,10112,7360,332,46
06.18,10176,7401,333,64
06.19,10283,7446,334,107
06.20,10406,7473,335,123
06.21,10448,7477,336,42
06.22,10498,7505,336,50
06.23,10561,7543,337,63
06.24,10651,7559,340,90
06.25,10780,7592,344,129
06.26,10870,7649,345,90
06.27,11044,7669,349,174
06.28,11306,7682,347,262
06.29,11604,7710,348,298
06.30,11809,7751,349,205
07.01,11960,7776,349,151
07.02,12046,7797,349,86
07.03,12178,7822,353,132
07.04,12319,7848,353,141
07.05,12440,7852,351,121
07.06,12515,7864,348,75
07.07,12566,7873,350,51
07.08,12685,7910,351,119
07.09,12814,8010,351,129
07.10,12919,8128,352,105
07.11,13062,8209,352,143
07.12,13115,8227,352,53
07.13,13174,8247,352,59
07.14,13238,8373,353,64
07.15,13341,8441,355,103
07.16,13475,8507,355,134
07.17,13612,8640,355,137
07.18,13742,8725,358,130
07.19,13855,8733,358,113
07.20,13945,8761,359,90
07.21,14152,8836,359,207
07.22,14324,8918,360,172
07.23,14570,9144,364,246
07.24,14800,9328,365,230
07.25,15081,9422,369,281
07.26,15212,9590,369,131
07.27,15324,11428,371,112
07.28,15516,11428,373,192
07.29,15827,11428,374,311
07.30,16093,11429,378,266
07.31,16371,11482,379,278
08.01,16574,11569,382,203
08.02,16699,11587,383,125
08.03,16800,11605,384,101
08.04,17008,11708,386,208
08.05,17286,11812,383,278
08.06,17529,11909,388,243
08.07,17731,12320,390,202
08.08,18060,12749,389,329
08.09,18235,12764,389,175
08.10,18355,12785,390,120
08.11,18494,12983,390,139
08.12,18826,13222,391,332
08.13,19075,13407,391,249
08.14,19401,13574,391,326
08.15,19693,13731,394,292
08.16,19891,13763,395,198
08.17,20012,13799,397,121
08.18,20202,14622,399,190
08.19,20483,15146,401,281
08.20,20798,15615,404,315
08.21,21045,15886,406,247
08.22,21551,16040,411,506
08.23,21790,16087,411,239
08.24,21923,16125,412,133
08.25,22181,16376,415,258
08.26,22548,16662,416,367
08.27,22951,16954,418,403
08.28,23300,17190,418,349
08.29,23777,17497,419,477
08.30,24094,17541,421,317
08.31,24367,17547,423,273
09.01,24618,17807,424,251
09.02,25117,18116,425,499
09.03,25773,18326,425,656
09.04,26452,18663,426,679
09.05,27249,19027,429,797
09.06,27752,19039,431,503
09.07,28156,19053,436,404
09.08,28716,19855,437,560
09.09,29877,20164,441,1161
09.10,31036,20374,444,1159
09.11,32413,20787,448,1377
09.12,33860,21140,450,1447
09.13,35401,21209,453,1541
09.14,36188,21294,456,787
09.15,37222,22020,465,1034
09.16,38896,22613,476,1674
09.17,41032,22931,482,2136
09.18,44155,23377,489,3123
09.19,46262,23858,495,2107
09.20,48306,24228,499,2044
09.21,49290,24755,503,984
09.22,50764,25425,522,1474
09.23,53158,26151,531,2394
09.24,55464,26709,555,2306
09.25,58374,27382,567,2910
09.26,61318,30740,581,2944
09.27,63294,30936,591,1976
09.28,64597,31268,606,1303
09.29,65883,31799,618,1286
09.30,67843,32759,636,1960
10.01,70834,33557,658,2991
10.02,74255,34186,678,3421
10.03,78051,35032,699,3796
10.04,80605,39073,711,2554
10.05,82446,44149,727,1841
10.06,85566,46636,758,3120
10.07,90022,48788,794,4456
10.08,95360,50767,829,5338
10.09,100757,51160,869,5397
10.10,109374,53173,905,8617
10.11,114005,54909,948,4631
10.12,117110,56203,987,3105
10.13,121421,58200,1051,4311
10.14,129747,59901,1106,8326
10.15,139290,60901,1172,9543
10.16,149010,63350,1230,9720
10.17,160112,66093,1283,11102
10.18,168827,68945,1352,8715
10.19,173885,72134,1422,5058
10.20,181962,74908,1513,8077
10.21,193946,79108,1619,11984
10.22,208915,83136,1739,14969
10.23,223065,87225,1845,14150
10.24,238323,91651,1971,15258
10.25,250797,94902,2077,12474
10.26,258097,97381,2201,7300
10.27,268370,103220,2365,10273
10.28,284033,111443,2547,15663
10.29,297013,119373,2675,12980
10.30,310068,128628,2862,13055
10.31,323673,137575,3078,13605
11.01,335102,143359,3251,11429
11.02,341644,157418,3429,6542
11.03,350896,170608,3654,9252
11.04,362985,185180,3913,12089
11.05,378716,199763,4133,15731
11.06,391945,214272,4330,13229
11.07,403497,229604,4526,11552
11.08,411220,237757,4681,7723
11.09,414828,243129,4858,3608
11.10,417181,244005,5028,2353
11.11,429880,277473,5323,12699
11.12,438805,285241,5570,8925
11.13,446675,300719,5755,7870
11.14,454030,316352,5926,7355
11.15,458229,322383,6058,4199
11.16,460116,327306,6208,1887
11.17,465523,341249,6416,5407
11.18,469769,353794,6558,4246
11.19,475284,367574,6740,5515
11.20,481755,379380,6874,6471
11.21,487563,389873,7021,5808
11.22,490750,394830,7095,3187
11.23,492263,398101,7196,1513
11.24,496638,405982,7360,4375
11.25,502534,416832,7499,5896
11.26,507549,417657,7633,5015
11.27,511520,431874,7779,3971
11.28,516904,437385,8003,5384
11.29,518649,442327,8054,1745
11.30,519723,444406,8138,1074
12.01,523298,451607,8295,3575
12.02,528474,455177,8407,5176
12.03,533042,461599,8515,4568
12.04,537663,468302,8641,4621
12.05,542406,473994,8738,4743
12.06,545724,476685,8838,3318
12.07,546833,478094,8902,1109
12.08,551070,484781,9036,4237
12.09,556927,489759,9136,5857
12.10,563333,493946,9226,6406
12.11,569205,497828,9341,5872
12.12,575422,503017,9450,6217
12.13,579079,504666,9535,3657
12.14,581079,505922,9609,2000
12.15,586251,511798,9743,5172
12.16,594148,518423,9882,7897
12.17,602404,522649,10036,8256
12.18,610006,527062,10163,7602
12.19,618836,531622,10271,8830
12.20,624140,533307,10331,5304
12.21,627523,534686,10411,3383
12.22,635414,541012,10562,7891
12.23,646312,546926,10664,10898
