,confirm,heal,dead,confirm_add
02.27,1,0,0,1
02.28,1,0,0,0
02.29,3,0,0,2
03.01,3,0,0,0
03.02,4,0,0,1
03.03,6,0,0,0
03.04,11,0,0,5
03.05,15,0,0,4
03.06,20,0,0,5
03.07,27,0,0,7
03.08,27,0,0,0
03.09,35,0,0,8
03.10,156,1,0,121
03.11,340,1,0,250
03.12,615,1,0,353
03.13,785,1,0,170
03.14,827,1,0,16
03.15,827,1,0,0
03.16,898,1,3,71
03.17,960,1,4,62
03.18,1044,1,4,84
03.19,1117,1,4,73
03.20,1226,1,9,109
03.21,1255,1,9,29
03.22,1326,1,13,71
03.23,1450,1,24,124
03.24,1577,1,24,127
03.25,1591,1,32,131
03.26,1724,1,34,133
03.27,1877,1,41,153
03.28,2366,1,65,489
03.29,2366,1,65,489
03.30,2724,73,72,358
03.31,2994,77,90,270
04.01,3275,78,104,281
04.02,3542,1172,123,267
04.03,3861,1287,139,319
04.04,4268,1379,161,407
04.05,4561,1429,179,293
04.06,4841,1488,187,280
04.07,5173,1615,203,332
04.08,5581,1762,218,408
04.09,5830,1883,237,249
04.10,6014,1929,247,184
04.11,6191,2111,260,177
04.12,6369,2291,273,178
04.13,6513,2403,285,144
04.14,6691,2689,299,178
04.15,6876,2925,309,185
04.16,7074,3203,321,198
04.17,7268,3571,336,194
04.18,7437,4031,346,169
04.19,7580,4328,355,143
04.20,7711,4499,364,131
04.21,7891,4889,370,180
04.22,8108,5276,384,217
04.23,8271,5573,394,163
04.24,8408,5715,403,137
04.25,8643,5858,418,235
04.26,8773,5994,422,130
04.27,8896,6148,427,123
04.28,9049,6313,434,153
04.29,9206,6558,443,157
04.30,9356,6741,452,150
05.01,9509,6741,452,153
05.02,9605,7084,475,96
05.03,9605,7084,475,0
05.04,9868,7284,493,263
05.05,10019,7492,503,151
05.06,10136,7689,506,117
05.07,10281,7689,506,145
05.08,10416,8124,522,135
05.09,10517,8291,526,101
05.10,10627,8415,529,110
05.11,10711,8526,533,84
05.12,10789,8526,533,78
05.13,10865,8861,533,76
05.14,10911,9003,537,46
05.15,10989,9157,537,78
05.16,11056,9305,543,67
05.17,11125,9425,547,69
05.18,11166,9499,548,41
05.19,11242,9614,551,76
05.20,11315,9734,554,73
05.21,11380,9841,561,65
05.22,11428,9962,561,48
05.23,11487,10034,561,59
05.24,11558,10098,562,71
05.25,11586,10162,563,28
05.26,11627,10242,563,41
05.27,11679,10304,565,52
05.28,11712,10378,568,33
05.29,11793,10438,568,81
05.30,11833,10525,571,40
05.31,11869,10560,574,36
06.01,11899,10610,576,30
06.02,11934,10687,580,35
06.03,11934,10687,580,0
06.04,12011,10818,582,77
06.05,12075,10853,586,64
06.06,12124,10921,587,49
06.07,12148,10955,589,24
06.08,12162,10992,593,14
06.09,12162,10992,593,0
06.10,12201,11049,593,39
06.11,12235,11155,593,34
06.12,12299,11193,594,64
06.13,12339,11235,597,40
06.14,12393,11268,597,54
06.15,12417,11290,598,24
06.16,12450,11325,598,33
06.17,12494,11385,598,44
06.18,12544,11442,600,50
06.19,12591,11482,600,47
06.20,12591,11482,600,0
06.21,12591,11482,600,0
06.22,12727,11547,602,136
06.23,12761,11593,603,34
06.24,12815,11622,603,54
06.25,12836,11660,603,21
