,confirm,heal,dead,confirm_add
04.30,1,0,0,0
05.01,1,0,0,0
05.02,1,0,0,0
05.03,3,0,0,2
05.04,3,0,0,0
05.05,3,0,0,0
05.06,4,0,1,1
05.07,8,0,1,4
05.08,8,0,1,0
05.09,8,0,1,0
05.10,11,0,1,3
05.11,11,0,1,0
05.12,11,0,1,0
05.13,11,0,1,0
05.14,11,0,1,0
05.15,11,3,1,0
05.16,11,3,1,0
05.17,11,3,1,0
05.18,11,3,1,0
05.19,11,3,1,0
05.20,34,8,1,23
05.21,34,8,1,0
05.22,34,8,1,0
05.23,78,18,1,44
05.24,78,18,1,0
05.25,87,21,1,9
05.26,87,21,1,0
05.27,87,21,1,0
05.28,87,24,2,0
05.29,87,24,2,0
05.30,87,24,2,0
05.31,106,26,2,19
06.01,106,26,2,0
06.02,106,26,2,0
06.03,132,27,2,26
06.04,132,27,2,0
06.05,132,55,2,0
06.06,132,55,2,0
06.07,141,67,2,9
06.08,141,67,2,0
06.09,141,67,2,0
06.10,141,67,2,0
06.11,162,97,2,21
06.12,162,97,2,0
06.13,163,97,2,1
06.14,176,114,2,13
06.15,176,114,2,0
06.16,176,114,2,0
06.17,197,127,3,21
06.18,197,127,3,0
06.19,210,129,5,13
06.20,210,129,5,0
06.21,247,159,5,37
06.22,247,159,5,0
06.23,247,159,5,0
06.24,265,159,7,18
06.25,272,161,7,7
06.26,272,161,7,0
06.27,272,161,7,0
06.28,272,161,7,0
06.29,272,161,7,0
06.30,272,161,7,0
07.01,303,200,7,31
07.02,303,200,7,0
07.03,303,200,7,0
07.04,309,241,7,6
07.05,309,241,7,0
07.06,311,266,7,2
07.07,311,266,7,0
07.08,311,266,7,0
07.09,313,272,7,2
07.10,314,272,7,1
07.11,314,272,7,0
07.12,317,296,7,3
07.13,317,296,7,0
07.14,317,296,7,0
07.15,321,302,7,4
07.16,321,302,7,0
07.17,328,311,7,7
07.18,328,311,7,0
07.19,328,311,7,0
07.20,334,313,7,6
07.21,334,313,7,0
07.22,337,319,7,3
07.23,337,319,7,0
07.24,340,324,7,3
07.25,340,324,7,0
07.26,354,328,7,14
07.27,354,328,7,0
07.28,354,328,7,0
07.29,354,328,7,0
07.30,378,330,7,24
07.31,378,330,7,0
08.01,378,330,7,0
08.02,386,330,7,8
