,confirm,heal,dead,confirm_add
03.05,1,0,0,1
03.06,7,0,0,6
03.07,8,0,0,1
03.08,16,0,0,4
03.09,16,0,0,0
03.10,31,0,0,15
03.11,47,0,0,16
03.12,89,0,0,42
03.13,141,0,0,52
03.14,181,0,0,40
03.15,181,0,1,40
03.16,219,0,1,38
03.17,253,0,1,34
03.18,253,0,1,0
03.19,253,0,1,0
03.20,286,0,1,33
03.21,341,0,1,55
03.22,383,0,1,42
03.23,414,0,2,73
03.24,442,0,3,28
03.25,476,0,3,34
03.26,526,0,5,50
03.27,562,0,5,39
03.28,632,0,9,70
03.29,684,10,9,52
03.30,756,10,11,72
03.31,802,10,15,46
04.01,841,10,15,39
04.02,897,70,17,56
04.03,934,70,20,37
04.04,977,79,22,43
04.05,997,79,28,20
04.06,1021,102,30,24
04.07,1059,102,36,38
04.08,1091,120,40,32
04.09,1124,128,43,33
04.10,1160,137,45,36
04.11,1188,148,50,28
04.12,1205,150,53,17
04.13,1212,152,55,7
04.14,1220,152,56,8
04.15,1248,165,61,28
04.16,1268,174,61,20
04.17,1304,174,66,36
04.18,1317,190,70,13
04.19,1330,192,74,13
04.20,1335,193,77,5
04.21,1344,197,77,9
04.22,1353,205,79,9
04.23,1366,211,79,13
04.24,1373,211,80,7
04.25,1388,219,81,15
04.26,1396,221,82,8
04.27,1402,221,83,6
04.28,1408,223,86,6
04.29,1418,230,89,10
04.30,1429,233,91,11
05.01,1429,233,91,0
05.02,1439,239,94,10
05.03,1439,239,94,0
05.04,1439,241,97,0
05.05,1445,244,98,6
05.06,1448,246,99,3
05.07,1449,247,99,1
05.08,1450,252,100,1
05.09,1454,255,101,4
05.10,1457,256,102,3
05.11,1460,256,102,3
05.12,1461,259,102,1
05.13,1463,260,103,2
05.14,1464,267,103,1
05.15,1465,270,103,1
05.16,1465,272,103,0
05.17,1466,273,104,1
05.18,1466,274,104,0
05.19,1467,1335,104,1
05.20,1468,1340,105,1
05.21,1468,1340,106,0
05.22,1468,1340,106,0
05.23,1468,1340,106,0
05.24,1468,1340,107,0
05.25,1469,1346,107,1
05.26,1469,1346,108,0
05.27,1471,1354,108,2
05.28,1473,1356,108,2
05.29,1473,1357,108,0
05.30,1473,1357,108,0
05.31,1473,1358,108,0
06.01,1473,1358,109,0
06.02,1475,1358,109,2
06.03,1475,1358,109,0
06.04,1477,1359,109,2
06.05,1479,1359,109,2
06.06,1484,1359,109,5
06.07,1485,1359,109,1
06.08,1485,1359,109,0
06.09,1486,1359,109,1
06.10,1486,1359,109,0
06.11,1488,1359,109,2
06.12,1490,1359,109,2
06.13,1492,1359,109,2
06.14,1495,1359,109,3
06.15,1496,1359,109,1
06.16,1499,1359,109,3
06.17,1503,1359,109,4
06.18,1511,1359,109,8
06.19,1513,1359,109,2
06.20,1519,1359,109,6
06.21,1520,1376,109,1
06.22,1521,1376,109,1
06.23,1534,1376,109,13
06.24,1541,1376,109,7
06.25,1547,1376,109,6
06.26,1558,1376,109,11
06.27,1572,1376,109,14
06.28,1581,1384,111,9
06.29,1585,1384,111,4
06.30,1600,1384,111,15
07.01,1613,1384,111,13
07.02,1634,1384,111,21
07.03,1650,1384,111,16
07.04,1679,1384,111,29
07.05,1700,1384,111,21
07.06,1716,1384,111,16
07.07,1739,1423,111,23
07.08,1763,1429,111,24
07.09,1776,1429,111,13
07.10,1793,1429,111,17
07.11,1827,1429,111,34
07.12,1841,1469,111,14
07.13,1849,1473,111,8
07.14,1859,1488,111,10
07.15,1878,1501,111,19
07.16,1897,1522,111,19
07.17,1916,1522,111,19
07.18,1940,1568,111,24
07.19,1946,1568,112,6
07.20,1953,1603,113,7
07.21,1977,1625,114,24
07.22,2006,1648,115,29
07.23,2033,1661,115,27
07.24,2052,1678,115,19
07.25,2066,1678,116,14
07.26,2082,1678,116,16
07.27,2087,1733,116,5
07.28,2101,1742,117,14
07.29,2115,1761,117,14
07.30,2139,1780,117,24
07.31,2156,1797,119,17
08.01,2171,1821,119,15
08.02,2180,1826,120,9
08.03,2181,1831,122,1
08.04,2190,1854,123,9
08.05,2208,1884,124,18
08.06,2223,1909,125,15
08.07,2233,1927,125,10
08.08,2247,1927,126,14
08.09,2249,1927,127,2
08.10,2255,1960,128,6
08.11,2272,1960,129,17
08.12,2272,1960,129,0
08.13,2332,1960,129,60
08.14,2369,2027,129,37
08.15,2401,2042,129,32
08.16,2416,2051,129,15
08.17,2429,2052,129,13
08.18,2456,2052,129,27
08.19,2493,2079,129,37
08.20,2536,2079,129,43
08.21,2574,2079,130,38
08.22,2617,2079,131,43
08.23,2651,2079,131,34
08.24,2665,2122,133,14
08.25,2686,2139,133,21
08.26,2722,2170,133,36
08.27,2755,2199,133,33
08.28,2797,2236,133,42
08.29,2834,2268,133,37
08.30,2865,2283,133,31
08.31,2883,2296,133,18
09.01,2924,2323,133,41
09.02,2979,2359,134,55
09.03,3032,2402,134,53
09.04,3079,2440,134,47
09.05,3122,2483,135,43
09.06,3165,2483,135,43
09.07,3190,2530,135,25
09.08,3190,2530,135,0
09.09,3312,2587,135,122
09.10,3389,2620,135,77
09.11,3497,2662,135,108
09.12,3603,2699,135,106
09.13,3702,2730,135,99
09.14,3749,2730,135,47
09.15,3831,2789,135,82
09.16,3954,2844,135,123
09.17,4058,2897,136,104
09.18,4195,2939,140,137
09.19,4309,2981,141,114
09.20,4420,3023,142,111
09.21,4470,3048,142,50
09.22,4558,3048,142,88
09.23,4694,3168,143,136
09.24,4816,3245,145,122
09.25,5007,3353,145,191
09.26,5191,3457,146,184
09.27,5350,3555,147,159
09.28,5388,3600,149,38
09.29,5487,3682,149,99
09.30,5690,3804,150,203
10.01,5865,3906,152,175
10.02,6103,4041,154,238
10.03,6330,4041,155,227
10.04,6498,4265,155,168
10.05,6673,4265,156,175
10.06,6764,4399,159,91
10.07,7120,4535,159,356
10.08,7507,4655,160,387
10.09,7872,4842,165,365
10.10,8252,5024,167,380
10.11,8663,5182,167,411
10.12,8832,5219,169,169
10.13,9231,5314,173,399
10.14,9938,5515,175,707
10.15,10683,5689,176,745
10.16,11517,5924,180,834
10.17,12416,6148,184,899
10.18,13142,6313,188,726
10.19,13679,6385,190,537
10.20,14473,6572,192,794
10.21,15982,6922,200,1509
10.22,17646,7299,211,1664
10.23,19307,7659,214,1661
10.24,21274,8018,235,1967
10.25,22950,8424,240,1676
10.26,24080,8582,251,1130
10.27,25603,8968,264,1523
10.28,28208,9667,272,2605
10.29,30705,10401,292,2497
10.30,32503,11208,315,1798
10.31,34306,12091,330,1803
11.01,35649,12785,363,1343
11.02,36206,13297,388,557
11.03,37382,14074,412,1176
11.04,39408,15550,441,2026
11.05,41093,17190,471,1685
11.06,42658,18825,497,1565
11.07,44270,20767,531,1612
11.08,45160,22443,550,890
11.09,45625,23533,578,465
11.10,45625,23533,578,0
11.11,46717,25007,605,1092
11.12,50864,30027,686,4147
11.13,52378,31792,724,1514
11.14,54116,33548,765,1738
11.15,55042,34864,797,926
11.16,55543,35387,831,501
11.17,56932,36519,876,1389
11.18,58950,38507,919,2018
11.19,61034,40153,964,2084
11.20,62580,41691,995,1546
11.21,64284,43272,1026,1704
11.22,65308,44137,1052,1024
11.23,65778,44558,1097,470
11.24,67080,45587,1156,1302
11.25,69306,47770,1199,2226
11.26,71073,49654,1245,1767
11.27,72682,51121,1293,1609
11.28,74257,52814,1336,1575
11.29,75370,53687,1384,1113
11.30,75806,54138,1435,436
12.01,77106,55476,1490,1300
12.02,79563,57447,1547,2457
12.03,81338,59469,1592,1775
12.04,81349,59469,1592,11
12.05,84775,62600,1700,3426
12.06,85805,63580,1744,1030
12.07,86285,63999,1796,480
12.08,87915,65240,1862,1630
12.09,90075,67437,1900,2160
12.10,91922,69170,1949,1847
12.11,93734,70733,1998,1812
12.12,95481,72290,2041,1747
12.13,96314,73377,2063,833
12.14,96745,73760,2107,431
12.15,98281,75017,2149,1536
12.16,100389,77453,2190,2108
12.17,102043,79193,2233,1654
12.18,103555,80935,2274,1512
12.19,104982,82541,2314,1427
12.20,105899,83536,2353,917
12.21,106294,83977,2379,395
12.22,107770,87960,2417,1476
12.23,109934,90100,2454,2164
12.24,112004,91952,2479,2070
12.25,113815,91952,2507,1811
12.26,114184,92986,2532,369
12.27,114798,93787,2565,614
12.28,115323,94191,2595,525
12.29,117284,95688,2631,1961
12.30,119715,97766,2665,2431
12.31,122152,99382,2697,2437
01.01,123950,100868,2728,1798
01.02,124343,102252,2774,393
01.03,125086,103107,2803,743
01.04,125830,103467,2838,744
01.05,128359,104988,2868,2529
01.06,131724,107103,2899,3365
01.07,134545,109148,2922,2821
01.08,136590,110925,2947,2045
01.09,138472,111269,2973,1882
01.10,139270,111864,2998,798
01.11,139707,112371,3022,437
01.12,141573,114330,3053,1866
01.13,143679,116745,3070,2106
01.14,145472,119149,3093,1793
01.15,146956,120894,3121,1484
01.16,148539,121288,3140,1583
01.17,149125,122008,3180,586
01.18,149424,122745,3206,299
01.19,151137,125315,3231,1713
01.20,152835,128709,3257,1698
01.21,154306,131377,3284,1471
01.22,155745,133428,3309,1439
01.23,157258,135262,3329,1513
01.24,157830,135993,3360,572
01.25,158131,136402,3379,301
01.26,159812,138272,3406,1681
01.27,161662,140353,3425,1850
01.28,163200,142134,3448,1538
01.29,164529,143610,3468,1329
01.30,165873,145156,3490,1344
01.31,166473,145722,3503,600
02.01,166826,146003,3522,353
02.02,168455,147687,3541,1629
02.03,170046,149385,3564,1591
02.04,171368,150860,3580,1322
02.05,172299,152290,3595,931
02.06,173201,153791,3612,902
02.07,173702,154321,3623,501
02.08,174000,154607,3635,298
02.09,174357,156266,3654,357
02.10,175795,158128,3667,1438
02.11,177180,159657,3677,1385
02.12,178133,160953,3692,953
02.13,179148,162248,3705,1015
02.14,179477,162824,3717,329
02.15,179726,163162,3728,249
02.16,180520,164676,3733,794
02.17,181606,166220,3745,1086
