,confirm,heal,dead,confirm_add
03.06,3,0,0,2
03.07,3,0,0,0
03.08,3,0,0,0
03.09,5,0,0,2
03.10,7,0,0,2
03.11,10,0,0,3
03.12,10,0,0,0
03.13,21,0,0,11
03.14,32,0,0,11
03.15,44,0,0,12
03.16,61,0,0,17
03.17,72,0,0,11
03.18,97,0,0,25
03.19,105,0,1,8
03.20,123,0,1,18
03.21,137,0,1,14
03.22,178,0,1,41
03.23,185,0,1,7
03.24,186,0,1,1
03.25,204,7,1,18
03.26,216,7,1,12
03.27,269,7,1,53
03.28,292,2,0,23
03.29,314,7,1,22
03.30,336,2,0,22
03.31,363,3,0,27
04.01,400,3,1,37
04.02,426,5,1,26
04.03,450,10,1,24
04.04,471,10,1,21
04.05,485,10,1,14
04.06,534,8,1,49
04.07,581,13,2,47
04.08,682,13,2,101
04.09,701,23,2,19
04.10,715,23,2,14
04.11,728,23,2,13
04.12,742,23,2,14
04.13,769,107,2,27
04.14,835,113,2,66
04.15,863,151,6,28
04.16,977,167,8,114
04.17,1049,167,8,72
04.18,1089,213,11,40
04.19,1161,229,12,72
04.20,1173,251,13,12
04.21,1199,258,14,26
04.22,1244,284,14,45
04.23,1325,288,15,81
04.24,1360,355,17,35
04.25,1373,386,17,13
04.26,1379,394,18,6
04.27,1381,403,18,2
04.28,1384,423,20,3
04.29,1391,484,22,7
04.30,1396,524,23,5
05.01,1403,558,23,7
05.02,1407,608,24,4
05.03,1407,608,24,0
05.04,1413,643,25,6
05.05,1421,741,25,8
05.06,1429,762,25,8
05.07,1445,806,26,16
05.08,1455,905,26,10
05.09,1455,919,26,0
05.10,1457,941,26,2
05.11,1457,959,26,0
05.12,1465,983,27,8
05.13,1469,1060,27,4
05.14,1477,1112,27,8
05.15,1480,1131,27,3
05.16,1493,1151,28,13
05.17,1494,1163,28,1
05.18,1495,1185,28,1
05.19,1495,1192,28,0
05.20,1496,1231,28,1
05.21,1502,1245,28,6
05.22,1503,1256,28,1
05.23,1504,1280,28,1
05.24,1509,1301,28,5
05.25,1511,1307,28,2
05.26,1513,1322,28,2
05.27,1515,1327,28,2
05.28,1520,1332,28,5
05.29,1520,1338,28,0
05.30,1521,1356,28,1
05.31,1521,1366,28,0
06.01,1522,1368,28,1
06.02,1522,1372,28,0
06.03,1522,1372,28,0
06.04,1526,1376,28,4
06.05,1526,1379,28,0
06.06,1528,1379,28,2
06.07,1528,1389,28,0
06.08,1530,1396,28,2
06.09,1531,1402,28,1
06.10,1533,1404,28,2
06.11,1541,1409,28,8
06.12,1542,1409,28,1
06.13,1545,1410,28,3
06.14,1548,1410,28,3
06.15,1552,1410,28,4
06.16,1552,1426,28,0
06.17,1561,1437,28,9
06.18,1562,1443,28,1
06.19,1576,1447,28,14
06.20,1586,1447,28,10
06.21,1587,1447,28,1
06.22,1588,1447,28,1
06.23,1589,1448,28,1
06.24,1607,1448,28,18
06.25,1630,1452,28,23
06.26,1643,1455,28,13
06.27,1657,1455,28,14
06.28,1664,1461,28,7
06.29,1665,1464,28,1
06.30,1667,1464,28,2
07.01,1687,1466,28,20
07.02,1700,1466,28,13
07.03,1720,1466,28,20
07.04,1749,1466,28,29
07.05,1764,1466,28,15
07.06,1765,1466,28,1
07.07,1767,1473,28,2
07.08,1798,1473,28,31
07.09,1851,1477,28,53
07.10,1870,1481,28,19
07.11,1893,1493,28,23
07.12,1901,1493,28,8
07.13,1902,1493,28,1
07.14,1908,1493,28,6
07.15,1927,1507,28,19
07.16,1951,1514,28,24
07.17,1965,1523,28,14
07.18,1976,1523,28,11
07.19,1979,1530,28,3
07.20,1980,1538,28,1
07.21,2021,1538,28,41
07.22,2058,1556,28,37
07.23,2089,1556,28,31
07.24,2118,1577,28,29
07.25,2141,1577,28,23
07.26,2179,1577,28,38
07.27,2181,1616,28,2
07.28,2204,1644,28,23
07.29,2245,1660,28,41
07.30,2265,1675,28,20
07.31,2292,1695,29,27
08.01,2337,1742,29,45
08.02,2344,1742,29,7
08.03,2354,1746,29,10
08.04,2368,1771,29,14
08.05,2417,1777,29,49
08.06,2480,1824,29,63
08.07,2523,1846,31,43
08.08,2566,1861,31,43
08.09,2596,1864,31,30
08.10,2599,1866,31,3
08.11,2615,1874,31,16
08.12,2690,1884,31,75
08.13,2739,1939,31,49
08.14,2801,1944,31,62
08.15,2855,1969,31,54
08.16,2902,1969,31,47
08.17,2907,1969,31,5
08.18,2922,1980,31,15
08.19,3022,1997,33,100
08.20,3102,2014,33,80
08.21,3225,2045,33,123
08.22,3316,2147,33,91
08.23,3356,2148,33,40
08.24,3424,2153,33,68
08.25,3452,2167,33,28
08.26,3536,2192,33,84
08.27,3626,2206,33,90
08.28,3728,2225,33,102
08.29,3842,2254,33,114
08.30,3876,2278,33,34
08.31,3917,2377,33,41
09.01,3989,2478,33,72
09.02,4042,2523,33,53
09.03,4163,2617,37,121
09.04,4300,2693,37,137
09.05,4526,2797,37,226
09.06,4614,2802,37,88
09.07,4636,2836,37,22
09.08,4727,2913,37,91
09.09,4888,2947,37,161
09.10,5066,3001,37,178
09.11,5252,3081,37,186
09.12,5453,3114,38,201
09.13,5532,3124,38,79
09.14,5580,3129,38,48
09.15,5768,3214,38,188
09.16,5860,3220,38,92
09.17,6021,3288,39,161
09.18,6256,3390,39,235
09.19,6546,3519,39,290
09.20,6677,3548,39,131
09.21,6756,3571,39,79
09.22,6931,3668,40,175
09.23,7269,3888,41,338
09.24,7629,3978,41,360
09.25,8048,4036,41,419
09.26,8600,4098,44,552
09.27,9078,4178,44,478
09.28,9343,4213,44,265
09.29,9574,4329,45,231
09.30,10141,4395,48,567
10.01,10938,4620,48,797
10.02,11617,4756,54,679
10.03,12321,4793,54,704
10.04,13139,4828,55,818
10.05,13492,4865,55,353
10.06,13812,5027,55,320
10.07,14689,5200,55,877
10.08,15726,5353,57,1037
10.09,16910,5452,57,1184
10.10,18797,5553,61,1887
10.11,19851,5631,61,1054
10.12,20355,6031,61,504
10.13,20886,6388,61,531
10.14,22296,6709,66,1410
10.15,24225,6926,71,1929
10.16,26300,7182,71,2075
10.17,28268,7297,82,1968
10.18,29835,7359,88,1567
10.19,30695,7536,92,860
10.20,31400,8004,98,705
10.21,33602,8404,98,2202
10.22,35330,8763,115,1728
10.23,37911,8859,134,2581
10.24,40801,9920,159,2890
10.25,43843,9960,159,3042
10.26,45155,10130,165,1312
10.27,46056,11008,176,901
10.28,48943,11799,184,2887
10.29,51728,12227,200,2785
10.30,55091,12508,212,3363
10.31,57664,12617,219,2573
11.01,59946,12798,219,2282
11.02,61829,13012,219,1883
11.03,63556,14257,235,1727
11.04,66772,15474,261,3216
11.05,68734,16426,286,1962
11.06,71088,16990,317,2354
11.07,73667,18354,351,2579
11.08,75495,19481,351,1828
11.09,76072,19757,366,577
11.10,76072,19757,366,0
11.11,77123,21718,390,1051
11.12,81772,24314,464,4649
11.13,83796,26439,491,2024
11.14,85567,29024,510,1771
11.15,86767,30519,510,1200
11.16,87276,31053,526,509
11.17,88602,33906,557,1326
11.18,89913,35924,579,1311
11.19,91578,38695,579,1665
11.20,93396,40816,614,1818
11.21,95257,43188,644,1861
11.22,96241,45883,671,984
11.23,96472,47933,693,231
11.24,97493,50738,709,1021
11.25,99304,53547,732,1811
11.26,101257,56378,749,1953
11.27,103106,59285,771,1849
11.28,104632,62094,798,1526
11.29,105733,64197,816,1101
11.30,105929,66041,839,196
12.01,107183,68859,868,1254
12.02,109226,71738,898,2043
12.03,111208,74273,930,1982
12.04,113392,77142,957,2184
12.05,115462,79956,981,2070
12.06,116731,82666,996,1269
12.07,117283,84850,1018,552
12.08,119232,87433,1046,1949
12.09,121796,89769,1084,2564
12.10,124921,91455,1104,3125
12.11,127087,93533,1122,2166
12.12,127087,93533,1122,0
12.13,132984,97068,1175,5897
12.14,133489,98585,1205,505
12.15,135523,100303,1251,2034
12.16,139088,101584,1309,3565
12.17,142133,102737,1378,3045
12.18,146124,104560,1440,3991
12.19,149275,106361,1510,3151
12.20,151336,107828,1555,2061
12.21,152555,109807,1618,1219
12.22,155218,110565,1618,2663
12.23,158905,112627,1686,3687
12.24,161562,114267,1732,2657
12.25,165608,115663,1732,4046
12.26,166649,116948,1732,1041
12.27,167523,119086,1773,874
12.28,168092,120410,1879,569
12.29,170187,121760,1983,2095
12.30,173228,124427,2065,3041
12.31,179543,125971,2138,6315
01.01,184508,127190,2250,4965
01.02,186244,128285,2250,1736
01.03,187463,129994,2317,1219
01.04,188099,130897,2521,636
01.05,191088,132852,2603,2989
01.06,196047,135760,2657,4959
01.07,198184,138383,2717,2137
01.08,201164,141490,2788,2980
01.09,205236,144612,2836,4072
01.10,208209,147275,2918,2973
01.11,209069,150239,3007,860
01.12,211479,153755,3102,2410
01.13,215055,157028,3163,3576
01.14,217978,160401,3260,2923
01.15,220707,163323,3362,2729
01.16,222752,166555,3417,2045
01.17,223325,168915,3474,573
01.18,224385,171092,3526,1060
01.19,226294,173761,3637,1909
01.20,228778,176864,3737,2484
01.21,231242,181129,3801,2464
01.22,233027,183942,3894,1785
01.23,234571,186683,3965,1544
01.24,236476,189959,4068,1905
01.25,237027,193380,4068,551
01.26,238617,197191,4260,1590
01.27,241392,202148,4361,2775
01.28,243427,205247,4411,2035
01.29,246008,208406,4495,2581
01.30,248190,212271,4565,2182
01.31,249913,216052,4642,1723
02.01,250357,218923,4711,444
02.02,252094,222642,4784,1737
02.03,254826,226471,4889,2732
