,confirm,heal,dead,confirm_add
02.27,1,0,0,1
02.28,4,0,0,3
02.29,7,0,0,3
03.01,17,0,0,10
03.02,19,0,0,2
03.03,32,0,0,13
03.04,34,0,0,2
03.05,56,0,0,22
03.06,86,0,0,30
03.07,113,0,0,27
03.08,157,0,0,10
03.09,176,0,0,19
03.10,227,1,0,51
03.11,400,1,0,173
03.12,703,1,0,303
03.13,800,1,1,97
03.14,996,1,1,196
03.15,996,1,3,0
03.16,1256,1,3,260
03.17,1331,1,3,75
03.18,1471,1,3,140
03.19,1589,1,6,137
03.20,1790,1,7,201
03.21,1950,1,7,160
03.22,2164,1,7,214
03.23,2262,1,7,98
03.24,2573,1,10,311
03.25,2796,1,12,223
03.26,3041,1,14,245
03.27,3315,1,14,274
03.28,3771,7,19,456
03.29,4032,7,23,261
03.30,4284,7,26,269
03.31,4599,13,36,315
04.01,4828,13,43,229
04.02,5119,32,47,291
04.03,5296,32,56,177
04.04,5519,32,61,223
04.05,5686,32,66,167
04.06,5760,32,73,74
04.07,5866,32,88,106
04.08,6086,32,93,220
04.09,6160,32,104,74
04.10,6244,32,108,84
04.11,6360,32,114,116
04.12,6485,32,124,125
04.13,6547,32,133,62
04.14,6623,32,139,76
04.15,6740,32,145,117
04.16,6798,32,150,58
04.17,6937,32,161,139
04.18,7036,32,163,99
04.19,7078,32,165,42
04.20,7103,32,169,25
04.21,7191,32,182,88
04.22,7275,32,185,84
04.23,7361,32,191,86
04.24,7401,32,195,40
04.25,7493,32,201,92
04.26,7499,32,201,6
04.27,7527,32,202,28
04.28,7599,32,206,72
04.29,7680,32,207,81
04.30,7738,32,207,58
05.01,7759,32,210,21
05.02,7783,32,210,24
05.03,7801,32,211,18
05.04,7884,32,214,83
05.05,7904,32,215,20
05.06,7955,32,215,51
05.07,7996,32,216,41
05.08,8055,32,218,59
05.09,8070,32,218,15
05.10,8099,32,219,29
05.11,8122,32,219,23
05.12,8132,32,224,10
05.13,8168,32,229,36
05.14,8187,32,232,19
05.15,8206,32,232,19
05.16,8219,32,232,13
05.17,8244,32,232,25
05.18,8257,32,233,13
05.19,8264,32,233,7
05.20,8267,32,234,3
05.21,8301,32,235,34
05.22,8309,32,235,8
05.23,8340,7727,235,31
05.24,8349,7727,235,9
05.25,8360,7727,235,11
05.26,8374,7727,235,14
05.27,8391,7727,235,17
05.28,8406,7727,236,15
05.29,8422,7727,236,16
05.30,8435,7727,236,13
05.31,8440,7727,236,5
06.01,8442,7727,236,2
06.02,8452,7727,237,10
06.03,8455,7727,237,3
06.04,8488,8138,238,33
06.05,8510,8138,238,22
06.06,8531,8138,238,21
06.07,8547,8138,238,16
06.08,8561,8138,239,14
06.09,8567,8138,239,6
06.10,8576,8138,239,9
06.11,8600,8138,242,24
06.12,8613,8138,242,13
06.13,8625,8138,242,12
06.14,8629,8138,242,4
06.15,8639,8138,242,10
06.16,8655,8138,242,16
06.17,8680,8138,243,25
06.18,8707,8138,244,27
06.19,8721,8138,244,14
06.20,8733,8138,244,12
06.21,8743,8138,244,10
06.22,8745,8138,248,2
06.23,8751,8138,248,6
06.24,8777,8138,248,26
06.25,8788,8138,249,11
06.26,8828,8138,249,40
06.27,8845,8138,249,17
06.28,8846,8138,249,1
06.29,8862,8138,249,16
06.30,8866,8138,249,4
07.01,8887,8138,250,21
07.02,8902,8138,251,15
07.03,8902,8138,251,0
07.04,8921,8138,251,19
07.05,8930,8138,251,9
07.06,8930,8138,251,0
07.07,8936,8138,251,6
07.08,8950,8138,251,14
07.09,8954,8138,251,4
07.10,8965,8138,252,11
07.11,8976,8138,252,11
07.12,8979,8138,252,3
07.13,8981,8138,253,2
07.14,8988,8138,253,7
07.15,9006,8138,253,18
07.16,9011,8138,254,5
07.17,9018,8138,255,7
07.18,9028,8138,255,10
07.19,9028,8138,255,0
07.20,9028,8138,255,0
07.21,9049,8138,255,21
07.22,9059,8138,255,10
07.23,9071,8674,255,12
07.24,9088,8674,255,17
