,confirm,heal,dead,confirm_add
03.08,4,0,0,4
03.09,4,0,0,0
03.10,4,0,0,0
03.11,6,0,0,2
03.12,7,0,0,1
03.13,23,0,1,16
03.14,30,0,1,7
03.15,41,0,2,11
03.16,51,0,2,10
03.17,67,0,2,16
03.18,81,0,2,14
03.19,92,0,2,11
03.20,110,0,2,18
03.21,127,0,2,17
03.22,163,3,3,36
03.23,187,3,3,24
03.24,201,3,3,14
03.25,218,3,3,17
03.26,242,4,3,24
03.27,264,4,3,22
03.28,313,4,3,49
03.29,346,14,8,33
03.30,354,15,8,8
03.31,399,17,8,45
04.01,422,20,9,23
04.02,457,25,10,35
04.03,485,30,14,28
04.04,503,34,17,18
04.05,531,37,20,28
04.06,541,39,21,10
04.07,565,42,22,24
04.08,593,42,24,28
04.09,611,48,24,18
04.10,635,54,25,24
04.11,648,62,26,13
04.12,675,68,29,27
04.13,685,71,32,10
04.14,713,81,35,28
04.15,747,105,36,34
04.16,800,122,38,53
04.17,846,141,41,46
04.18,878,153,41,32
04.19,894,161,42,16
04.20,929,167,43,35
04.21,966,170,45,37
04.22,1024,174,49,58
04.23,1097,190,52,73
04.24,1188,193,54,91
04.25,1247,197,55,59
04.26,1300,205,56,53
04.27,1348,206,56,48
04.28,1399,222,58,51
04.29,1447,243,64,48
04.30,1506,266,66,59
05.01,1541,276,66,35
05.02,1594,287,72,53
05.03,1594,287,72,0
05.04,1652,321,78,58
05.05,1704,342,80,52
05.06,1778,360,84,74
05.07,1829,384,84,51
05.08,1872,401,86,43
05.09,1921,422,90,49
05.10,1965,444,91,44
05.11,1990,461,93,25
05.12,2023,476,95,33
05.13,2069,499,96,46
05.14,2100,531,99,31
05.15,2138,545,102,38
05.16,2175,573,105,37
05.17,2211,598,108,36
05.18,2235,612,110,24
05.19,2259,646,112,24
05.20,2292,684,116,33
05.21,2331,727,120,39
05.22,2372,769,125,41
05.23,2408,808,126,36
05.24,2427,840,130,19
05.25,2433,862,130,6
05.26,2443,880,130,10
05.27,2460,912,133,17
05.28,2477,965,134,17
05.29,2485,1016,136,8
05.30,2499,1064,139,14
05.31,2513,1074,140,14
06.01,2519,1090,140,6
06.02,2538,1123,144,19
06.03,2538,1123,144,0
06.04,2585,1322,147,47
06.05,2627,1390,159,42
06.06,2668,1528,160,41
06.07,2711,1545,160,43
06.08,2727,1548,160,16
06.09,2810,1587,164,83
06.10,2889,1623,167,79
06.11,2993,1664,167,104
06.12,3086,1688,168,93
06.13,3191,1716,172,105
06.14,3266,1723,172,75
06.15,3290,1730,174,24
06.16,3341,1784,176,51
06.17,3453,1817,181,112
06.18,3542,1880,184,89
06.19,3674,1941,190,132
06.20,3755,2008,193,81
06.21,3872,2027,199,117
06.22,3905,2074,199,33
06.23,3984,2171,207,79
06.24,4114,2217,208,130
06.25,4242,2263,209,128
06.26,4408,2370,211,166
06.27,4513,2457,215,105
06.28,4625,2475,216,112
06.29,4691,2508,219,66
06.30,4831,2582,223,140
07.01,4989,2676,230,158
07.02,5154,2722,232,165
07.03,5315,2802,232,161
07.04,5497,2892,239,182
07.05,5677,2898,241,180
07.06,5740,2915,246,63
07.07,5914,3000,250,174
07.08,6102,3037,254,188
07.09,6342,3166,259,240
07.10,6672,3229,262,330
07.11,6964,3308,267,292
07.12,7175,3311,267,211
07.13,7252,3319,268,77
07.14,7411,3517,276,159
07.15,7645,3663,283,234
07.16,7877,3841,289,232
07.17,8144,3927,293,267
07.18,8442,4033,297,298
07.19,8638,4081,299,196
07.20,8733,4106,300,95
07.21,8929,4205,308,196
07.22,9254,4521,313,325
07.23,9584,4643,321,330
07.24,9853,5031,329,269
07.25,10123,5252,337,270
07.26,10312,5306,338,189
07.27,10427,5355,340,115
07.28,10621,5585,347,194
07.29,10871,5766,355,250
07.30,11155,5971,368,284
07.31,11420,6173,374,265
08.01,11690,6319,383,270
08.02,11836,6396,385,146
08.03,11955,6420,388,119
08.04,12159,6684,404,204
08.05,12414,6964,415,255
08.06,12717,7154,424,303
08.07,13014,7374,435,297
08.08,13209,7622,442,195
08.09,13343,7718,445,134
08.10,13396,7772,447,53
08.11,13512,7980,459,116
08.12,13722,8154,471,210
08.13,13893,8479,482,171
08.14,14069,8901,484,176
08.15,14243,9114,492,174
08.16,14333,9161,495,90
08.17,14365,9186,498,32
08.18,14500,9442,512,135
08.19,14669,9699,519,169
08.20,14820,9931,527,151
08.21,14962,10087,532,142
08.22,15131,10282,539,169
08.23,15227,10322,545,96
08.24,15287,10338,545,60
08.25,15386,10497,563,99
08.26,15589,10601,572,203
08.27,15751,10750,586,162
08.28,15908,11044,594,157
08.29,16065,11231,603,157
08.30,16164,11253,605,99
08.31,16190,11313,613,26
09.01,16266,11483,629,76
09.02,16454,11615,642,188
09.03,16617,11760,648,163
09.04,16775,11935,658,158
09.05,16954,12046,665,179
09.06,17050,12132,671,96
09.07,17089,12157,676,39
09.08,17146,12189,677,57
09.09,17313,12297,692,167
09.10,17435,12474,702,122
09.11,17598,12619,706,163
09.12,17799,12750,713,201
09.13,17891,12758,717,92
09.14,17918,12767,720,27
09.15,18061,12930,729,143
09.16,18216,13057,736,155
09.17,18390,13241,739,174
09.18,18544,13391,749,154
09.19,18733,13510,753,189
09.20,18819,13558,755,86
09.21,18863,13580,761,44
09.22,19014,13727,765,151
09.23,19123,13748,767,109
09.24,19283,13867,779,160
09.25,19573,14013,785,290
09.26,19828,14132,789,255
09.27,19997,14160,789,169
09.28,20055,14176,796,58
09.29,20271,14339,807,216
09.30,20547,14489,813,276
10.01,20833,14634,825,286
10.02,21096,14787,832,263
10.03,21336,14939,838,240
10.04,21518,14984,841,182
10.05,21587,15014,844,69
10.06,21870,15179,854,283
10.07,22306,15310,862,436
10.08,22743,15448,873,437
10.09,23259,15563,880,516
10.10,23871,15713,887,612
10.11,24319,15818,891,448
10.12,24402,15847,892,83
10.13,24989,15975,915,587
10.14,25774,16139,923,785
10.15,26593,16489,929,819
10.16,27507,16678,944,914
10.17,28505,16875,958,998
10.18,29108,16912,968,603
10.19,29503,16943,986,395
10.20,30527,17153,1008,1024
10.21,31863,17414,1019,1336
10.22,33335,17598,1048,1472
10.23,34930,17833,1064,1595
10.24,36519,18102,1077,1589
10.25,37562,18232,1084,1043
10.26,37889,18354,1094,327
10.27,40132,18650,1136,2243
10.28,42701,18943,1161,2569
10.29,45461,19159,1197,2760
10.30,48150,19695,1225,2689
10.31,51041,19877,1254,2891
11.01,52844,20045,1279,1803
11.02,54069,20530,1298,1225
11.03,56496,21037,1349,2427
11.04,60537,21544,1412,4041
11.05,64591,21947,1466,4054
11.06,68345,22709,1518,3754
11.07,72184,23436,1576,3839
11.08,74485,23805,1632,2301
11.09,75160,24408,1665,675
11.10,78976,25283,1771,3816
11.11,83366,25799,1851,4390
11.12,87311,26714,1898,3945
11.13,90725,27587,1970,3414
11.14,94937,28269,2055,4212
11.15,97435,28805,2091,2498
11.16,98251,29375,2130,816
11.17,101770,30317,2282,3519
11.18,106598,31536,2413,4828
11.19,110536,32480,2530,3938
11.20,114435,33327,2649,3899
11.21,118418,34388,2778,3983
11.22,120697,35752,2820,2279
11.23,121820,36524,2880,1123
11.24,124966,38226,3069,3146
11.25,129348,40102,3226,4382
11.26,133060,42620,3367,3712
11.27,136628,44875,3529,3568
11.28,139955,46740,3680,3327
11.29,141747,47779,3749,1792
11.30,142486,48594,3814,739
12.01,145300,50565,4035,2814
12.02,148775,53000,4188,3475
12.03,151913,55206,4347,3138
12.04,155193,57141,4503,3280
