,confirm,heal,dead,confirm_add
03.15,1,0,0,1
03.16,6,0,0,5
03.17,11,0,0,5
03.18,15,0,0,4
03.19,23,0,0,8
03.20,33,0,0,10
03.21,37,0,0,4
03.22,43,0,0,10
03.23,46,0,0,3
03.24,50,0,0,4
03.25,55,0,0,5
03.26,65,0,0,10
03.27,83,0,1,18
03.28,104,5,2,21
03.29,133,7,2,29
03.30,149,7,2,45
03.31,167,7,2,18
04.01,173,12,2,6
04.02,190,25,2,17
04.03,221,25,2,31
04.04,263,25,2,42
04.05,298,30,2,35
04.06,390,30,2,92
04.07,504,30,2,114
04.08,545,30,3,41
04.09,582,38,3,37
04.10,624,42,3,42
04.11,729,42,3,105
04.12,833,65,4,104
04.13,934,85,4,101
04.14,1113,99,4,179
04.15,1275,107,4,162
04.16,1349,129,4,74
04.17,1390,140,4,41
04.18,1469,194,4,79
04.19,1543,225,5,74
04.20,1604,261,5,61
04.21,1657,344,6,53
04.22,1692,450,7,35
04.23,1735,561,7,43
04.24,1778,598,8,43
04.25,1836,707,8,58
04.26,1869,765,8,33
04.27,1887,880,8,18
04.28,1939,958,8,52
04.29,1969,1066,8,30
04.30,2017,1126,9,48
05.01,2075,1182,9,58
05.02,2094,1271,9,19
05.03,2118,1271,9,24
05.04,2181,1370,10,63
05.05,2204,1501,10,23
05.06,2231,1577,10,27
05.07,2269,1624,10,38
05.08,2324,1775,10,55
05.09,2349,1803,10,25
05.10,2411,1881,10,62
05.11,2482,1982,10,71
05.12,2519,2010,10,37
05.13,2568,2040,10,49
05.14,2636,2136,11,68
05.15,2652,2136,11,16
05.16,2719,2195,11,67
05.17,2741,2213,12,22
05.18,2779,2314,13,38
05.19,2825,2338,13,46
05.20,2927,2369,13,102
05.21,2964,2407,13,37
05.22,3006,2407,13,42
05.23,3089,2525,13,83
05.24,3150,2565,13,61
05.25,3189,2607,13,39
05.26,3281,2624,13,92
05.27,3355,2668,14,74
05.28,3437,2694,14,82
05.29,3468,2728,14,31
05.30,3523,2783,14,55
05.31,3583,2837,15,60
06.01,3673,2859,15,90
06.02,3750,2908,15,77
06.03,3760,2908,15,10
06.04,3909,3087,16,149
06.05,3987,3227,16,78
06.06,4022,3247,16,35
06.07,4302,3330,17,280
06.08,4352,3354,17,50
06.09,4482,3444,18,130
06.10,4547,3459,18,65
06.11,4717,3623,19,170
06.12,4837,3700,19,120
06.13,4937,3837,19,100
06.14,5051,3910,19,114
06.15,5154,3996,19,103
06.16,5328,4019,19,174
06.17,5638,4096,19,310
06.18,5730,4166,19,92
06.19,5920,4273,19,190
06.20,6119,4273,19,199
06.21,6272,4290,19,153
06.22,6358,4377,19,86
06.23,6535,4520,19,177
06.24,6847,4675,19,312
06.25,7087,4724,20,240
06.26,7228,4877,20,141
06.27,7490,5038,20,262
06.28,7813,5248,21,323
06.29,8199,5426,23,386
06.30,8385,5569,25,186
07.01,8671,5737,26,286
07.02,8996,5847,27,325
07.03,9326,6161,28,330
07.04,9500,6251,29,174
07.05,9829,6425,31,329
07.06,10284,6584,36,455
07.07,10587,6690,39,303
07.08,10982,6888,42,395
07.09,11447,7082,49,465
07.10,11857,7335,53,410
07.11,12402,7540,56,545
07.12,12855,7723,59,453
07.13,13360,7852,62,505
07.14,13993,8074,65,633
07.15,14466,8343,69,473
07.16,14991,8655,73,525
07.17,15349,8783,76,358
07.18,15896,9003,80,547
07.19,16607,9178,85,711
07.20,17149,9387,90,542
07.21,17755,9463,93,606
07.22,18324,9554,97,569
07.23,18531,9872,99,207
07.24,18986,10149,103,455
07.25,19755,10472,109,769
07.26,20226,10831,114,471
07.27,20820,11105,116,594
07.28,21699,12026,124,879
07.29,22374,12668,129,675
07.30,23078,13432,134,704
07.31,23773,14204,139,695
08.01,24569,14916,145,796
08.02,25336,15833,151,767
08.03,26066,16838,157,730
08.04,26804,17838,163,738
08.05,27554,18682,169,750
08.06,28315,19291,175,761
08.07,28809,19587,179,494
08.08,29652,21006,187,843
08.09,30464,21813,192,812
08.10,31068,22559,198,604
08.11,31747,23704,204,679
08.12,32465,25106,210,718
08.13,33093,26270,215,628
08.14,33821,27825,220,728
08.15,34251,28661,223,430
08.16,35109,30664,230,858
08.17,35513,30973,234,404
08.18,36352,32062,242,839
08.19,36968,32557,247,616
08.20,37547,33261,252,579
08.21,37825,33442,256,278
08.22,38412,34351,265,587
08.23,38870,34894,271,458
08.24,39156,35283,277,286
08.25,39641,35869,284,485
08.26,39790,35983,289,149
08.27,40338,37116,297,548
08.28,40720,37873,302,382
08.29,41067,38250,307,347
08.30,41424,38655,313,357
08.31,41787,39068,319,363
09.01,41994,39275,322,207
09.02,42437,39664,327,443
09.03,42688,40081,331,251
09.04,42998,40392,338,310
09.05,43293,40774,343,295
09.06,43476,40880,345,183
09.07,43775,41277,350,299
09.08,44281,41594,358,506
09.09,44781,42162,364,500
09.10,45473,42509,370,692
09.11,46160,42857,377,687
09.12,46498,43023,382,338
09.13,47042,43511,388,544
09.14,47836,44375,396,794
09.15,48429,44942,402,593
09.16,49015,45422,407,586
09.17,49627,45970,413,612
09.18,50253,46527,419,626
09.19,50634,46645,423,381
09.20,51235,47271,429,601
09.21,52070,48369,437,835
09.22,52491,48606,440,421
09.23,53275,49649,444,784
09.24,53834,50230,446,559
09.25,54392,50879,449,558
09.26,54462,50954,450,70
09.27,55320,51829,458,858
09.28,55776,52324,460,456
09.29,56252,52859,465,476
09.30,56519,52970,468,267
10.01,56997,53457,471,478
10.02,57454,53955,472,457
10.03,57924,54456,476,470
10.04,58421,54854,479,497
10.05,58946,55633,485,525
10.06,59343,56058,489,397
10.07,59579,56165,491,236
10.08,59905,56568,494,326
10.09,60342,57221,498,437
10.10,60681,57587,501,339
10.11,61017,57967,505,336
10.12,61319,58306,509,302
10.13,61642,58613,511,323
10.14,61859,58763,512,217
10.15,62278,59291,518,419
10.16,62588,59624,520,310
10.17,62809,59756,522,221
10.18,63124,60080,525,315
10.19,63430,60401,529,306
10.20,63831,60910,534,401
10.21,64010,61068,534,179
10.22,64439,61658,540,429
10.23,64633,61734,541,194
10.24,64923,62033,544,290
10.25,65200,62342,547,277
10.26,65577,62742,552,377
10.27,65765,62876,554,188
10.28,66037,63165,557,272
10.29,66392,63581,561,355
10.30,66542,63713,562,150
10.31,66628,63864,563,86
11.01,67101,64354,570,473
11.02,67254,64466,571,153
11.03,67501,64671,571,247
11.04,67698,64885,575,197
11.05,68009,65254,579,311
11.06,68139,65333,579,130
11.07,68367,65550,580,228
11.08,68512,65762,583,145
11.09,68879,66107,586,367
11.10,69027,66194,588,148
11.11,69027,66194,588,0
11.12,69475,66672,593,448
11.13,69754,66886,594,279
11.14,69830,67092,594,76
11.15,70102,67315,598,272
11.16,70299,67526,598,197
11.17,70509,67734,598,210
11.18,70719,67927,599,210
11.19,70921,68123,601,202
11.20,71147,68327,602,226
11.21,71359,68525,603,212
11.22,71552,68711,603,193
11.23,71713,68915,603,161
11.24,71920,69118,604,207
11.25,72039,69302,605,119
11.26,72289,69477,606,250
11.27,72409,69670,607,120
11.28,72582,69859,608,173
11.29,72753,70047,608,171
11.30,72920,70198,608,167
12.01,73145,70337,610,225
12.02,73335,70534,611,190
12.03,73431,70712,611,96
12.04,73592,70861,611,161
12.05,73751,71002,611,159
12.06,73904,71173,611,153
12.07,74053,71315,611,149
12.08,74206,71482,611,153
12.09,74352,71609,611,146
12.10,74498,71740,611,146
12.11,74664,71921,611,166
12.12,74811,72084,612,147
12.13,74956,72243,612,145
12.14,75094,72368,612,138
12.15,75241,72522,612,147
12.16,75396,72661,612,155
12.17,75538,72810,612,142
12.18,75675,72961,612,137
12.19,75806,73099,612,131
12.20,75933,73242,612,127
12.21,76048,73339,612,115
12.22,76180,73460,612,132
12.23,76315,73589,612,135
12.24,76456,73746,612,141
12.25,76568,73911,612,112
12.26,76666,74093,612,98
12.27,76751,74291,613,85
12.28,76832,74439,613,81
12.29,76907,74626,613,75
12.30,76985,74789,614,78
12.31,77060,74943,614,75
01.01,77126,75112,614,66
01.02,77182,75244,614,56
01.03,77231,75358,614,49
01.04,77258,75437,614,27
01.05,77295,75545,614,37
01.06,77350,75650,615,55
01.07,77412,75759,615,62
01.08,77485,75875,616,73
01.09,77530,75947,616,45
01.10,77572,76014,617,42
01.11,77611,76067,617,39
01.12,77663,76134,617,52
01.13,77716,76197,618,53
01.14,77777,76276,618,61
01.15,77845,76335,619,68
01.16,77904,76388,619,59
01.17,77968,76436,619,64
01.18,78036,76538,619,68
01.19,78091,76585,620,55
01.20,78163,76624,620,72
01.21,78219,76655,620,56
01.22,78272,76752,620,53
01.23,78317,76778,621,45
01.24,78375,76815,621,58
01.25,78429,76862,621,54
01.26,78471,76912,621,42
01.27,78510,76997,621,39
01.28,78556,77047,621,46
01.29,78602,77084,621,46
01.30,78672,77146,621,70
01.31,78711,77191,621,39
02.01,78755,77221,621,44
02.02,78801,77286,621,46
02.03,78859,77333,621,58
02.04,78916,77368,621,57
02.05,78989,77443,621,73
02.06,79045,77490,621,56
02.07,79098,77522,621,53
02.08,79162,77564,621,64
02.09,79204,77609,621,42
02.10,79237,77648,621,33
02.11,79303,77726,622,66
02.12,79340,77780,622,37
02.13,79381,77829,622,41
02.14,79416,77890,622,35
02.15,79442,77928,622,26
02.16,79461,77969,622,19
02.17,79497,77993,622,36
02.18,79548,78059,622,51
02.19,79598,78100,622,50
02.20,79632,78127,622,34
02.21,79654,78152,622,22
02.22,79681,78171,622,27
02.23,79717,78185,622,36
02.24,79749,78252,622,32
02.25,79773,78290,622,24
02.26,79804,78333,622,31
02.27,79836,78373,622,32
02.28,79886,78442,622,50
03.01,79926,78496,622,40
03.02,79961,78513,622,35
03.03,80006,78549,622,45
03.04,80035,78587,622,29
03.05,80081,78722,622,46
03.06,80125,78802,622,44
03.07,80176,78884,622,51
03.08,80219,78915,622,43
03.09,80247,78939,622,28
03.10,80268,78994,622,21
03.11,80347,79051,622,79
03.12,80392,79077,622,45
03.13,80481,79145,622,89
03.14,80567,79242,622,86
03.15,80678,79331,622,111
03.16,80743,79371,622,65
03.17,80858,79450,622,115
03.18,80971,79533,622,113
03.19,81095,79631,622,124
03.20,81221,79708,622,126
03.21,81339,79812,622,118
03.22,81446,79884,622,107
03.23,81559,79949,622,113
