,confirm,heal,dead,confirm_add
03.08,2,0,0,2
03.09,4,0,0,2
03.10,6,0,0,2
03.11,6,0,0,0
03.12,8,0,0,2
03.13,9,0,0,1
03.14,10,0,0,1
03.15,13,0,0,3
03.16,13,0,0,0
03.17,13,0,0,0
03.18,13,0,0,0
03.19,13,0,0,0
03.20,13,0,0,0
03.21,13,0,0,0
03.22,13,0,0,0
03.23,13,5,0,0
03.24,13,5,0,0
03.25,13,8,0,0
03.26,13,8,0,0
03.27,14,9,0,1
03.28,16,9,0,3
03.29,17,11,0,1
03.30,17,11,0,1
03.31,18,13,0,1
04.01,19,13,0,1
04.02,19,13,0,0
04.03,19,13,0,0
04.04,19,13,0,0
04.05,19,13,0,0
04.06,19,13,0,0
04.07,19,13,0,0
04.08,19,13,0,0
04.09,19,13,0,0
04.10,19,13,0,0
04.11,19,13,0,0
04.12,20,13,0,1
04.13,20,14,0,0
04.14,20,14,0,0
04.15,21,16,0,1
04.16,23,16,0,2
04.17,28,16,0,5
04.18,34,16,0,6
04.19,52,16,0,18
04.20,67,16,0,15
04.21,83,16,0,16
04.22,86,16,0,3
04.23,94,16,0,8
04.24,116,16,0,22
04.25,137,16,0,21
04.26,191,17,0,54
04.27,226,17,0,35
04.28,245,17,0,19
04.29,269,17,0,24
04.30,396,17,1,127
05.01,468,17,1,72
05.02,514,17,1,46
05.03,519,18,1,5
05.04,527,18,1,8
05.05,557,17,1,30
05.06,618,20,2,61
05.07,642,20,2,24
05.08,734,20,3,92
05.09,766,20,3,32
05.10,835,29,3,69
05.11,862,29,3,27
05.12,897,29,3,35
05.13,904,29,3,7
05.14,955,40,4,51
05.15,1020,45,4,65
05.16,1078,58,4,58
05.17,1078,58,4,0
05.18,1094,58,4,16
05.19,1143,80,4,49
05.20,1186,91,4,43
05.21,1216,91,4,30
05.22,1216,91,4,0
05.23,1274,109,4,58
05.24,1313,128,4,39
05.25,1371,144,4,58
05.26,1395,155,4,24
05.27,1457,197,5,62
05.28,1457,197,5,0
05.29,1513,197,5,56
05.30,1633,230,5,120
05.31,1672,406,5,39
06.01,1773,453,6,101
06.02,1829,488,7,56
06.03,1841,608,7,12
06.04,1850,644,7,9
06.05,1872,648,7,22
06.06,1883,717,8,11
06.07,1901,773,8,18
06.08,1903,827,8,2
06.09,1916,925,8,13
06.10,1942,1010,8,26
06.11,1962,1121,8,20
06.12,1976,1153,8,14
06.13,2003,1193,8,27
06.14,2013,1217,8,10
06.15,2035,1311,8,22
06.16,2065,1540,8,30
06.17,2094,1670,8,29
06.18,2120,1677,8,26
06.19,2137,1759,8,17
06.20,2150,1769,8,13
06.21,2187,1788,8,37
06.22,2203,1803,8,16
06.23,2217,1813,8,14
06.24,2238,1813,8,21
06.25,2261,1839,8,23
06.26,2277,1848,8,16
06.27,2283,1863,8,6
06.28,2305,1875,8,22
06.29,2324,1911,8,19
06.30,2337,1927,9,13
07.01,2361,1944,9,24
07.02,2382,1954,10,21
07.03,2400,1969,10,18
07.04,2410,1976,10,10
07.05,2435,2030,10,25
07.06,2468,2049,11,33
07.07,2491,2113,12,23
07.08,2501,2158,12,10
07.09,2517,2180,13,16
07.10,2553,2227,13,36
07.11,2617,2238,13,64
07.12,2664,2268,13,47
07.13,2731,2284,13,67
07.14,2762,2290,13,31
07.15,2801,2302,14,39
07.16,2831,2321,14,30
07.17,2899,2339,15,68
07.18,2913,2340,15,14
07.19,2930,2354,15,17
07.20,2966,2362,15,36
07.21,2999,2369,15,33
07.22,3044,2397,15,45
07.23,3103,2397,15,59
07.24,3120,2428,15,17
07.25,3175,2498,15,55
07.26,3252,2498,15,77
07.27,3302,2528,15,50
07.28,3369,2547,15,67
07.29,3506,2547,15,137
07.30,3567,2554,15,61
07.31,3719,2568,16,152
08.01,3793,2607,16,74
08.02,3949,2613,17,156
08.03,4164,2643,18,215
08.04,4293,2670,18,129
08.05,4446,2693,19,153
08.06,4594,2706,19,148
08.07,4680,2725,19,86
08.08,4769,2754,19,89
08.09,4898,2791,19,129
08.10,5041,2804,19,143
08.11,5157,2835,20,116
08.12,5223,2849,20,66
08.13,5366,2884,21,143
08.14,5494,2920,21,128
08.15,5572,3010,22,78
08.16,5679,3208,22,107
08.17,5785,3349,22,106
08.18,5909,3488,23,124
08.19,6079,3648,24,170
08.20,6225,3788,24,146
08.21,6370,3915,25,145
08.22,6564,4012,26,194
08.23,6660,4113,26,96
08.24,6779,4222,26,119
08.25,6912,4297,28,133
08.26,7047,4439,28,135
08.27,7225,4561,28,178
08.28,7329,4691,28,104
08.29,7469,4873,28,140
08.30,7578,4925,28,109
08.31,7667,5036,28,89
09.01,7804,5155,29,137
09.02,8003,5265,29,199
09.03,8140,5338,29,137
09.04,8281,5483,29,141
09.05,8361,5642,29,80
09.06,8486,5822,29,125
09.07,8584,5936,29,98
09.08,8667,6052,29,83
09.09,8741,6157,31,74
09.10,8834,6288,31,93
09.11,8900,6559,31,66
09.12,8990,6846,31,90
09.13,9052,7055,32,62
09.14,9173,7326,32,121
09.15,9243,7536,33,70
09.16,9328,7729,33,85
09.17,9427,7903,33,99
09.18,9494,8033,33,67
09.19,9568,8077,33,74
09.20,9649,8188,33,81
09.21,9724,8261,33,75
09.22,9770,8390,34,46
09.23,9818,8438,34,48
09.24,9885,8530,34,67
09.25,9939,8597,34,54
09.26,10014,8673,34,75
09.27,10045,8754,34,31
09.28,10098,8847,34,53
09.29,10157,8950,34,59
09.30,10194,9037,34,37
10.01,10291,9108,34,97
10.02,10354,9187,34,63
10.03,10398,9213,34,44
10.04,10465,9310,34,67
10.05,10530,9364,34,65
