,confirm,heal,dead,confirm_add
03.03,1,0,0,1
03.04,2,0,0,1
03.05,4,0,0,2
03.06,4,0,0,0
03.07,4,0,0,0
03.08,4,0,0,0
03.09,4,0,0,0
03.10,4,0,0,0
03.11,4,0,0,0
03.12,4,0,0,0
03.13,10,2,0,6
03.14,21,2,0,11
03.15,24,2,0,3
03.16,24,2,0,0
03.17,27,2,0,3
03.18,31,2,0,4
03.19,36,2,0,4
03.20,38,5,0,2
03.21,47,5,0,9
03.22,56,5,0,9
03.23,67,5,0,11
03.24,79,8,0,12
03.25,86,8,0,7
03.26,105,9,0,19
03.27,119,11,0,14
03.28,130,18,0,11
03.29,142,27,0,12
03.30,162,28,0,20
03.31,175,40,0,13
04.01,190,45,1,15
04.02,195,55,1,5
04.03,207,66,1,12
04.04,219,72,2,12
04.05,222,82,2,3
04.06,226,92,2,4
04.07,226,92,2,0
04.08,244,113,2,18
04.09,250,123,2,6
04.10,265,137,2,15
04.11,278,152,2,13
04.12,280,171,2,2
04.13,291,178,2,11
04.14,299,183,2,8
04.15,314,190,2,15
04.16,335,194,2,21
04.17,342,198,2,7
04.18,350,211,3,8
04.19,350,211,3,0
04.20,377,235,5,27
04.21,412,242,5,35
04.22,442,253,6,30
04.23,479,257,6,37
04.24,545,262,7,66
04.25,614,276,7,69
04.26,671,283,8,57
04.27,736,284,9,65
04.28,823,296,9,87
04.29,882,315,9,59
04.30,933,334,9,51
05.01,1024,356,9,91
05.02,1115,368,9,91
05.03,1115,368,9,0
05.04,1271,415,10,156
05.05,1329,470,11,58
05.06,1433,493,12,104
05.07,1492,562,13,59
05.08,1551,611,13,59
05.09,1634,643,15,83
05.10,1709,650,18,75
05.11,1886,715,19,177
05.12,1995,742,19,109
05.13,2105,782,21,110
05.14,2189,842,23,84
05.15,2310,890,25,121
05.16,2429,949,25,119
05.17,2480,973,25,51
05.18,2544,1076,26,64
05.19,2617,1133,30,73
05.20,2714,1186,30,97
05.21,2812,1251,30,98
05.22,2909,1311,33,97
05.23,2976,1416,34,67
05.24,3047,1456,35,71
05.25,3130,1515,35,83
05.26,3161,1565,36,31
05.27,3253,1586,38,92
05.28,3348,1686,39,95
05.29,3429,1738,41,81
05.30,3535,1761,42,106
05.31,3645,1801,42,110
06.01,3739,1858,42,94
06.02,3836,1954,43,97
06.03,3836,1954,43,0
06.04,4021,2162,45,185
06.05,4155,2276,45,134
06.06,4249,2512,47,94
06.07,4328,2588,49,79
06.08,4427,2699,49,99
06.09,4516,2809,52,89
06.10,4516,2809,52,0
