,confirm,heal,dead,confirm_add
01.28,2,0,0,0
01.29,2,0,0,0
01.30,3,1,0,1
01.31,3,1,0,0
02.01,4,0,0,1
02.02,4,0,0,0
02.03,4,0,0,0
02.04,4,0,0,0
02.05,5,0,0,1
02.06,5,0,0,0
02.07,5,0,0,0
02.08,5,0,0,0
02.09,7,0,0,2
02.10,7,0,0,0
02.11,7,0,0,0
02.12,7,0,0,0
02.13,7,0,0,0
02.14,7,0,0,0
02.15,8,1,0,1
02.16,8,1,0,0
02.17,8,1,0,0
02.18,8,1,0,0
02.19,8,1,0,0
02.20,8,1,0,0
02.21,8,3,0,0
02.22,8,3,0,0
02.23,8,3,0,0
02.24,10,4,0,2
02.25,11,4,0,1
02.26,11,4,0,0
02.27,12,4,0,1
02.28,14,4,0,2
02.29,16,4,0,2
03.01,20,4,0,4
03.02,24,7,0,4
03.03,27,7,0,3
03.04,33,7,0,6
03.05,34,7,0,1
03.06,48,7,0,14
03.07,54,7,0,6
03.08,60,7,0,4
03.09,66,7,0,6
03.10,77,8,1,11
03.11,97,8,1,20
03.12,118,9,1,21
03.13,158,11,1,40
03.14,225,11,1,67
03.15,253,11,1,28
03.16,313,11,1,60
03.17,436,11,4,123
03.18,597,11,8,161
03.19,727,12,9,130
03.20,923,12,12,196
03.21,1146,14,12,223
03.22,1377,14,19,231
03.23,1472,14,21,95
03.24,2091,109,25,619
03.25,2892,110,35,801
03.26,3409,183,36,517
03.27,4043,197,39,634
03.28,4757,354,55,714
03.29,5867,466,63,1110
03.30,6320,466,65,453
03.31,7448,1020,89,1128
04.01,8591,1592,102,1143
04.02,9731,1526,112,1140
04.03,11284,1971,139,1553
04.04,12545,2321,188,1261
04.05,14400,2770,234,1855
04.06,15940,3081,281,1540
04.07,16667,3613,323,727
04.08,17897,4047,381,1230
04.09,19290,4646,436,1393
04.10,20765,5311,510,1475
04.11,22148,6013,570,1383
04.12,23717,6650,675,1569
04.13,24380,7172,717,663
04.14,25680,7758,780,1300
04.15,27063,8235,903,1383
04.16,28379,8979,1010,1316
04.17,31000,9730,1231,2621
04.18,32857,10559,1356,1857
04.19,34386,11216,1520,1529
04.20,36039,11852,1626,1653
04.21,37933,12747,1753,1894
04.22,39405,13605,1915,1472
04.23,41667,14504,2081,2262
04.24,43407,15233,2250,1740
04.25,44526,15479,2386,1778
04.26,45521,16504,2549,995
04.27,47166,17408,2663,1645
04.28,49686,18707,2841,2520
04.29,51184,19879,2985,1498
04.30,52865,20327,3155,1681
05.01,54457,21424,3310,1592
05.02,56343,22764,3537,1886
05.03,57926,23795,3684,1583
05.04,60557,25421,3801,2631
05.05,61957,26030,4003,1400
05.06,63215,27006,4190,1258
05.07,64733,28531,4366,1518
05.08,66202,29274,4543,1469
05.09,67729,30632,4697,1527
05.10,68947,31657,4824,1218
05.11,70137,32468,4991,1190
05.12,71294,33267,5116,1157
05.13,72444,34509,5300,1150
05.14,73612,35536,5425,1168
05.15,74830,36541,5592,1218
05.16,75975,37287,5680,1145
05.17,77257,38172,5801,1282
05.18,78332,38563,5903,1075
05.19,79411,39511,5960,1079
05.20,80537,40361,6029,1126
05.21,81575,40793,6150,1038
05.22,82750,41731,6267,1175
05.23,83961,42987,6360,1211
05.24,85151,43318,6466,1190
05.25,86149,44219,6534,998
05.26,87122,44651,6655,973
05.27,88104,45766,6753,982
05.28,89015,46480,6877,911
05.29,90002,47163,6982,987
05.30,90910,47907,7063,908
05.31,91681,48517,7159,771
06.01,92623,49257,7374,942
06.02,93288,50091,7404,665
06.03,93958,50722,7476,670
06.04,94664,51520,7580,706
06.05,95269,52184,7717,605
06.06,95947,53074,7778,678
06.07,96476,54087,7851,529
06.08,97208,54697,7877,732
06.09,97779,55343,7910,571
06.10,98241,56121,7970,462
06.11,98720,57215,8038,479
06.12,99365,58665,8114,645
06.13,99595,59034,8125,230
06.14,100061,59851,8183,466
06.15,100420,60673,8218,359
06.16,99372,61478,8228,-1048
06.17,101087,62648,8275,1715
06.18,101509,63280,8316,422
06.19,101915,63784,8372,406
06.20,102326,64318,8408,411
06.21,102762,64826,8466,436
06.22,103078,65249,8482,316
06.23,103418,65721,8494,340
06.24,103767,66136,8512,349
06.25,104087,66533,8544,320
06.26,104470,66869,8567,383
06.27,104629,67182,8571,159
06.28,104902,67449,8576,273
06.29,105293,67689,8582,391
06.30,105830,68698,8628,537
07.01,106106,69120,8650,276
07.02,106288,69397,8678,182
07.03,106643,69872,8700,355
07.04,106981,70242,8726,338
07.05,107197,70586,8732,216
07.06,107408,70784,8739,211
07.07,107815,71141,8748,407
07.08,108032,71418,8765,217
07.09,108334,71805,8786,302
07.10,108668,72174,8798,334
07.11,108984,72466,8811,316
07.12,109150,72784,8818,166
07.13,109370,72954,8829,220
07.14,110058,73420,8836,688
07.15,110357,73713,8845,299
07.16,110693,74067,8857,336
07.17,111171,74433,8875,478
07.18,111559,98281,8884,388
07.19,111875,98436,8892,316
07.20,112168,98564,8896,293
07.21,112938,98975,8902,770
07.22,113473,99249,8908,535
07.23,113957,99589,8915,484
07.24,114495,100000,8917,538
07.25,115375,100628,8927,880
07.26,115470,100765,8929,95
07.27,115789,100969,8934,319
07.28,116471,101447,8945,682
07.29,116908,101686,8957,437
07.30,117357,101992,8962,449
07.31,117680,102345,8974,323
08.01,118315,102996,8980,635
08.02,118523,103073,8986,208
08.03,118768,103201,8990,245
08.04,119020,103284,8995,252
08.05,119659,104058,9005,639
08.06,120033,104377,9010,374
08.07,120387,104678,9013,354
08.08,120903,105128,9017,516
08.09,121148,105263,9024,245
08.10,121411,105424,9028,263
08.11,122068,108118,9034,657
08.12,122389,108468,9038,321
08.13,122812,108863,9053,423
08.14,123192,109260,9063,380
08.15,123630,109657,9068,438
08.16,123825,109933,9072,195
08.17,124034,110278,9074,209
08.18,124813,110816,9080,779
08.19,125084,111092,9090,271
08.20,125408,111559,9095,324
08.21,125808,112032,9100,400
08.22,126350,112423,9110,542
08.23,126560,112621,9117,210
08.24,126851,112882,9120,291
08.25,127617,113476,9129,766
08.26,127933,113864,9136,316
08.27,128415,114266,9141,482
08.28,128858,114619,9148,443
08.29,129342,115029,9155,484
08.30,129639,115294,9161,297
08.31,129928,115460,9164,289
09.01,130939,116021,9173,1011
09.02,131422,116432,9179,483
09.03,131941,116866,9182,519
09.04,132527,117277,9189,586
09.05,133141,117755,9190,614
09.06,133511,117968,9192,370
09.07,133890,118192,9194,379
09.08,134321,118398,9196,431
09.09,135786,119457,9203,1465
09.10,136368,120160,9205,582
09.11,137020,120897,9213,652
09.12,137676,121537,9214,656
09.13,138164,121944,9220,488
09.14,138787,122346,9221,623
09.15,140098,123120,9229,1311
09.16,140993,123777,9239,895
09.17,141920,124412,9244,927
09.18,142879,124984,9249,959
09.19,144053,125654,9256,1174
09.20,144699,125984,9262,646
09.21,145861,126592,9269,1162
09.22,147744,127750,9282,1883
09.23,148855,128890,9286,1111
09.24,150056,129890,9294,1201
09.25,151306,130769,9300,1250
09.26,152801,131757,9306,1495
09.27,153994,132412,9313,1193
09.28,155428,133204,9318,1434
09.29,157747,134736,9331,2319
09.30,159397,135995,9342,1650
10.01,161107,137181,9346,1710
10.02,163103,138631,9421,1996
10.03,165201,139817,9476,2098
10.04,166569,140897,9493,1368
10.05,168644,142504,9533,2075
10.06,171494,144652,9561,2850
10.07,173936,146431,9582,2442
10.08,175833,148212,9595,1897
10.09,178084,150011,9609,2251
10.10,180790,152147,9639,2706
10.11,182767,153857,9661,1977
10.12,184403,155901,9666,1636
10.13,185831,157209,9680,1428
10.14,189632,160325,9707,3801
10.15,192228,162066,9719,2596
10.16,194524,164254,9759,2296
10.17,196928,166313,9781,2404
10.18,197164,166464,9782,236
10.19,200926,169871,9816,3762
10.20,204283,172542,9834,3357
10.21,206487,174644,9855,2204
10.22,209184,171403,9883,2697
10.23,212029,178674,9921,2845
10.24,214693,180626,9940,2664
10.25,216993,182441,9972,2300
10.26,219042,184298,9998,2049
10.27,223084,187100,10026,4042
10.28,225833,189488,10053,2749
10.29,228492,191726,10084,2659
10.30,231535,194145,10132,3043
10.31,235125,196935,10163,3590
11.01,237313,198952,10187,2188
11.02,239649,200768,10230,2336
11.03,243178,203128,10262,3529
11.04,247916,206691,10334,4738
11.05,251213,209205,10390,3297
11.06,254353,211203,10441,3140
11.07,258874,214441,10493,4521
11.08,263220,216338,10547,4346
11.09,267163,218279,10575,3943
11.10,272034,221758,10620,4871
11.11,276479,224912,10693,4445
11.12,280465,226829,10748,3986
11.13,285936,230429,10828,5471
11.14,290705,234404,10885,4769
11.15,295131,236870,10947,4426
11.16,299422,240434,11001,4291
11.17,305449,244699,11075,6027
11.18,309877,248859,11136,4428
11.19,314385,253089,11238,4508
11.20,319175,257310,11314,4790
11.21,324152,261754,11385,4977
11.22,329084,265568,11455,4932
11.23,333810,269144,11502,4726
11.24,340731,274315,11570,6921
11.25,346013,278191,11676,5282
11.26,351324,282201,11736,5311
11.27,357099,285995,11819,5775
11.28,363005,291607,11921,5906
11.29,368678,295688,11995,5673
11.30,374100,299302,12051,5422
12.01,381911,304930,12151,7811
12.02,387093,310035,12231,5182
12.03,394022,314842,12343,6929
12.04,400229,319591,12430,6207
12.05,406189,325122,12523,5960
12.06,412543,329983,12607,6354
12.07,418914,334674,12688,6371
12.08,426629,344527,12797,7715
12.09,432870,350188,12896,6241
12.10,439762,355885,13021,6892
12.11,446451,361558,13151,6689
12.12,452543,367837,13267,6092
12.13,458527,374269,13367,5984
12.14,465203,379004,13464,6676
12.15,472956,385511,13582,7753
12.16,479177,392039,13697,6221
12.17,485767,397806,13829,6590
12.18,493436,404360,13949,7669
12.19,500058,411457,14060,6622
12.20,506460,417368,14185,6402
12.21,511875,422610,14249,5415
12.22,520133,430031,14357,8258
12.23,526591,438178,14459,6458
12.24,532506,444166,14616,5915
12.25,538183,448119,14745,5677
12.26,540051,449904,14765,1868
12.27,541541,451207,14774,1490
12.28,550756,461173,14940,9215
12.29,562080,474628,15202,11324
12.30,569703,483718,15398,7623
12.31,578266,491112,15523,8563
01.01,584409,493638,15632,6143
01.02,587251,495739,15668,2842
01.03,591012,498148,15719,3761
01.04,606078,510596,15880,15066
01.05,617383,524448,16120,11305
01.06,623554,530673,16286,6171
01.07,631466,537024,16403,7912
01.08,641113,545211,16621,9647
01.09,649860,552907,16745,8747
01.10,658563,559384,16881,8703
01.11,665951,566035,16970,7388
01.12,674079,576531,17125,8128
01.13,680324,584093,17291,6245
01.14,687309,592364,17425,6985
01.15,694764,601043,17628,7455
01.16,701375,609324,17756,6611
01.17,707945,615545,17898,6570
01.18,714016,622702,18040,6071
01.19,719774,629858,18146,5758
01.20,725445,638535,18327,5671
01.21,731170,646180,18437,5725
01.22,737316,653447,18564,6146
01.23,742268,659185,18633,4952
01.24,748105,666162,18716,5837
01.25,752614,671701,18793,4509
01.26,758148,678746,18919,5534
01.27,762263,685948,19015,4115
01.28,765865,690369,19060,3602
01.29,771079,696484,19687,5214
01.30,775515,702099,19824,4436
01.31,779241,706861,19945,3726
02.01,782983,711321,20019,3742
02.02,788527,718742,20169,5544
02.03,791133,722002,20242,2606
02.04,794412,726258,20361,3279
02.05,798394,729768,20486,3982
02.06,802530,726095,20607,4136
02.07,805794,729371,20700,3264
02.08,809001,732697,20760,3207
02.09,813038,752895,20844,4037
02.10,815777,757104,20929,2739
02.11,818785,760946,21016,3008
02.12,822227,764320,21109,3442
02.13,824611,767170,21168,2384
02.14,828747,770153,21238,4136
02.15,830613,772845,21277,1866
02.16,832919,774703,21298,2306
02.17,836594,782150,21395,3675
02.18,839455,785895,21455,2861
02.19,842590,789108,21509,3135
02.20,846083,792839,21590,3493
02.21,848658,795728,21634,2575
02.22,851086,798425,21681,2428
02.23,854190,801678,21720,3104
02.24,857740,805813,21765,3550
02.25,860711,808739,21818,2971
02.26,863916,811816,21873,3205
02.27,867051,814865,21918,3135
02.28,869754,817284,21965,2703
03.01,872093,819662,21993,2339
03.02,875680,823606,22022,3587
03.03,878394,826524,22051,2714
03.04,880835,829287,22105,2441
03.05,884318,832521,22163,3483
03.06,887097,835239,22183,2779
03.07,890083,838070,22215,2986
03.08,892708,840132,22239,2625
03.09,896637,844275,22274,3929
03.10,899564,847335,22307,2927
03.11,902234,849784,22330,2670
03.12,905875,852876,22372,3641
03.13,909368,856274,22403,3493
03.14,913108,858764,22434,3740
03.15,915010,861145,22468,1902
03.16,918763,865072,22499,3753
03.17,921770,868059,22525,3007
03.18,925193,871138,22553,3423
03.19,928892,874079,22581,3699
03.20,933139,877392,22615,4247
03.21,936538,880006,22641,3399
03.22,939589,882432,22672,3051
03.23,944367,886600,22702,4778
03.24,948014,889778,22721,3647
03.25,952006,892675,22753,3992
03.26,958119,896163,22783,6113
03.27,963337,899717,22822,5218
03.28,967591,902580,22838,4254
03.29,971535,905416,22862,3944
03.30,977878,910109,22885,6343
03.31,984761,915347,22934,6883
04.01,990837,919158,22973,6076
04.02,995863,922632,23003,5026
04.03,1000074,925337,23026,4211
04.04,1005296,929085,23038,5222
04.05,1010376,931705,23068,5080
04.06,1018131,938080,23087,7755
04.07,1028707,946312,23140,10576
04.08,1036204,951773,23168,7497
04.09,1044693,957462,23202,8489
04.10,1052560,962451,23236,7867
04.11,1061663,968199,23272,9103
04.12,1068971,972873,23301,7308
04.13,1079593,980716,23343,10622
04.14,1089040,987336,23394,9447
04.15,1097875,993870,23452,8835
04.16,1105876,1000474,23491,8001
04.17,1116753,1008024,23544,10877
04.18,1123716,1014567,23586,6963
04.19,1131673,1021002,23631,7957
04.20,1141595,1031232,23680,9922
04.21,1149465,1039443,23713,7870
04.22,1157470,1048353,23786,8005
04.23,1164108,1057653,23810,6638
04.24,1174970,1067958,23886,10862
04.25,1181182,1075213,23915,6212
04.26,1187809,1082102,23952,6627
04.27,1196638,1092220,24018,8829
04.28,1204011,1100535,24058,7373
04.29,1212006,1108737,24116,7995
04.30,1221188,1118037,24169,9182
05.01,1229280,1126295,24226,8092
05.02,1236020,1132558,24247,6740
05.03,1241956,1138053,24272,5936
05.04,1252516,1149498,24341,10560
05.05,1259370,1157863,24409,6854
05.06,1268173,1165581,24453,8803
05.07,1276038,1173523,24490,7865
05.08,1283671,1181120,24539,7633
05.09,1289825,1186809,24565,6154
05.10,1294346,1192271,24583,4521
05.11,1303084,1202744,24664,8738
05.12,1307863,1209322,24693,4779
05.13,1315324,1217662,24761,7461
05.14,1321742,1224007,24815,6418
05.15,1328575,1232885,24869,6833
05.16,1332877,1238591,24895,4302
05.17,1336411,1243927,24906,3534
05.18,1343298,1253733,24977,6887
05.19,1347152,1261047,25014,3854
05.20,1352433,1267887,25066,5281
05.21,1357135,1274187,25113,4702
05.22,1361547,1280776,25164,4412
05.23,1364584,1284698,25188,3037
05.24,1366908,1287785,25217,2324
05.25,1369028,1294100,25241,2120
05.26,1372367,1300981,25277,3339
05.27,1374658,1305787,25318,2291
05.28,1379437,1313650,25396,4779
05.29,1382971,1319430,25432,3534
05.30,1385086,1323303,25456,2115
05.31,1386720,1326495,25481,1634
06.01,1389560,1332133,25530,2840
06.02,1391278,1336349,25553,1718
06.03,1393531,1340011,25594,2253
06.04,1395749,1343315,25633,2218
06.05,1397707,1346257,25672,1958
06.06,1399038,1348447,25688,1331
06.07,1400332,1350595,25697,1294
06.08,1402088,1354080,25747,1756
06.09,1403185,1356477,25782,1097
06.10,1404708,1358885,25818,1523
06.11,1406199,1361312,25850,1491
06.12,1407572,1363509,25865,1373
06.13,1408771,1365224,25885,1199
06.14,1409720,1366726,25896,949
06.15,1410962,1369234,25922,1242
06.16,1411877,1371098,25946,915
06.17,1412931,1372779,25993,1054
06.18,1414043,1374512,26003,1112
06.19,1415022,1376007,26023,979
06.20,1415800,1377176,26044,778
06.21,1415666,1377883,26055,-134
06.22,1417339,1380051,26105,1673
06.23,1417894,1381452,26127,555
06.24,1418652,1382593,26147,758
06.25,1419345,1383535,26164,693
06.26,1420009,1384536,26176,664
06.27,1420415,1385129,26185,406
06.28,1420720,1385580,26187,305
06.29,1421885,1387730,26217,1165
06.30,1422349,1388731,26250,464
07.01,1422830,1389487,26273,481
07.02,1422830,1389487,26273,0
