,confirm,heal,dead,confirm_add
03.04,1,0,0,1
03.05,1,0,0,0
03.06,2,0,0,1
03.07,8,0,0,6
03.08,8,0,1,0
03.09,12,0,1,4
03.10,17,0,1,5
03.11,19,0,1,2
03.12,21,0,1,2
03.13,31,0,1,10
03.14,34,1,1,3
03.15,45,1,2,11
03.16,56,1,2,11
03.17,65,1,2,9
03.18,79,1,2,14
03.19,97,3,2,18
03.20,128,3,3,31
03.21,158,3,3,30
03.22,225,27,4,67
03.23,265,27,4,40
03.24,301,27,4,36
03.25,385,27,6,84
03.26,502,27,6,117
03.27,589,27,12,87
03.28,690,72,17,101
03.29,745,72,19,55
03.30,820,72,80,75
03.31,966,228,26,146
04.01,1054,248,27,88
04.02,1133,248,34,79
04.03,1265,256,39,132
04.04,1353,266,42,88
04.05,1451,279,44,98
04.06,1554,280,48,103
04.07,1628,338,55,74
04.08,1715,338,62,87
04.09,1795,358,70,80
04.10,1894,365,79,99
04.11,1975,440,83,81
04.12,2142,468,90,167
04.13,2208,468,97,66
04.14,2277,559,101,69
04.15,2443,596,109,166
04.16,2571,631,115,128
04.17,2669,666,122,98
04.18,2758,685,129,89
04.19,2839,709,132,81
04.20,2941,737,136,102
04.21,3031,840,145,90
04.22,3144,872,152,113
04.23,3288,919,159,144
04.24,3435,976,167,147
04.25,3607,1030,179,172
04.26,3780,1107,187,173
04.27,3892,1107,192,112
04.28,4003,1140,197,111
04.29,4127,1192,207,124
04.30,4285,1192,214,158
05.01,4428,1256,218,143
05.02,4532,1320,229,104
05.03,4532,1320,229,0
05.04,4783,1354,246,251
05.05,4887,1442,260,104
05.06,5020,1524,264,133
05.07,5208,1601,273,188
05.08,5371,1601,282,163
05.09,5611,1659,293,240
05.10,5776,1757,300,165
05.11,6034,1837,305,258
05.12,6278,1837,317,244
05.13,6563,2266,321,285
05.14,6879,2385,344,316
05.15,7134,2497,353,255
05.16,7479,2534,363,345
05.17,7805,2569,366,326
05.18,8068,2625,374,263
05.19,8371,2625,382,303
05.20,8809,2933,394,438
05.21,9283,2933,403,474
05.22,9931,3032,416,648
05.23,10649,3530,439,718
05.24,11353,3530,445,704
05.25,12076,3999,456,723
05.26,12628,4167,471,552
05.27,13228,4349,492,600
05.28,13933,4349,501,705
05.29,14702,4788,510,769
05.30,15419,4788,520,717
05.31,16214,5336,530,795
06.01,16851,5521,541,637
06.02,17415,5709,560,564
06.03,18319,5709,569,904
06.04,19268,5993,588,949
06.05,20197,6088,615,929
06.06,21037,6180,642,840
06.07,22020,6909,656,983
06.08,22794,7305,670,774
06.09,23620,7568,698,826
06.10,24761,7568,717,1141
06.11,25987,8332,741,1226
06.12,27373,8743,772,1386
06.13,28764,9083,802,1391
06.14,30295,9564,819,1531
06.15,31577,9891,842,1282
06.16,32785,10174,862,1208
06.17,34159,10512,886,1374
06.18,35552,10721,929,1393
06.19,37510,11851,954,1958
06.20,39570,11851,979,2060
06.21,41204,12728,1000,1634
06.22,42785,13153,1016,1581
06.23,44931,13153,1043,2146
06.24,47216,13816,1085,2285
06.25,49851,14788,1124,2635
06.26,52457,18416,1167,2606
06.27,55343,19143,1192,2886
06.28,57744,20134,1217,2401
06.29,59933,21138,1245,2189
06.30,62268,21138,1280,2335
07.01,64530,23040,1310,2262
07.02,67197,24186,1363,2667
07.03,69941,25224,1403,2744
07.04,72786,25930,1453,2845
07.05,75376,27597,1490,2590
07.06,77815,28531,1523,2439
07.07,80447,30095,1602,2632
07.08,83426,36502,1654,2979
07.09,87030,38313,1707,3604
07.10,90693,38984,1749,3663
07.11,94060,41408,1787,3367
07.12,97509,41408,1810,3449
07.13,100166,44173,1859,2657
07.14,103265,45467,1926,3099
07.15,106910,47298,1987,3645
07.16,111146,47298,2050,4236
07.17,114783,49780,2133,3637
07.18,119301,52607,2204,4518
07.19,122524,54105,2246,3223
07.20,126755,54105,2260,4231
07.21,130774,55913,2373,4019
07.22,136118,60531,2506,5344
07.23,141900,62815,2617,5782
07.24,148027,65447,2722,6127
07.25,153520,68022,2847,5493
07.26,158334,68022,2893,4814
07.27,162526,72575,2956,4192
07.28,167416,75083,3082,4890
07.29,173355,75083,3179,5939
07.30,178996,80596,3311,5641
07.31,185373,83780,3466,6377
08.01,191302,86499,3558,5929
08.02,196543,89026,3612,5241
08.03,201919,91302,3667,5376
08.04,206743,94129,3863,4824
08.05,213535,96948,4009,6792
08.06,220682,99852,4135,7147
08.07,228195,99852,4251,7513
08.08,235677,103297,4411,7482
08.09,241811,108242,4556,6134
08.10,246499,108242,4634,4688
08.11,253868,181389,4785,7369
08.12,260911,187283,5088,7043
08.13,268574,192434,5246,7663
08.14,276072,199005,5428,7498
08.15,282437,205697,5565,6365
08.16,289100,205697,5637,6663
08.17,294569,211702,5703,5469
08.18,299126,217850,5814,4557
08.19,305966,228725,6114,6840
08.20,312659,233651,6406,6693
08.21,320884,239806,6567,8225
08.22,329043,239806,6730,8159
08.23,336802,251400,6947,7759
08.24,342154,256789,7079,5352
08.25,350867,256789,7366,8713
08.26,359638,268801,7661,8771
08.27,370188,274458,7944,10550
08.28,380292,280165,8129,10104
08.29,392009,287220,8305,11717
08.30,401239,294007,8401,9230
08.31,408426,301195,8498,7187
09.01,417735,308376,8730,9309
09.02,428239,315530,8971,10504
09.03,439172,322461,9155,10933
09.04,451198,331621,9468,12026
09.05,461882,340381,9685,10684
09.06,471806,349132,9807,9924
09.07,478792,357388,9912,6986
09.08,488007,366590,10179,9215
09.09,500034,382490,10457,12027
09.10,512293,390098,10713,12259
09.11,524198,400121,10994,11905
09.12,535705,409771,11206,11507
09.13,546481,419513,11307,10776
09.14,555537,419513,11412,9056
09.15,565446,438883,11710,9909
09.16,577338,448263,11910,11892
09.17,589012,456347,12229,11674
09.18,601713,467286,12491,12701
09.19,613658,478077,12705,11945
09.20,622934,488231,12909,9276
09.21,631365,488231,13053,8431
09.22,640147,508563,13482,8782
09.23,652174,517228,13952,12027
09.24,664799,525486,14376,12625
09.25,678266,536589,14766,13467
09.26,691235,546924,15208,12969
09.27,702484,556489,15543,11249
09.28,711325,565935,15749,8841
09.29,723132,576715,16113,11807
09.30,736609,585857,16519,13477
10.01,751001,594645,16937,14392
10.02,765002,603140,20288,14001
10.03,779689,614515,20599,14687
10.04,790818,626114,20795,11129
10.05,798486,636672,21018,7668
10.06,809728,649017,21468,11242
10.07,824468,660272,21827,14740
10.08,840915,670725,22226,16447
10.09,856369,684844,22710,15454
10.10,871468,697141,23225,15099
10.11,883882,709464,23581,12414
10.12,894206,721380,23868,10324
10.13,903730,732582,24186,9524
10.14,917035,742235,24572,13305
10.15,931967,751146,24921,14932
10.16,949063,764859,25342,17096
10.17,965609,778501,25723,16546
10.18,979119,791174,26107,13510
10.19,989680,803965,26267,10561
10.20,1002662,803965,26716,12982
10.21,1018999,829647,27100,16337
10.22,1037325,840520,27519,18326
10.23,1053650,851854,27957,16325
10.24,1069368,866695,28338,15718
10.25,1081336,881113,28613,11968
10.26,1090589,894819,28896,9253
10.27,1102301,909586,29301,11712
10.28,1116609,921344,29730,14308
10.29,1130533,931147,30071,13924
10.30,1143800,946134,30442,13267
10.31,1157179,961101,30792,13379
11.01,1166924,973939,31002,9745
11.02,1173533,985316,31140,6609
11.03,1183131,998016,31623,9598
11.04,1195276,1009278,32052,12145
11.05,1205928,1017647,32520,10652
11.06,1217028,1030137,32766,11100
11.07,1228814,1042237,33136,11786
11.08,1236851,1053313,33348,8037
11.09,1242182,1062911,33560,5331
11.10,1250499,1073577,33907,8317
11.11,1262476,1081897,34183,11977
11.12,1273356,1081897,34531,10880
11.13,1284519,1100180,34782,11163
11.14,1296378,1110477,35045,11859
11.15,1304846,1119366,35307,8468
11.16,1310491,1129102,35436,5645
11.17,1318384,1140196,35727,7893
11.18,1329005,1148833,36106,10621
11.19,1339337,1156474,36347,10332
11.20,1349434,1167514,36532,10097
11.21,1359042,1177819,36790,9608
11.22,1366182,1187053,36902,7140
11.23,1370366,1195492,37002,4184
11.24,1374631,1203800,37122,4265
11.25,1381795,1210634,37432,7164
11.26,1390388,1217284,37714,8593
11.27,1399431,1226662,37941,9043
11.28,1407277,1235257,38216,7846
11.29,1413375,1242877,38322,6098
11.30,1418807,1249843,38473,5432
12.01,1424533,1257227,38730,5726
12.02,1432570,1263251,38928,8037
12.03,1440103,1268358,39156,7533
12.04,1447732,1274675,39305,7629
12.05,1454631,1281955,39512,6899
12.06,1459832,1288785,39632,5201
12.07,1463110,1294692,39770,3278
12.08,1466309,1300696,39888,3199
12.09,1469919,1305587,40009,3610
12.10,1475222,1311488,40222,5303
12.11,1482216,1318187,40431,6994
12.12,1489328,1324792,40606,7112
12.13,1494602,1330160,40668,5274
12.14,1498160,1335317,40766,3558
12.15,1503222,1340120,41041,5062
12.16,1510203,1344300,41204,6981
12.17,1517046,1347914,41365,6843
12.18,1524372,1352556,41534,7326
12.19,1531374,1356755,41672,7002
12.20,1537169,1362617,41763,5795
12.21,1541285,1368346,41813,4116
12.22,1547138,1374401,41997,5853
12.23,1555279,1379726,42254,8141
12.24,1563865,1384277,42314,8586
12.25,1571680,1384277,42392,7815
12.26,1574554,1384277,42422,2874
12.27,1578267,1402227,42501,3713
12.28,1583297,1407926,42650,5030
12.29,1590513,1414680,42868,7216
12.30,1602163,1420885,43018,11650
12.31,1613928,1426676,43163,11765
01.01,1625514,1426676,43245,11586
01.02,1629594,1426676,43319,4080
01.03,1634834,1447092,43375,5240
