,confirm,heal,dead,confirm_add
03.24,1,0,0,1
03.25,1,0,0,0
03.26,2,0,0,1
03.27,2,0,0,0
03.28,2,0,0,1
03.29,2,0,0,0
03.30,2,0,0,0
03.31,3,0,0,1
04.01,3,0,0,0
04.02,3,0,0,0
04.03,3,0,0,0
04.04,4,0,0,1
04.05,5,0,0,1
04.06,5,0,1,0
04.07,7,0,1,2
04.08,8,0,1,1
04.09,8,0,1,0
04.10,10,0,1,2
04.11,10,0,2,0
04.12,13,0,2,3
04.13,14,0,2,1
04.14,18,0,2,4
04.15,18,0,2,0
04.16,18,0,2,0
04.17,18,0,2,0
04.18,18,0,2,0
04.19,18,0,2,0
04.20,18,2,2,0
04.21,18,2,2,0
04.22,18,2,2,0
04.23,18,5,2,0
04.24,18,5,2,0
04.25,18,5,2,0
04.26,18,5,2,0
04.27,18,5,2,0
04.28,18,6,2,0
04.29,18,9,2,0
04.30,18,9,2,0
05.01,18,13,2,0
05.02,18,13,2,0
05.03,18,13,2,0
05.04,18,13,2,0
05.05,18,14,2,0
05.06,18,16,2,0
05.07,18,16,2,0
05.08,18,16,2,0
05.09,18,16,2,0
05.10,18,16,2,0
05.11,18,16,2,0
05.12,18,16,2,0
05.13,18,16,2,0
05.14,18,16,2,0
05.15,18,16,2,0
05.16,18,16,2,0
05.17,18,16,2,0
05.18,18,16,2,0
05.19,18,16,2,0
05.20,18,16,2,0
05.21,18,16,2,0
05.22,18,16,2,0
05.23,18,16,2,0
05.24,18,16,2,0
05.25,18,16,2,0
05.26,18,16,2,0
05.27,18,16,2,0
05.28,18,16,2,0
05.29,18,16,2,0
05.30,18,16,2,0
05.31,18,16,2,0
06.01,18,16,2,0
06.02,18,16,2,0
06.03,18,16,2,0
06.04,18,16,2,0
06.05,18,16,2,0
06.06,19,16,2,1
06.07,19,16,2,0
06.08,19,16,2,0
06.09,19,16,2,0
06.10,20,16,2,1
06.11,20,16,2,0
06.12,20,16,2,0
06.13,20,16,2,0
06.14,20,16,2,0
06.15,21,16,2,1
06.16,21,16,2,0
06.17,22,16,2,1
06.18,22,16,2,0
06.19,22,16,2,0
06.20,22,17,2,0
06.21,22,17,2,0
06.22,22,17,2,0
06.23,23,17,2,1
06.24,23,17,2,0
06.25,23,17,2,0
06.26,23,17,2,0
06.27,24,18,2,1
06.28,24,18,2,0
06.29,24,18,2,0
06.30,24,18,2,0
07.01,28,18,2,4
07.02,28,18,2,0
07.03,28,18,2,0
07.04,30,19,2,2
07.05,30,19,2,0
07.06,30,19,2,0
07.07,30,19,2,0
07.08,30,19,2,0
07.09,30,19,2,0
07.10,33,20,2,3
07.11,37,20,2,4
07.12,37,20,2,0
07.13,37,20,2,0
07.14,37,20,2,0
07.15,39,21,2,2
07.16,39,21,2,0
07.17,40,22,2,1
07.18,40,22,2,0
07.19,40,22,2,0
07.20,40,22,2,0
07.21,42,22,2,2
07.22,43,23,2,1
07.23,43,23,2,0
07.24,47,25,2,4
07.25,48,26,2,1
07.26,48,26,2,0
07.27,48,26,2,0
07.28,48,26,2,0
07.29,48,27,2,0
07.30,48,27,2,0
07.31,48,27,2,0
08.01,48,30,2,0
08.02,56,30,2,8
08.03,57,30,2,1
08.04,57,30,2,0
08.05,72,31,2,15
08.06,86,31,2,14
08.07,114,32,2,28
08.08,146,32,2,32
08.09,146,32,2,0
08.10,154,32,2,8
08.11,177,32,2,23
08.12,210,32,2,33
08.13,296,32,2,86
08.14,356,32,2,60
08.15,388,35,3,32
08.16,452,35,3,64
08.17,452,35,3,0
08.18,475,38,4,23
08.19,553,38,4,78
