,confirm,heal,dead,confirm_add
03.21,1,0,0,1
03.22,1,0,0,0
03.23,1,0,0,0
03.24,1,0,0,0
03.25,1,0,0,0
03.26,1,0,0,0
03.27,1,0,0,0
03.28,1,0,0,0
03.29,1,0,0,0
03.30,1,0,0,0
03.31,1,0,0,0
04.01,1,0,0,0
04.02,1,0,0,0
04.03,1,0,0,0
04.04,1,0,0,0
04.05,1,0,0,0
04.06,2,0,0,1
04.07,2,0,0,0
04.08,2,0,0,0
04.09,2,0,0,0
04.10,2,0,0,0
04.11,2,0,0,0
04.12,2,0,0,0
04.13,2,0,0,0
04.14,2,0,0,0
04.15,2,0,0,0
04.16,2,0,0,0
04.17,7,0,0,5
04.18,7,0,0,0
04.19,7,0,0,0
04.20,7,0,0,0
04.21,7,0,0,0
04.22,8,0,0,1
04.23,8,0,0,0
04.24,8,0,0,0
04.25,8,0,0,0
04.26,8,0,0,0
04.27,8,0,0,0
04.28,8,0,0,0
04.29,8,0,0,0
04.30,8,0,0,0
05.01,8,0,0,0
05.02,8,0,0,0
05.03,8,0,0,0
05.04,8,6,0,0
05.05,8,8,0,0
05.06,8,8,0,0
05.07,8,8,0,0
05.08,8,8,0,0
05.09,8,8,0,0
05.10,8,8,0,0
05.11,8,8,0,0
05.12,8,8,0,0
05.13,8,8,0,0
05.14,8,8,0,0
05.15,8,8,0,0
05.16,8,8,0,0
05.17,8,8,0,0
05.18,8,8,0,0
05.19,8,8,0,0
05.20,8,8,0,0
05.21,8,8,0,0
05.22,8,8,0,0
05.23,8,8,0,0
05.24,8,8,0,0
05.25,8,8,0,0
05.26,8,8,0,0
05.27,8,8,0,0
05.28,8,8,0,0
05.29,8,8,0,0
05.30,8,8,0,0
05.31,8,8,0,0
06.01,8,8,0,0
06.02,8,8,0,0
06.03,8,8,0,0
06.04,8,8,0,0
06.05,8,8,0,0
06.06,8,8,0,0
06.07,8,8,0,0
06.08,8,8,0,0
06.09,8,8,0,0
06.10,8,8,0,0
06.11,8,8,0,0
06.12,8,8,0,0
06.13,8,8,0,0
06.14,8,8,0,0
06.15,8,8,0,0
06.16,8,8,0,0
06.17,8,8,0,0
06.18,8,8,0,0
06.19,8,8,0,0
06.20,8,8,0,0
06.21,8,8,0,0
06.22,9,8,0,1
06.23,9,8,0,0
06.24,9,8,0,0
06.25,10,8,0,1
06.26,11,8,0,1
06.27,11,8,0,0
06.28,11,8,0,0
06.29,11,8,0,0
06.30,11,8,0,0
07.01,11,8,0,0
07.02,11,8,0,0
07.03,11,8,0,0
07.04,11,8,0,0
07.05,11,8,0,0
07.06,11,8,0,0
07.07,11,8,0,0
07.08,11,8,0,0
07.09,11,8,0,0
07.10,11,8,0,0
07.11,11,8,0,0
07.12,11,8,0,0
07.13,11,8,0,0
07.14,11,8,0,0
07.15,11,8,0,0
07.16,11,8,0,0
07.17,11,8,0,0
07.18,16,8,0,5
07.19,16,8,0,0
07.20,16,8,0,0
07.21,19,8,1,3
07.22,27,8,1,8
07.23,30,8,0,3
07.24,31,11,0,1
07.25,39,11,0,8
07.26,62,11,0,23
07.27,62,11,0,0
07.28,62,11,0,0
07.29,63,11,1,1
07.30,63,11,2,0
07.31,72,11,2,9
08.01,72,11,2,0
08.02,110,34,2,38
08.03,111,34,2,1
08.04,111,34,2,0
08.05,153,44,2,42
08.06,163,53,3,10
08.07,188,53,3,25
08.08,188,53,3,0
08.09,214,53,3,26
08.10,214,53,3,0
08.11,214,53,3,0
08.12,214,71,3,0
08.13,287,78,3,73
08.14,271,78,3,-16
08.15,271,78,3,0
08.16,323,110,3,52
08.17,333,110,3,10
08.18,333,110,3,0
08.19,347,110,3,14
08.20,359,196,3,12
08.21,361,198,4,2
08.22,361,198,4,0
08.23,361,198,4,0
08.24,401,232,4,40
08.25,419,232,4,18
08.26,419,232,4,0
08.27,419,232,4,0
08.28,453,232,5,34
08.29,453,232,5,0
08.30,459,232,5,6
08.31,459,232,5,0
09.01,459,232,5,0
09.02,460,232,5,1
09.03,471,232,5,11
09.04,471,232,5,0
09.05,479,232,5,8
09.06,488,232,5,9
09.07,497,232,5,9
09.08,503,232,5,6
09.09,503,232,5,0
09.10,504,232,5,1
09.11,507,232,5,3
09.12,508,232,5,1
09.13,508,232,5,0
09.14,511,232,6,3
09.15,511,232,6,0
09.16,511,232,6,0
09.17,516,232,6,5
09.18,516,232,6,0
09.19,516,232,6,0
09.20,516,232,6,0
09.21,517,232,7,1
09.22,517,232,7,0
09.23,527,232,7,10
09.24,527,232,7,0
09.25,531,516,7,4
09.26,532,516,7,1
09.27,532,516,7,0
09.28,532,516,7,0
09.29,532,516,7,0
09.30,534,516,7,2
10.01,539,519,7,5
10.02,539,519,7,0
10.03,540,527,7,1
10.04,540,527,7,0
10.05,540,527,7,0
10.06,541,527,7,1
10.07,541,527,7,0
10.08,541,527,7,0
10.09,549,532,7,8
10.10,549,532,7,0
10.11,554,532,7,5
10.12,565,537,7,11
10.13,565,537,7,0
10.14,578,537,7,13
10.15,578,537,7,0
10.16,578,537,7,0
10.17,581,540,7,3
10.18,581,540,7,0
10.19,581,540,7,0
10.20,581,541,7,0
10.21,581,541,7,0
10.22,583,545,7,2
10.23,583,545,7,0
10.24,583,545,7,0
10.25,583,545,7,0
10.26,588,546,7,5
10.27,588,546,7,0
10.28,588,546,7,0
10.29,588,546,7,0
10.30,589,575,7,1
10.31,589,575,7,0
11.01,589,575,7,0
11.02,589,575,7,0
11.03,590,575,7,1
11.04,597,580,7,7
11.05,597,580,7,0
11.06,597,580,7,0
11.07,597,580,7,0
11.08,599,585,7,2
11.09,599,585,7,0
11.10,599,585,7,0
11.11,599,586,7,0
11.12,599,586,7,0
11.13,599,586,7,0
11.14,600,586,7,1
11.15,600,586,7,0
11.16,602,586,7,2
11.17,602,586,7,0
11.18,604,586,7,2
11.19,604,586,7,0
11.20,604,586,7,0
11.21,604,586,7,0
11.22,604,586,7,0
11.23,612,588,7,8
11.24,630,588,7,18
11.25,630,588,7,0
11.26,645,588,7,15
11.27,645,588,7,0
11.28,645,588,7,0
11.29,645,588,7,0
11.30,646,597,7,1
12.01,656,597,7,10
12.02,669,597,7,13
12.03,669,597,7,0
12.04,671,597,7,2
12.05,671,597,7,0
12.06,671,597,7,0
12.07,671,597,7,0
12.08,684,601,7,13
12.09,684,601,7,0
12.10,684,601,7,0
12.11,684,601,8,0
12.12,720,601,8,36
12.13,720,601,8,0
12.14,725,601,8,5
12.15,725,601,8,0
12.16,729,601,8,4
12.17,760,601,8,31
12.18,760,601,8,0
12.19,760,601,8,0
12.20,760,601,8,0
