,confirm,heal,dead,confirm_add
01.28,3,0,0,0
01.29,4,0,0,1
01.30,6,0,0,2
01.31,6,0,0,0
02.01,6,0,0,0
02.02,6,0,0,0
02.03,6,0,0,0
02.04,6,0,0,0
02.05,6,0,0,0
02.06,6,0,0,0
02.07,6,0,0,0
02.08,11,0,0,5
02.09,11,0,0,0
02.10,11,0,0,0
02.11,11,0,0,0
02.12,11,0,0,0
02.13,11,0,0,0
02.14,11,0,0,0
02.15,11,1,1,0
02.16,12,4,1,1
02.17,12,4,1,0
02.18,12,4,1,0
02.19,12,4,1,0
02.20,12,4,1,0
02.21,12,4,1,0
02.22,12,4,1,0
02.23,12,4,1,0
02.24,12,4,1,0
02.25,12,11,1,0
02.26,17,11,2,5
02.27,18,11,2,1
02.28,41,12,2,23
02.29,73,12,2,16
03.01,100,12,2,27
03.02,130,12,2,30
03.03,204,12,3,74
03.04,257,12,4,55
03.05,377,12,6,120
03.06,423,12,9,46
03.07,716,12,11,293
03.08,949,12,16,233
03.09,1209,12,21,260
03.10,1606,20,30,465
03.11,1888,21,33,282
03.12,2370,26,48,497
03.13,2889,28,61,519
03.14,3667,28,79,778
03.15,4500,28,91,839
03.16,5400,28,127,900
03.17,6633,28,148,1233
03.18,7730,602,175,1097
03.19,9134,602,264,1404
03.20,10995,1300,372,1861
03.21,12612,1587,450,1617
03.22,14459,1587,562,1847
03.23,16680,2200,674,2221
03.24,19856,2200,860,3176
03.25,22300,3281,1100,2444
03.26,25233,3900,1331,2933
03.27,29155,3900,1696,3922
03.28,33414,5700,1995,4259
03.29,38105,5724,2317,4691
03.30,40751,7238,2612,2646
03.31,45232,7991,3032,4481
04.01,52836,9522,3532,7604
04.02,57807,11055,4043,4971
04.03,59929,12548,5398,2122
04.04,83031,14138,6521,23102
04.05,90863,15574,7574,7832
04.06,93780,16354,8093,2917
04.07,98984,17429,8926,5204
04.08,110070,19523,10343,11086
04.09,112950,21254,10869,2880
04.10,118790,23469,12228,5840
04.11,125931,25195,13215,7141
04.12,130730,26674,13851,4799
04.13,133685,27469,14412,2955
04.14,137887,28011,14986,4202
04.15,143303,29123,15729,5416
04.16,147863,31470,17188,4560
04.17,147969,33398,17942,106
04.18,149146,35018,18703,1177
04.19,152978,36588,19349,3832
04.20,154098,37188,19744,1120
04.21,156495,38046,20294,2397
04.22,159315,39850,20829,2820
04.23,157135,41331,21373,-2180
04.24,159495,42792,21889,2360
04.25,159952,44271,22279,457
04.26,161665,45372,22648,1713
04.27,162220,45683,22890,555
04.28,166036,46394,23327,3816
04.29,169053,47775,23694,3017
04.30,166628,49132,24121,-2425
05.01,167301,50381,24410,673
05.02,167305,50212,24597,4
05.03,168517,50663,24763,1212
05.04,168925,50885,24900,408
05.05,169583,51476,25204,658
05.06,170694,52859,25538,1111
