,confirm,heal,dead,confirm_add
03.20,1,0,0,1
03.21,1,0,0,0
03.22,2,0,0,1
03.23,2,0,0,0
03.24,3,0,0,1
03.25,7,0,1,4
03.26,7,0,1,0
03.27,8,0,1,1
03.28,10,0,1,2
03.29,18,0,1,8
03.30,18,0,1,8
03.31,27,0,3,9
04.01,34,0,3,7
04.02,74,0,5,40
04.03,98,0,5,24
04.04,120,0,5,22
04.05,144,0,8,24
04.06,184,13,10,40
04.07,253,26,10,69
04.08,278,26,11,25
04.09,342,28,11,64
04.10,410,40,11,68
04.11,438,41,11,28
04.12,491,41,11,53
04.13,529,75,12,38
04.14,548,86,13,19
04.15,570,90,14,22
04.16,584,90,14,14
04.17,609,105,15,25
04.18,627,110,18,18
04.19,639,113,19,12
04.20,648,117,20,9
04.21,655,124,20,7
04.22,657,127,20,2
04.23,662,193,22,5
04.24,671,256,24,9
04.25,681,289,24,10
04.26,684,325,27,3
04.27,696,350,29,12
04.28,701,385,29,5
04.29,709,403,31,8
04.30,713,435,32,4
05.01,719,452,32,6
05.02,728,478,33,9
05.03,728,478,33,0
05.04,750,518,36,22
05.05,755,534,37,5
05.06,763,543,38,8
05.07,770,561,38,7
05.08,781,586,42,11
05.09,795,600,44,14
05.10,815,617,45,20
05.11,821,624,46,6
05.12,832,637,46,11
05.13,854,648,47,22
05.14,860,658,49,6
05.15,876,677,50,16
05.16,885,684,51,9
05.17,889,689,51,4
05.18,904,698,54,15
05.19,909,714,55,5
05.20,914,734,55,5
05.21,920,738,58,6
05.22,924,753,60,4
05.23,937,764,60,13
05.24,943,775,61,6
05.25,945,783,61,2
05.26,951,786,62,6
05.27,952,796,63,1
05.28,955,796,64,3
05.29,955,803,64,0
05.30,955,813,64,0
05.31,956,818,64,1
06.01,958,839,64,2
06.02,958,844,65,0
06.03,960,848,65,2
06.04,961,857,65,1
06.05,963,860,65,2
06.06,966,863,65,3
06.07,970,867,65,4
06.08,973,867,65,3
06.09,973,869,65,0
06.10,974,871,65,1
06.11,974,876,65,0
06.12,974,878,65,0
06.13,978,881,65,4
06.14,980,881,66,2
06.15,980,885,66,0
06.16,980,885,66,0
06.17,1016,885,66,36
06.18,1020,893,67,4
06.19,1020,901,67,0
06.20,1020,901,67,0
06.21,1035,911,67,15
06.22,1036,911,67,1
06.23,1046,913,67,10
06.24,1051,913,67,5
06.25,1056,917,67,5
06.26,1059,919,67,3
06.27,1062,924,67,3
06.28,1068,937,67,6
06.29,1074,939,67,6
06.30,1075,939,67,1
07.01,1075,943,67,0
07.02,1075,947,67,0
07.03,1081,959,68,6
07.04,1082,963,68,1
07.05,1088,965,68,6
07.06,1093,968,68,5
07.07,1093,968,68,0
07.08,1094,974,68,1
07.09,1097,976,68,3
07.10,1097,976,68,0
07.11,1099,978,68,2
07.12,1099,992,68,0
07.13,1099,992,68,0
07.14,1099,992,68,0
07.15,1099,992,68,0
07.16,1100,993,69,1
07.17,1102,993,69,2
07.18,1102,1013,69,0
07.19,1104,1014,69,2
07.20,1104,1014,69,0
07.21,1105,1014,69,1
07.22,1113,1018,69,8
07.23,1122,1018,69,9
07.24,1124,1022,69,2
07.25,1124,1024,69,0
07.26,1124,1025,69,0
07.27,1136,1027,69,12
07.28,1132,1027,69,-4
07.29,1132,1027,69,0
07.30,1134,1028,69,2
07.31,1134,1028,69,0
08.01,1134,1028,69,0
08.02,1136,1028,69,2
08.03,1147,1032,69,11
08.04,1152,1032,69,5
08.05,1152,1037,69,0
08.06,1152,1057,69,0
08.07,1153,1057,69,1
08.08,1153,1057,69,0
08.09,1157,1057,69,4
08.10,1158,1057,69,1
08.11,1158,1062,69,0
08.12,1158,1065,69,0
08.13,1161,1075,69,3
08.14,1161,1075,69,0
08.15,1165,1077,69,4
08.16,1165,1077,69,0
08.17,1167,1078,69,2
08.18,1167,1078,69,0
08.19,1167,1079,69,0
08.20,1167,1079,69,0
08.21,1169,1082,69,2
08.22,1172,1083,69,3
08.23,1172,1083,69,0
08.24,1172,1083,69,0
08.25,1172,1084,69,0
08.26,1173,1084,69,1
08.27,1173,1084,69,0
08.28,1173,1084,69,0
08.29,1175,1085,69,2
08.30,1175,1085,69,0
08.31,1175,1085,69,0
09.01,1176,1088,69,1
09.02,1176,1088,69,0
09.03,1176,1088,69,0
09.04,1177,1091,69,1
09.05,1177,1091,69,0
09.06,1177,1091,69,0
09.07,1177,1091,69,0
09.08,1177,1091,69,0
09.09,1178,1099,69,1
09.10,1178,1099,69,0
09.11,1178,1099,69,0
09.12,1178,1100,69,0
09.13,1178,1100,69,0
09.14,1180,1104,69,2
09.15,1180,1104,69,0
09.16,1182,1104,69,2
09.17,1182,1104,69,0
09.18,1183,1104,69,1
09.19,1183,1104,69,0
09.20,1183,1104,69,0
09.21,1188,1104,69,5
09.22,1189,1104,69,1
09.23,1193,1104,69,4
09.24,1193,1107,69,0
09.25,1194,1107,69,1
09.26,1194,1107,69,0
09.27,1194,1107,69,0
09.28,1196,1107,69,2
09.29,1196,1110,69,0
09.30,1196,1110,69,0
10.01,1197,1114,69,1
10.02,1197,1114,69,0
10.03,1198,1115,69,1
10.04,1200,1115,69,2
10.05,1200,1115,69,0
10.06,1200,1115,69,0
10.07,1200,1115,69,0
10.08,1200,1122,69,0
10.09,1201,1122,69,1
10.10,1201,1123,69,0
10.11,1201,1123,69,0
10.12,1201,1123,69,0
10.13,1202,1124,69,1
10.14,1203,1124,69,1
10.15,1205,1124,69,2
10.16,1207,1124,69,2
10.17,1209,1126,69,2
10.18,1209,1126,69,0
10.19,1210,1126,69,1
10.20,1211,1128,69,1
10.21,1212,1128,69,1
10.22,1214,1128,69,2
10.23,1215,1128,69,1
10.24,1215,1128,69,0
10.25,1215,1128,69,0
10.26,1215,1128,69,0
10.27,1215,1129,69,0
10.28,1218,1132,69,3
10.29,1218,1132,69,0
10.30,1219,1135,69,1
10.31,1220,1137,69,1
11.01,1220,1137,69,0
11.02,1221,1141,69,1
11.03,1222,1141,69,1
11.04,1222,1141,69,0
11.05,1225,1142,69,3
11.06,1226,1142,69,1
11.07,1230,1143,69,4
11.08,1242,1143,69,12
11.09,1243,1144,69,1
11.10,1246,1144,69,3
11.11,1256,1144,69,10
11.12,1263,1144,69,7
11.13,1282,1144,69,19
11.14,1289,1145,69,7
11.15,1301,1147,70,12
11.16,1307,1148,70,6
11.17,1316,1150,70,9
11.18,1327,1150,70,11
11.19,1331,1151,70,4
11.20,1335,1153,70,4
11.21,1340,1156,70,5
11.22,1351,1158,70,11
11.23,1368,1166,70,17
11.24,1381,1166,70,13
11.25,1406,1169,70,25
11.26,1419,1170,70,13
11.27,1443,1182,70,24
11.28,1472,1192,70,29
11.29,1484,1205,70,12
11.30,1516,1207,70,32
12.01,1548,1210,72,32
12.02,1586,1219,75,38
12.03,1640,1227,76,54
12.04,1640,1227,76,0
12.05,1726,1237,77,86
12.06,1789,1237,77,63
12.07,1856,1237,77,67
12.08,1894,1239,78,38
12.09,1987,1239,79,93
12.10,2078,1241,79,91
12.11,2126,1249,80,48
12.12,2160,1269,80,34
12.13,2199,1276,80,39
12.14,2258,1292,80,59
12.15,2322,1294,82,64
12.16,2361,1329,82,39
12.17,2361,1329,82,0
12.18,2506,1373,84,145
12.19,2560,1377,85,54
12.20,2612,1406,86,52
12.21,2659,1418,87,47
12.22,2724,1432,87,65
12.23,2803,1508,89,79
12.24,2876,1578,89,73
12.25,2933,1579,90,57
12.26,3005,1587,91,72
12.27,3057,1673,94,52
12.28,3110,1673,96,53
12.29,3159,1736,99,49
12.30,3208,1767,102,49
12.31,3268,1802,104,60
01.01,3323,1825,104,55
01.02,3403,1828,106,80
01.03,3437,1906,110,34
01.04,3465,1986,110,28
01.05,3500,2061,110,35
01.06,3557,2152,112,57
01.07,3634,2182,113,77
01.08,3706,2253,119,72
01.09,3747,2311,125,41
01.10,3819,2323,126,72
01.11,3877,2386,126,58
01.12,3924,2404,128,47
01.13,3969,2507,135,45
01.14,3998,2631,136,29
01.15,4058,2750,137,60
01.16,4105,2862,138,47
01.17,4132,2951,138,27
01.18,4156,3044,140,24
01.19,4204,3136,145,48
01.20,4225,3265,146,21
01.21,4249,3324,147,24
01.22,4267,3357,147,18
01.23,4308,3403,150,41
01.24,4321,3436,151,13
01.25,4353,3464,151,32
01.26,4374,3494,151,21
01.27,4407,3544,153,33
01.28,4433,3583,153,26
01.29,4474,3622,157,41
01.30,4489,3696,159,15
01.31,4516,3726,159,27
02.01,4517,3755,159,1
02.02,4537,3800,161,20
02.03,4548,3845,162,11
02.04,4565,3845,163,17
02.05,4575,3916,164,10
02.06,4589,3920,165,14
02.07,4598,3950,165,9
02.08,4612,3970,165,14
02.09,4621,3983,166,9
02.10,4643,4002,167,22
02.11,4656,4007,167,13
02.12,4665,4100,167,9
02.13,4678,4135,169,13
02.14,4690,4147,169,12
02.15,4695,4152,169,5
02.16,4702,4155,169,7
02.17,4706,4164,169,4
02.18,4715,4193,170,9
02.19,4718,4215,170,3
02.20,4725,4220,170,7
02.21,4733,4235,170,8
02.22,4733,4235,170,0
02.23,4740,4250,172,7
02.24,4740,4250,172,0
02.25,4740,4250,172,0
02.26,4740,4250,172,0
02.27,4740,4250,172,0
02.28,4740,4250,172,0
03.01,4740,4250,172,0
03.02,4740,4250,172,0
03.03,4740,4250,172,0
03.04,4740,4250,172,0
03.05,4740,4250,172,0
03.06,4740,4250,172,0
03.07,4740,4250,172,0
03.08,4822,4405,177,82
03.09,4828,4407,177,6
03.10,4835,4415,177,7
03.11,4848,4477,179,13
03.12,4853,4486,180,5
03.13,4853,4486,180,0
03.14,4857,4503,181,4
03.15,4860,4504,182,3
03.16,4865,4507,182,5
03.17,4870,4516,183,5
03.18,4904,4525,185,34
03.19,4906,4529,185,2
03.20,4911,4537,185,5
03.21,4918,4538,185,7
03.22,4918,4538,185,0
03.23,4928,4541,185,10
03.24,4939,4553,185,11
03.25,4939,4553,185,0
03.26,4964,4569,185,25
03.27,4972,4578,185,8
03.28,4987,4586,185,15
03.29,4987,4586,185,0
03.30,4987,4586,185,0
03.31,4987,4590,185,0
04.01,5001,4590,186,14
04.02,5021,4641,187,20
04.03,5021,4641,187,0
04.04,5028,4669,188,7
04.05,5041,4698,188,13
04.06,5041,4698,188,0
04.07,5048,4715,188,7
04.08,5052,4725,188,4
04.09,5058,4737,188,6
04.10,5062,4746,188,4
04.11,5072,4747,188,10
04.12,5074,4747,189,2
04.13,5081,4760,189,7
04.14,5081,4760,189,0
04.15,5081,4760,189,0
04.16,5113,4767,190,32
04.17,5116,4771,190,3
04.18,5116,4771,190,0
04.19,5131,4779,190,15
04.20,5131,4779,190,0
04.21,5140,4795,191,9
04.22,5141,4812,191,1
04.23,5143,4812,191,2
04.24,5143,4812,191,0
04.25,5158,4831,191,15
04.26,5191,4834,191,33
04.27,5204,4836,191,13
04.28,5220,4843,191,16
04.29,5224,4847,191,4
04.30,5226,4851,191,2
05.01,5228,4851,191,2
05.02,5229,4855,191,1
05.03,5251,4857,191,22
05.04,5261,4865,191,10
05.05,5286,4870,192,25
05.06,5286,4870,192,0
05.07,5310,4876,192,24
05.08,5313,4882,192,3
05.09,5319,4885,192,6
05.10,5321,4901,192,2
05.11,5322,4904,192,1
05.12,5324,4929,192,2
05.13,5325,4929,192,1
05.14,5326,4936,192,1
05.15,5326,4936,192,0
05.16,5330,4953,192,4
05.17,5333,4953,192,3
