,confirm,heal,dead,confirm_add
01.28,102,4,1,11
01.29,111,4,1,9
01.30,132,5,1,21
01.31,156,5,1,24
02.01,183,9,1,27
02.02,212,12,1,29
02.03,228,23,1,16
02.04,253,24,1,25
02.05,274,31,1,21
02.06,297,33,1,23
02.07,315,34,2,18
02.08,326,37,2,11
02.09,337,44,2,11
02.10,342,48,3,5
02.11,352,56,3,10
02.12,366,68,3,14
02.13,366,68,3,14
02.14,372,79,3,6
02.15,380,105,4,5
02.16,381,114,4,1
02.17,387,122,4,6
02.18,393,145,4,6
02.19,395,153,4,2
02.20,396,169,4,1
02.21,399,178,4,3
02.22,399,189,4,0
02.23,399,198,4,0
02.24,400,215,4,1
02.25,400,235,4,0
02.26,410,248,5,10
02.27,410,257,7,0
02.28,411,271,8,1
02.29,411,271,8,1
03.01,414,282,8,1
03.02,414,288,8,0
03.03,414,288,8,0
03.04,418,297,8,1
03.05,422,298,8,4
03.06,426,303,8,4
03.07,428,308,8,2
03.08,428,315,8,0
03.09,429,320,8,1
03.10,435,326,8,6
03.11,435,334,8,0
03.12,436,342,8,1
03.13,437,349,8,1
03.14,442,353,8,5
03.15,446,358,8,4
03.16,455,368,8,9
03.17,469,378,8,14
03.18,479,378,8,10
03.19,491,390,8,11
03.20,499,392,8,8
03.21,514,398,8,15
03.22,537,401,8,25
03.23,554,401,8,32
03.24,561,403,8,7
03.25,566,406,8,7
03.26,569,406,8,4
03.27,572,409,8,3
03.28,576,411,8,4
03.29,577,412,8,1
03.30,580,416,8,3
03.31,580,418,8,0
04.01,582,424,8,2
04.02,583,434,8,1
04.03,585,438,8,2
04.04,586,441,8,1
04.05,587,443,8,1
04.06,587,448,8,0
04.07,588,455,8,1
04.08,588,464,8,0
04.09,588,469,8,0
04.10,589,474,8,1
04.11,589,479,8,0
04.11,589,479,8,0
04.12,589,484,8,0
04.13,589,491,8,0
04.14,590,495,8,1
04.15,593,503,8,3
04.16,593,509,8,0
04.17,593,509,8,0
04.18,593,510,8,0
04.19,593,514,8,0
04.20,593,516,8,0
04.21,593,518,8,0
04.22,593,522,8,0
04.23,593,524,8,0
04.24,593,525,8,0
04.25,593,525,8,0
04.26,593,525,9,0
04.27,593,536,9,0
04.28,593,538,9,0
04.29,593,542,9,0
04.30,593,547,9,0
05.01,593,547,9,0
05.02,593,551,9,0
05.03,593,553,9,0
05.04,593,554,9,0
05.05,593,555,9,0
05.06,593,557,9,0
05.07,593,560,9,0
05.08,593,563,9,0
05.09,593,565,9,0
05.10,593,568,9,0
05.11,593,571,9,0
05.12,593,573,9,0
05.13,593,574,9,0
05.14,593,574,9,0
05.15,593,576,9,0
05.16,593,577,9,0
05.17,593,578,9,0
05.18,593,578,9,0
05.19,593,578,9,0
05.20,593,579,9,0
05.21,593,579,9,0
05.22,593,579,9,0
05.23,593,581,9,0
05.24,593,581,9,0
05.25,593,581,9,0
05.26,593,581,9,0
05.27,593,581,9,0
05.28,593,581,9,0
05.29,593,581,9,0
05.30,593,581,9,0
05.31,593,581,9,0
06.01,593,581,9,0
06.02,594,582,9,0
06.03,594,583,9,0
06.04,594,583,9,0
06.05,594,583,9,0
06.06,594,583,9,0
06.07,594,583,9,0
06.08,594,584,9,0
06.09,594,584,9,0
06.10,594,584,9,0
06.11,595,584,9,1
06.12,601,584,9,6
06.13,637,584,9,36
06.14,673,584,9,36
06.15,700,584,9,27
06.16,731,584,9,31
06.17,752,584,9,21
06.18,777,584,9,25
06.19,799,584,9,22
06.20,821,584,9,22
06.21,830,584,9,9
06.22,843,584,9,13
06.23,850,584,9,7
06.24,863,584,9,13
06.25,874,585,9,11
06.26,891,585,9,17
06.27,905,585,9,14
06.28,912,585,9,7
06.29,919,586,9,7
06.30,922,587,9,3
07.01,923,589,9,1
07.02,925,592,9,2
07.03,926,594,9,1
07.04,928,595,9,2
07.05,929,596,9,1
07.06,929,600,9,0
07.07,929,613,9,0
07.08,929,645,9,0
07.09,929,657,9,0
07.10,929,669,9,0
07.11,929,680,9,0
07.12,929,694,9,0
07.13,929,715,9,0
07.14,929,729,9,0
07.15,929,752,9,0
07.16,929,762,9,0
07.17,929,775,9,0
07.18,929,788,9,0
07.19,929,804,9,0
07.20,929,816,9,0
07.21,929,833,9,0
07.22,929,841,9,0
07.23,929,855,9,0
07.24,929,867,9,0
07.25,929,878,9,0
07.26,929,881,9,0
07.27,931,895,9,2
07.28,932,896,9,1
07.29,933,901,9,1
07.30,933,911,9,0
07.31,933,915,9,0
08.01,933,917,9,0
08.02,933,917,9,0
08.03,933,918,9,0
08.04,934,919,9,1
08.05,934,919,9,0
08.06,935,920,9,1
08.07,935,920,9,0
08.08,935,920,9,0
08.09,935,920,9,0
08.10,935,920,9,0
08.11,935,920,9,0
08.12,935,920,9,0
08.13,935,922,9,0
08.14,935,923,9,0
08.15,935,923,9,0
08.16,935,923,9,0
08.17,935,924,9,0
08.18,935,924,9,0
08.19,935,924,9,0
08.20,935,924,9,0
08.21,935,924,9,0
08.22,935,924,9,0
08.23,935,924,9,0
08.24,935,924,9,0
08.25,935,926,9,0
08.26,935,926,9,0
08.27,935,926,9,0
08.28,935,926,9,0
08.29,935,926,9,0
08.30,935,926,9,0
08.31,935,926,9,0
09.01,935,926,9,0
09.02,935,926,9,0
09.03,935,926,9,0
09.04,935,926,9,0
09.05,935,926,9,0
09.06,935,926,9,0
09.07,935,926,9,0
09.08,935,926,9,0
09.09,935,926,9,0
09.10,935,926,9,0
09.11,935,926,9,0
09.12,935,926,9,0
09.13,935,926,9,0
09.14,935,926,9,0
09.15,935,926,9,0
09.16,935,926,9,0
09.17,935,926,9,0
09.18,935,926,9,0
09.19,935,926,9,0
09.20,935,926,9,0
09.21,935,926,9,0
09.22,935,926,9,0
09.23,935,926,9,0
09.24,936,926,9,1
09.25,936,926,9,0
09.26,936,926,9,0
09.27,936,926,9,0
09.28,936,926,9,0
09.29,936,926,9,0
09.30,936,926,9,0
10.01,936,926,9,0
10.02,936,926,9,0
10.03,936,926,9,0
10.04,936,926,9,0
10.05,936,926,9,0
10.06,936,926,9,0
10.07,936,926,9,0
10.08,936,927,9,0
10.09,936,927,9,0
10.10,936,927,9,0
10.11,937,927,9,1
10.12,937,927,9,0
10.13,937,927,9,0
10.14,937,927,9,0
10.15,937,927,9,0
10.16,937,927,9,0
10.17,937,927,9,0
10.18,937,927,9,0
10.19,938,927,9,1
10.20,938,927,9,0
10.21,938,927,9,0
10.22,938,928,9,0
10.23,940,928,9,2
10.24,940,928,9,0
10.25,940,928,9,0
10.26,941,928,9,1
10.27,941,928,9,0
10.28,942,928,9,1
10.29,942,929,9,0
10.30,942,929,9,0
10.31,942,929,9,0
11.01,942,929,9,0
11.02,944,929,9,2
11.03,944,929,9,0
11.04,945,929,9,1
11.05,945,929,9,0
11.06,945,929,9,0
11.07,945,929,9,0
11.08,945,929,9,0
11.09,947,929,9,2
11.10,947,931,9,0
11.11,947,931,9,0
11.12,947,932,9,0
11.13,947,932,9,0
11.14,947,932,9,0
11.15,947,932,9,0
11.16,947,933,9,0
11.17,947,933,9,0
11.18,947,935,9,0
11.19,948,936,9,1
11.20,948,936,9,0
11.21,949,936,9,1
11.22,950,936,9,1
11.23,950,936,9,0
11.24,950,936,9,0
