,confirm,heal,dead,confirm_add
01.28,7,1,0,0
01.29,8,1,0,1
01.30,13,1,0,5
01.31,17,1,0,4
02.01,20,1,0,3
02.02,20,1,0,0
02.03,20,1,0,0
02.04,22,1,0,2
02.05,24,1,0,2
02.06,25,1,0,1
02.07,25,1,0,0
02.08,25,1,0,0
02.09,25,1,0,0
02.10,26,1,0,1
02.11,26,1,0,0
02.12,29,1,0,3
02.13,34,1,1,5
02.14,35,1,1,1
02.15,49,1,1,14
02.16,56,1,1,0
02.17,65,1,1,0
02.18,74,1,1,9
02.19,84,1,1,0
02.20,93,1,3,9
02.21,103,1,1,10
02.22,122,1,1,14
02.23,136,1,1,14
02.24,159,1,1,23
02.25,162,1,1,3
02.26,178,1,1,7
02.27,207,1,4,29
02.28,233,32,5,22
02.29,241,32,5,8
03.01,256,32,6,14
03.02,274,32,6,18
03.03,293,32,6,19
03.04,326,32,6,33
03.05,331,32,6,5
03.06,416,32,6,85
03.07,441,32,7,25
03.08,494,32,7,33
03.09,514,80,9,20
03.10,581,101,12,67
03.11,628,102,14,47
03.12,690,118,17,62
03.13,725,135,21,35
03.14,748,135,21,23
03.15,818,135,24,70
03.16,835,135,28,48
03.17,880,135,29,45
03.18,919,135,31,84
03.19,956,135,33,73
03.20,1016,135,35,97
03.21,1054,135,36,135
03.22,1101,232,41,47
03.23,1140,285,42,39
03.24,1209,285,42,69
03.25,1307,310,45,98
03.26,1399,359,47,92
03.27,1516,372,49,117
03.28,1724,372,52,208
03.29,1726,424,52,2
03.30,1866,424,54,140
03.31,1953,424,56,87
04.01,2178,472,57,225
04.02,2384,472,57,206
04.03,2617,514,63,233
04.04,2935,514,69,318
04.05,3139,514,77,204
04.06,3654,575,85,515
04.07,3906,592,92,252
04.08,4257,622,93,351
04.09,4667,632,94,410
04.10,5530,685,99,863
04.11,6005,762,99,475
04.12,6748,762,108,743
04.13,7370,784,123,622
04.14,7645,799,143,275
04.15,8100,853,146,455
04.16,8626,901,178,526
04.17,9231,935,190,605
04.18,9787,935,190,556
04.19,10296,1069,222,509
04.20,10797,1159,236,501
04.21,11135,1239,263,338
04.22,11512,1356,281,377
04.23,11950,1424,299,438
04.24,12368,1494,328,418
04.25,12829,1530,345,461
04.26,13231,1656,360,402
04.27,13441,1809,372,210
04.28,13614,1899,385,173
04.29,13736,1899,394,122
04.30,13965,2368,425,229
05.01,14088,2460,430,123
05.02,14305,2975,455,217
05.03,14305,2975,455,0
05.04,14877,3981,487,572
05.05,15078,4156,536,201
05.06,15253,4496,556,175
05.07,15253,4496,556,0
05.08,15477,4918,577,224
05.09,15575,5146,590,98
05.10,15663,5906,607,88
05.11,15777,8127,624,114
05.12,15847,8293,633,70
05.13,15968,8531,657,121
05.14,16049,8920,678,81
05.15,16120,9868,697,71
05.16,16203,10338,713,83
05.17,16237,10338,725,34
05.18,16285,11153,744,48
05.19,16305,11564,749,20
05.20,16367,11564,768,62
05.21,16385,12286,771,18
05.22,16424,12672,777,39
05.23,16513,13005,796,89
05.24,16536,13244,808,23
05.25,16550,13413,820,14
05.26,16581,13612,830,31
05.27,16623,13810,846,42
05.28,16651,13973,858,28
05.29,16673,14213,887,22
05.30,16716,14231,891,43
05.31,16751,14342,898,35
06.01,16787,14463,899,36
06.02,16837,14585,902,50
06.03,16837,14585,902,0
06.04,16911,14785,911,74
06.05,16957,14854,915,46
06.06,17000,14927,915,43
06.07,17039,14990,917,39
06.08,17060,15043,920,21
06.09,17111,15141,920,51
06.10,17111,15141,920,0
